Config,Problem,M,IGD
IVFSPEA2_V1_DISSIM,MaF1,3,0.04105573761416471
IVFSPEA2_V1_DISSIM,MaF1,3,0.041221044132709425
IVFSPEA2_V1_DISSIM,MaF1,3,0.04105118746586907
IVFSPEA2_V1_DISSIM,MaF1,3,0.041504686992827056
IVFSPEA2_V1_DISSIM,MaF1,3,0.041145411656653634
IVFSPEA2_V1_DISSIM,MaF1,3,0.041525080365234175
IVFSPEA2_V1_DISSIM,MaF1,3,0.041273709176618496
IVFSPEA2_V1_DISSIM,MaF1,3,0.04126042351568808
IVFSPEA2_V1_DISSIM,MaF1,3,0.04145747788677463
IVFSPEA2_V1_DISSIM,MaF1,3,0.041529127244554535
IVFSPEA2_V1_DISSIM,MaF1,3,0.04102829275973639
IVFSPEA2_V1_DISSIM,MaF1,3,0.041313168791144876
IVFSPEA2_V1_DISSIM,MaF1,3,0.04187740815970671
IVFSPEA2_V1_DISSIM,MaF1,3,0.04119723294766016
IVFSPEA2_V1_DISSIM,MaF5,3,0.24538710747361572
IVFSPEA2_V1_DISSIM,MaF5,3,2.020750218622613
IVFSPEA2_V1_DISSIM,MaF5,3,2.020776499541407
IVFSPEA2_V1_DISSIM,MaF5,3,1.4915330271459113
IVFSPEA2_V1_DISSIM,MaF5,3,0.24807412245694255
IVFSPEA2_V1_DISSIM,MaF5,3,0.24288985967428672
IVFSPEA2_V1_DISSIM,MaF5,3,0.24063849335162996
IVFSPEA2_V1_DISSIM,MaF5,3,4.888495696715803
IVFSPEA2_V1_DISSIM,MaF5,3,0.24102377393985017
IVFSPEA2_V1_DISSIM,MaF5,3,4.888495700279975
IVFSPEA2_V1_DISSIM,MaF5,3,0.24268031890343977
IVFSPEA2_V1_DISSIM,MaF5,3,1.4915621879177834
IVFSPEA2_V1_DISSIM,MaF5,3,0.24496115560675816
IVFSPEA2_V1_DISSIM,MaF5,3,0.24577038003734233
IVFSPEA2_V1_DISSIM,MaF5,3,0.2454257506096291
IVFSPEA2_V1_DISSIM,MaF5,3,2.0207313430434337
IVFSPEA2_V1_DISSIM,MaF5,3,0.23836476488422242
IVFSPEA2_V1_DISSIM,MaF5,3,0.2426194689121924
IVFSPEA2_V1_DISSIM,MaF5,3,1.4915746602714406
IVFSPEA2_V1_DISSIM,MaF5,3,2.020803744717037
IVFSPEA2_V1_DISSIM,MaF5,3,0.2531443654925635
IVFSPEA2_V1_DISSIM,MaF5,3,0.24481250853875333
IVFSPEA2_V1_DISSIM,MaF5,3,1.4915067459874007
IVFSPEA2_V1_DISSIM,MaF5,3,1.491420117055933
IVFSPEA2_V1_DISSIM,MaF5,3,0.24837614264296423
IVFSPEA2_V1_DISSIM,MaF5,3,0.24392090188437213
IVFSPEA2_V1_DISSIM,MaF5,3,0.24108167431919833
IVFSPEA2_V1_DISSIM,MaF5,3,0.24652007135011478
IVFSPEA2_V1_DISSIM,MaF5,3,0.24221649425344405
IVFSPEA2_V1_DISSIM,MaF5,3,1.491455948592022
IVFSPEA2_V1_DISSIM,WFG2,3,0.17760161671410768
IVFSPEA2_V1_DISSIM,WFG2,3,0.1825387068691592
IVFSPEA2_V1_DISSIM,WFG2,3,0.18226510400369214
IVFSPEA2_V1_DISSIM,WFG2,3,0.17070285596867973
IVFSPEA2_V1_DISSIM,WFG2,3,0.16838399037221488
IVFSPEA2_V1_DISSIM,WFG2,3,0.1726912873694414
IVFSPEA2_V1_DISSIM,WFG2,3,0.1691902357002332
IVFSPEA2_V1_DISSIM,WFG2,3,0.17364688530092298
IVFSPEA2_V1_DISSIM,WFG2,3,0.17529040168905718
IVFSPEA2_V1_DISSIM,WFG2,3,0.17578627131198155
IVFSPEA2_V1_DISSIM,WFG2,3,0.1749237698097984
IVFSPEA2_V1_DISSIM,WFG2,3,0.1791995112913975
IVFSPEA2_V1_DISSIM,WFG2,3,0.1765255939474515
IVFSPEA2_V1_DISSIM,WFG2,3,0.1722334446387227
IVFSPEA2_V1_DISSIM,WFG2,3,0.1842824673992347
IVFSPEA2_V1_DISSIM,WFG2,3,0.1743910453026691
