Algorithm,Problem,M,Run,IGD,HV
IVFSPEA2_P2_C05,ZDT1,2,300027,0.0038526564267604806,0.7205150009690227
IVFSPEA2_P2_C05,ZDT1,2,300028,0.00390863303983365,0.7203925350700664
IVFSPEA2_P2_C05,ZDT1,2,300029,0.003914548565863171,0.7203240861499102
IVFSPEA2_P2_C05,ZDT1,2,300030,0.004009605734289152,0.7203225250984098
IVFSPEA2_P2_C05,ZDT1,2,300031,0.0038131437911465794,0.7204898075981334
IVFSPEA2_P2_C05,ZDT1,2,300032,0.003999524381174987,0.7202565352141634
IVFSPEA2_P2_C05,ZDT1,2,300033,0.0038285733852310736,0.7205105811655982
IVFSPEA2_P2_C05,ZDT1,2,300034,0.003930190315461971,0.7203171320868859
IVFSPEA2_P2_C05,ZDT1,2,300035,0.003935735929839041,0.7203873045721291
IVFSPEA2_P2_C05,ZDT1,2,300036,0.0038494933961620704,0.7204428315344685
IVFSPEA2_P2_C05,ZDT1,2,300037,0.003956157290628861,0.720235799948057
IVFSPEA2_P2_C05,ZDT1,2,300038,0.00392224288749702,0.7204648325964038
IVFSPEA2_P2_C05,ZDT1,2,300039,0.003931404289102386,0.7203500639716985
IVFSPEA2_P2_C05,ZDT1,2,300040,0.003938761491578628,0.7203984203576231
IVFSPEA2_P2_C05,ZDT1,2,300041,0.0039279994707716506,0.7203935072331767
IVFSPEA2_P2_C05,ZDT1,2,300042,0.0038442069381349584,0.7204592995949265
IVFSPEA2_P2_C05,ZDT1,2,300043,0.003976856082938773,0.7203008555032292
IVFSPEA2_P2_C05,ZDT1,2,300044,0.003877235409037953,0.7203962080630504
IVFSPEA2_P2_C05,ZDT1,2,300045,0.003898012418605901,0.7203770417358233
IVFSPEA2_P2_C05,ZDT1,2,300046,0.004024028738956119,0.7202168948383241
IVFSPEA2_P2_C05,ZDT1,2,300047,0.003905036842658997,0.7204061960283018
IVFSPEA2_P2_C05,ZDT1,2,300048,0.003971721647861404,0.7202192057358584
IVFSPEA2_P2_C05,ZDT1,2,300049,0.0037971521367123925,0.7205504812645797
IVFSPEA2_P2_C05,ZDT1,2,300050,0.003924004931717895,0.7204241634407786
IVFSPEA2_P2_C05,ZDT1,2,300051,0.003890948456140643,0.7204416850708463
IVFSPEA2_P2_C05,ZDT1,2,300052,0.0038765368424014085,0.7204064988411454
IVFSPEA2_P2_C05,ZDT1,2,300053,0.003959406394035032,0.7202942367499902
IVFSPEA2_P2_C05,ZDT1,2,300054,0.0038312239970165643,0.7205538237145005
IVFSPEA2_P2_C05,ZDT1,2,300055,0.0038202277973607658,0.7205410705324526
IVFSPEA2_P2_C05,ZDT1,2,300056,0.004058278379966871,0.7201942116329644
IVFSPEA2_P2_C05,ZDT1,2,300057,0.0039012181449533147,0.7204019404181509
IVFSPEA2_P2_C05,ZDT1,2,300058,0.003916568305863032,0.72043328999512
IVFSPEA2_P2_C05,ZDT1,2,300059,0.003936712501097558,0.72034142213623
IVFSPEA2_P2_C05,ZDT1,2,300060,0.003935643587940919,0.7202731322400281
IVFSPEA2_P2_C05,ZDT2,2,300001,0.003884098197176893,0.44492842041935704
IVFSPEA2_P2_C05,ZDT2,2,300002,0.003941036213298819,0.4449029406948427
IVFSPEA2_P2_C05,ZDT2,2,300003,0.003908942023275661,0.4451583169146268
IVFSPEA2_P2_C05,ZDT2,2,300004,0.004025773060263303,0.4448557562006902
IVFSPEA2_P2_C05,ZDT2,2,300005,0.00395963189473238,0.4449026712384119
IVFSPEA2_P2_C05,ZDT2,2,300006,0.003943586838970368,0.44490245566437764
IVFSPEA2_P2_C05,ZDT2,2,300007,0.0038483317840745978,0.4450538483365508
IVFSPEA2_P2_C05,ZDT2,2,300008,0.0039356055650985825,0.4449487577175669
IVFSPEA2_P2_C05,ZDT2,2,300009,0.003878389680733282,0.44510221659485094
IVFSPEA2_P2_C05,ZDT2,2,300010,0.0038963288937571582,0.4450306620180543
IVFSPEA2_P2_C05,ZDT2,2,300011,0.0038468710930678086,0.4451638473661663
IVFSPEA2_P2_C05,ZDT2,2,300012,0.0038719276014437666,0.44500821069785446
IVFSPEA2_P2_C05,ZDT2,2,300013,0.0038290232202911226,0.44511453824579195
IVFSPEA2_P2_C05,ZDT2,2,300014,0.0038553103882587015,0.44510041642731946
IVFSPEA2_P2_C05,ZDT2,2,300015,0.003924977432527475,0.44490285320765394
IVFSPEA2_P2_C05,ZDT2,2,300016,0.0038819163152480356,0.44498606054561857
IVFSPEA2_P2_C05,ZDT2,2,300017,0.003835582669682217,0.44502063862394725
IVFSPEA2_P2_C05,ZDT2,2,300018,0.003914986250913705,0.44490881214339595
IVFSPEA2_P2_C05,ZDT2,2,300019,0.003954561744581143,0.4450057037604537
IVFSPEA2_P2_C05,ZDT2,2,300020,0.0038518483981199027,0.4449874986069845
IVFSPEA2_P2_C05,ZDT2,2,300021,0.003934502716837433,0.44496846595503026
IVFSPEA2_P2_C05,ZDT2,2,300022,0.0038527723042280954,0.444997453398314
IVFSPEA2_P2_C05,ZDT2,2,300023,0.0038630162465269286,0.44500189156956615
IVFSPEA2_P2_C05,ZDT2,2,300024,0.003918980286136053,0.44506706195404
IVFSPEA2_P2_C05,ZDT2,2,300025,0.0039402299158911615,0.44510549738555966
IVFSPEA2_P2_C05,ZDT2,2,300026,0.0038962590008932195,0.44496725161884587
