Algorithm,Problem,M,Run,IGD
IVFSPEA2ABL4C,DTLZ1,3,38,0.0201606322027157
IVFSPEA2ABL4C,DTLZ1,3,39,0.0200454961831951
IVFSPEA2ABL4C,DTLZ1,3,40,0.0200127433204874
IVFSPEA2ABL4C,DTLZ1,3,41,0.0200759699547152
IVFSPEA2ABL4C,DTLZ1,3,42,0.0202524264263312
IVFSPEA2ABL4C,DTLZ1,3,43,0.0203139332519721
IVFSPEA2ABL4C,DTLZ1,3,44,0.0200634865816191
IVFSPEA2ABL4C,DTLZ1,3,45,0.0203054114855533
IVFSPEA2ABL4C,DTLZ1,3,46,0.0200214227182953
IVFSPEA2ABL4C,DTLZ1,3,47,0.0200898382392452
IVFSPEA2ABL4C,DTLZ1,3,48,0.0200192528017086
IVFSPEA2ABL4C,DTLZ1,3,49,0.0199880078454432
IVFSPEA2ABL4C,DTLZ1,3,50,0.0201037891758594
IVFSPEA2ABL4C,DTLZ1,3,51,0.0202314137892457
IVFSPEA2ABL4C,DTLZ1,3,52,0.0202030676415403
IVFSPEA2ABL4C,DTLZ1,3,53,0.0201640545343464
IVFSPEA2ABL4C,DTLZ1,3,54,0.0199867664118211
IVFSPEA2ABL4C,DTLZ1,3,55,0.0201109153338204
IVFSPEA2ABL4C,DTLZ1,3,56,0.0200971592366929
IVFSPEA2ABL4C,DTLZ1,3,57,0.020242842034459
IVFSPEA2ABL4C,DTLZ1,3,58,0.0199824646015022
IVFSPEA2ABL4C,DTLZ1,3,59,0.0199591225128316
IVFSPEA2ABL4C,DTLZ1,3,60,0.0201305875949002
IVFSPEA2ABLDOM,DTLZ1,3,1,0.0201890303717332
IVFSPEA2ABLDOM,DTLZ1,3,2,0.0200510071785976
IVFSPEA2ABLDOM,DTLZ1,3,3,0.0200499295351806
IVFSPEA2ABLDOM,DTLZ1,3,4,0.0204212286824439
IVFSPEA2ABLDOM,DTLZ1,3,5,0.0198778327494447
IVFSPEA2ABLDOM,DTLZ1,3,6,0.0198564235493525
IVFSPEA2ABLDOM,DTLZ1,3,7,0.0201227592175078
IVFSPEA2ABLDOM,DTLZ1,3,8,0.0199432366443731
IVFSPEA2ABLDOM,DTLZ1,3,9,0.0204460467848975
IVFSPEA2ABLDOM,DTLZ1,3,10,0.0198384756015327
IVFSPEA2ABLDOM,DTLZ1,3,11,0.02023015253012
IVFSPEA2ABLDOM,DTLZ1,3,12,0.0199671411229166
IVFSPEA2ABLDOM,DTLZ1,3,13,0.0200233580025148
IVFSPEA2ABLDOM,DTLZ1,3,14,0.0200157747627313
IVFSPEA2ABLDOM,DTLZ1,3,15,0.0202304866209168
IVFSPEA2ABLDOM,DTLZ1,3,16,0.0198162570165522
IVFSPEA2ABLDOM,DTLZ1,3,17,0.0203607905770995
IVFSPEA2ABLDOM,DTLZ1,3,18,0.020228335547154
IVFSPEA2ABLDOM,DTLZ1,3,19,0.0201339055462733
IVFSPEA2ABLDOM,DTLZ1,3,20,0.020170101498117
IVFSPEA2ABLDOM,DTLZ1,3,21,0.0200729367812973
IVFSPEA2ABLDOM,DTLZ1,3,22,0.0201722582314563
IVFSPEA2ABLDOM,DTLZ1,3,23,0.0200075482874813
IVFSPEA2ABLDOM,DTLZ1,3,24,0.0200686607416154
IVFSPEA2ABLDOM,DTLZ1,3,25,0.0201075349656777
IVFSPEA2ABLDOM,DTLZ1,3,26,0.0200925326435404
IVFSPEA2ABLDOM,DTLZ1,3,27,0.0201495324216093
IVFSPEA2ABLDOM,DTLZ1,3,28,0.0198316432323969
IVFSPEA2ABLDOM,DTLZ1,3,29,0.0200737595835754
IVFSPEA2ABLDOM,DTLZ1,3,30,0.0199514484776196
IVFSPEA2ABLDOM,DTLZ1,3,31,0.0200559818694484
IVFSPEA2ABLDOM,DTLZ1,3,32,0.0201904233663336
IVFSPEA2ABLDOM,DTLZ1,3,33,0.0200368349612294
IVFSPEA2ABLDOM,DTLZ1,3,34,0.0201057804708744
IVFSPEA2ABLDOM,DTLZ1,3,35,0.0200623123476686
IVFSPEA2ABLDOM,DTLZ1,3,36,0.0198953389002534
IVFSPEA2ABLDOM,DTLZ1,3,37,0.0199912804152597
IVFSPEA2ABLDOM,DTLZ1,3,38,0.0200265010090652
IVFSPEA2ABLDOM,DTLZ1,3,39,0.020032018048634
IVFSPEA2ABLDOM,DTLZ1,3,40,0.0202906784183789
IVFSPEA2ABLDOM,DTLZ1,3,41,0.0203034858871991
IVFSPEA2ABLDOM,DTLZ1,3,42,0.019944529072146
IVFSPEA2ABLDOM,DTLZ1,3,43,0.0200757859078021
IVFSPEA2ABLDOM,DTLZ1,3,44,0.0200044996083215
IVFSPEA2ABLDOM,DTLZ1,3,45,0.0198767480652956
IVFSPEA2ABLDOM,DTLZ1,3,46,0.0203548979582596
IVFSPEA2ABLDOM,DTLZ1,3,47,0.02012495524737
IVFSPEA2ABLDOM,DTLZ1,3,48,0.0201128204475812
IVFSPEA2ABLDOM,DTLZ1,3,49,0.0199773652039935
IVFSPEA2ABLDOM,DTLZ1,3,50,0.0200201764111181
IVFSPEA2ABLDOM,DTLZ1,3,51,0.0201950880150248
IVFSPEA2ABLDOM,DTLZ1,3,52,0.0200817360145357
IVFSPEA2ABLDOM,DTLZ1,3,53,0.020017489610382
IVFSPEA2ABLDOM,DTLZ1,3,54,0.020044828981528
IVFSPEA2ABLDOM,DTLZ1,3,55,0.0201885953606959
IVFSPEA2ABLDOM,DTLZ1,3,56,0.0198159657084438
IVFSPEA2ABLDOM,DTLZ1,3,57,0.0200174761741176
IVFSPEA2ABLDOM,DTLZ1,3,58,0.0200327138608011
IVFSPEA2ABLDOM,DTLZ1,3,59,0.0199674718725182
IVFSPEA2ABLDOM,DTLZ1,3,60,0.0198096093623067
IVFSPEA2,DTLZ4,3,1,0.0542349489201911
IVFSPEA2,DTLZ4,3,2,0.0549231000840575
IVFSPEA2,DTLZ4,3,3,0.540843743439354
IVFSPEA2,DTLZ4,3,4,0.0540738504887675
IVFSPEA2,DTLZ4,3,5,0.540840600325952
IVFSPEA2,DTLZ4,3,6,0.054368976190722
IVFSPEA2,DTLZ4,3,7,0.053984650389134
IVFSPEA2,DTLZ4,3,8,0.0544875403013841
IVFSPEA2,DTLZ4,3,9,0.0542896486472063
IVFSPEA2,DTLZ4,3,10,0.0554675978743593
IVFSPEA2,DTLZ4,3,11,0.540831612324511
IVFSPEA2,DTLZ4,3,12,0.945924927301549
IVFSPEA2,DTLZ4,3,13,0.540821020283435
IVFSPEA2,DTLZ4,3,14,0.0539312018774548
IVFSPEA2,DTLZ4,3,15,0.0544932438921819
IVFSPEA2,DTLZ4,3,16,0.054469768916902
IVFSPEA2,DTLZ4,3,17,0.540845618615827
IVFSPEA2,DTLZ4,3,18,0.0541861470165004
IVFSPEA2,DTLZ4,3,19,0.540843606184472
IVFSPEA2,DTLZ4,3,20,0.0542250582697741
IVFSPEA2,DTLZ4,3,21,0.0537830878804668
IVFSPEA2,DTLZ4,3,22,0.0545218914106832
IVFSPEA2,DTLZ4,3,23,0.0538274001794974
IVFSPEA2,DTLZ4,3,24,0.94592492725416
IVFSPEA2,DTLZ4,3,25,0.540832564424644
IVFSPEA2,DTLZ4,3,26,0.540844369072813
IVFSPEA2,DTLZ4,3,27,0.540827810348822
IVFSPEA2,DTLZ4,3,28,0.0540686234863829
IVFSPEA2,DTLZ4,3,29,0.0541300908428616
IVFSPEA2,DTLZ4,3,30,0.0538348170036952
IVFSPEA2,DTLZ4,3,31,0.0541336619658663
IVFSPEA2,DTLZ4,3,32,0.05409232595369
IVFSPEA2,DTLZ4,3,33,0.0533005924254673
IVFSPEA2,DTLZ4,3,34,0.540831488518986
IVFSPEA2,DTLZ4,3,35,0.54083694955572
IVFSPEA2,DTLZ4,3,36,0.0534823222576542
IVFSPEA2,DTLZ4,3,37,0.0540790902337876
IVFSPEA2,DTLZ4,3,38,0.0537538878159975
IVFSPEA2,DTLZ4,3,39,0.0542840512123341
IVFSPEA2,DTLZ4,3,40,0.0539401905153436
IVFSPEA2,DTLZ4,3,41,0.540827729962663
IVFSPEA2,DTLZ4,3,42,0.0537640779361757
IVFSPEA2,DTLZ4,3,43,0.054675520001588
IVFSPEA2,DTLZ4,3,44,0.0546724378238991
IVFSPEA2,DTLZ4,3,45,0.0538709103582818
IVFSPEA2,DTLZ4,3,46,0.0549161059725571
IVFSPEA2,DTLZ4,3,47,0.0543357664854264
IVFSPEA2,DTLZ4,3,48,0.945924926901562
IVFSPEA2,DTLZ4,3,49,0.54082841547693
IVFSPEA2,DTLZ4,3,50,0.0534933087479907
IVFSPEA2,DTLZ4,3,51,0.054531512252637
IVFSPEA2,DTLZ4,3,52,0.0545493608879732
IVFSPEA2,DTLZ4,3,53,0.540835958122193
IVFSPEA2,DTLZ4,3,54,0.0543538315951367
IVFSPEA2,DTLZ4,3,55,0.053344037966552
IVFSPEA2,DTLZ4,3,56,0.540845718910635
IVFSPEA2,DTLZ4,3,57,0.0537756473984344
IVFSPEA2,DTLZ4,3,58,0.540824683364534
IVFSPEA2,DTLZ4,3,59,0.540838998077942
IVFSPEA2,DTLZ4,3,60,0.0539814036939881
IVFSPEA2ABL1C,DTLZ4,3,1,0.0552641529887214
IVFSPEA2ABL1C,DTLZ4,3,2,0.0545148397984654
IVFSPEA2ABL1C,DTLZ4,3,3,0.945924927795651
IVFSPEA2ABL1C,DTLZ4,3,4,0.540827178517043
IVFSPEA2ABL1C,DTLZ4,3,5,0.0544345440906836
IVFSPEA2ABL1C,DTLZ4,3,6,0.0534524464438137
IVFSPEA2ABL1C,DTLZ4,3,7,0.054494973488307
IVFSPEA2ABL1C,DTLZ4,3,8,0.945924926721817
IVFSPEA2ABL1C,DTLZ4,3,9,0.0538214515291126
IVFSPEA2ABL1C,DTLZ4,3,10,0.540835519150478
IVFSPEA2ABL1C,DTLZ4,3,11,0.5408379392954
IVFSPEA2ABL1C,DTLZ4,3,12,0.0544521369904537
