Algorithm,Problem,M,D,Run,IGD,SourcePath,HV
IVFSPEA2,DTLZ1,3,7,39,0.0202594090208438,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_39.mat,0.842740364667705
IVFSPEA2,DTLZ1,3,7,40,0.0197578328459044,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_40.mat,0.842654659655334
IVFSPEA2,DTLZ1,3,7,41,0.0199576841393492,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_41.mat,0.842533190625662
IVFSPEA2,DTLZ1,3,7,42,0.0201434598880662,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_42.mat,0.841943978585897
IVFSPEA2,DTLZ1,3,7,43,0.0200900617987594,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_43.mat,0.84262071979224
IVFSPEA2,DTLZ1,3,7,44,0.0200064118740378,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_44.mat,0.842252308986718
IVFSPEA2,DTLZ1,3,7,45,0.0202428410101409,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_45.mat,0.842827942944155
IVFSPEA2,DTLZ1,3,7,46,0.0201444422406446,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_46.mat,0.842425915953239
IVFSPEA2,DTLZ1,3,7,47,0.0199568445809122,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_47.mat,0.842812383852099
IVFSPEA2,DTLZ1,3,7,48,0.0201702407696694,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_48.mat,0.842530034509267
IVFSPEA2,DTLZ1,3,7,49,0.0200889928965418,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_49.mat,0.842646864171174
IVFSPEA2,DTLZ1,3,7,50,0.0202300683350113,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_50.mat,0.842451969985234
IVFSPEA2,DTLZ1,3,7,51,0.020142488897977,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_51.mat,0.842622847632503
IVFSPEA2,DTLZ1,3,7,52,0.0202119223083141,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_52.mat,0.842768261562672
IVFSPEA2,DTLZ1,3,7,53,0.0199728864756772,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_53.mat,0.842859532626266
IVFSPEA2,DTLZ1,3,7,54,0.0199541934522703,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_54.mat,0.842947966350041
IVFSPEA2,DTLZ1,3,7,55,0.0201126020345406,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_55.mat,0.842349110930761
IVFSPEA2,DTLZ1,3,7,56,0.0198663718647035,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_56.mat,0.842693762165476
IVFSPEA2,DTLZ1,3,7,57,0.0201656844904306,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_57.mat,0.842303192072503
IVFSPEA2,DTLZ1,3,7,58,0.0199089099487838,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_58.mat,0.842153328403163
IVFSPEA2,DTLZ1,3,7,59,0.0201618743274384,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_59.mat,0.84225202074213
IVFSPEA2,DTLZ1,3,7,60,0.0202370367567405,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_60.mat,0.842736208567665
IVFSPEA2ABL1C,DTLZ1,3,7,1,0.0202999192165984,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_1.mat,0.842303063587546
IVFSPEA2ABL1C,DTLZ1,3,7,2,0.020197902364244,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_2.mat,0.842675195067566
IVFSPEA2ABL1C,DTLZ1,3,7,3,0.0203794132774899,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_3.mat,0.842526889500922
IVFSPEA2ABL1C,DTLZ1,3,7,4,0.0200132883310212,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_4.mat,0.842348886539012
