Problema,M,D,ivf_mean,ivf_std,ivf_median,ivf_q25,ivf_q75,spea2_mean,spea2_std,spea2_median,spea2_q25,spea2_q75,ratio_mean,ratio_median,ratio_mean_paired,ratio_std_paired,ratio_median_paired,n_runs
DTLZ6,M2,D11,22.504950683333334,0.4515661904134592,22.50025550000001,22.13000300000002,22.81163950000001,20.50099811666667,0.4187605108501653,20.420692500000023,20.174866249999987,20.69370225000001,1.097749024474936,1.101836066529085,1.098240740162711,0.03279357074814453,1.1002639647667734,60
DTLZ6,M3,D12,28.736418133333334,0.7589142650847768,28.688974499999986,28.127015000000007,29.21783050000001,21.099529933333336,0.26803280107054517,21.146080500000004,20.920372999999984,21.300440500000008,1.3619458928293533,1.3567041182880195,1.3621833467267097,0.04060228703267868,1.3622139869739578,60
DTLZ7,M2,D21,13.366713316666669,0.3624062662098784,13.34641000000001,13.120676750000015,13.609340250000006,10.881066216666666,0.4124023982358092,10.72493550000001,10.598915000000002,10.944685499999991,1.2284378249801207,1.2444279967930807,1.2301668732916933,0.057286697876294874,1.2271668540902585,60
DTLZ7,M3,D22,27.654588016666665,0.7758729168727055,27.597446500000018,27.182473749999986,28.1115955,19.347063550000005,0.48534223664360665,19.411390000000004,19.329499999999985,19.543682500000013,1.4293945923729938,1.4217140812687814,1.4303899567974447,0.05674193176848221,1.4160506890750708,60
MaF1,M2,D11,14.165793933333331,0.31845884147455833,14.144227500000015,13.942649000000001,14.365222999999993,12.178923283333335,0.4301096420721441,12.033254000000007,11.938003250000014,12.179798250000003,1.163140090776251,1.1754283172282416,1.1646789691020663,0.05123077397692349,1.174555293465575,60
MaF1,M3,D12,30.753168516666673,0.5328390410127032,30.803126000000013,30.27656750000001,31.1325025,23.121968000000003,0.12491290002088254,23.121214000000013,23.019335499999993,23.21792249999997,1.3300411330327362,1.3322451840115315,1.3301060085363654,0.025617518224279684,1.3297055681874845,60
MaF2,M2,D11,21.671539433333333,0.3771250515416872,21.6682045,21.380215500000002,21.892251250000015,20.286134466666663,0.43303731881054586,20.195229000000005,20.00469574999998,20.374341249999983,1.0682931964659461,1.0729368060149254,1.0687848603521144,0.029930126025877517,1.0726980897179375,60
MaF2,M3,D12,39.495080516666675,0.7356545529295169,39.50504200000003,39.06793874999998,40.00004050000001,34.50993953333333,0.6934025316261913,34.41386800000001,34.063932999999984,34.884032749999946,1.1444552221981779,1.1479396038829468,1.144955335039062,0.03305873628839207,1.1436427024996005,60
MaF3,M2,D11,9.18226843333333,0.3018711656509622,9.151224999999997,8.948483250000004,9.346368250000006,6.3929852333333335,0.30513787706040013,6.354701999999992,6.179060249999998,6.535322499999992,1.4363037138669648,1.4400714620449564,1.4395792048220912,0.08456887469545735,1.430184817791513,60
MaF3,M3,D12,17.634822816666667,0.7635011974028018,17.627705500000005,17.032606749999992,18.063627000000007,8.926998716666667,0.3331033461680341,8.876454999999998,8.748932250000006,9.140671999999993,1.9754481182732255,1.9858947631684054,1.9787276157858653,0.12190441943649268,1.9805090829980854,60
MaF4,M2,D11,10.360081233333334,0.4065793500473127,10.311028499999985,10.013540750000015,10.696054749999998,6.624279233333334,0.30911383129785625,6.527101000000006,6.442438999999997,6.647267500000003,1.5639559970844024,1.5797255933376817,1.5670074141572374,0.09084913416270296,1.5597500913358169,60
MaF4,M3,D12,17.613543566666667,1.2054742027022225,17.537032499999995,16.69108949999999,18.288627749999996,9.313765449999998,0.26369452020436507,9.336757500000001,9.143805750000011,9.482128999999993,1.8911302481497074,1.8782786743684832,1.8925842511309705,0.13878946856516575,1.8903955753860406,60
MaF5,M2,D11,11.045673866666668,2.6299305940494535,12.243691000000005,8.208886750000008,13.433811999999996,8.982985183333334,2.434838393072968,9.960828999999997,9.778888249999994,10.151337749999998,1.2296217394592126,1.2291839363972628,1.3799493987942595,0.6830651258207804,1.2599142258999958,60
