Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_q25,IVFSPEA2_q75,IVFSPEA2_std,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_q25,MFOSPEA2_q75,MFOSPEA2_std,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_q25,SPEA2SDE_q75,SPEA2SDE_std,NSGAII_median,NSGAII_iqr,NSGAII_q25,NSGAII_q75,NSGAII_std,NSGAIII_median,NSGAIII_iqr,NSGAIII_q25,NSGAIII_q75,NSGAIII_std,MOEAD_median,MOEAD_iqr,MOEAD_q25,MOEAD_q75,MOEAD_std,SPEA2_median,SPEA2_iqr,SPEA2_q25,SPEA2_q75,SPEA2_std
MaF4,D11,0.012541728740487399,0.00025803674301104994,0.0124551915923864,0.01271322833539745,0.00024732278801697184,0.01260784322450245,0.00029565418906154876,0.01250458764584425,0.0128002418349058,0.0003420434424984307,0.04087985681993505,0.014268729465630625,0.035890941653709776,0.0501596711193404,0.012560733901726738,0.0155245669278298,0.0008702181806897243,0.01497520489618275,0.015845423076872475,0.0008165331050082516,0.035082732739078595,0.0002943933184437683,0.03494735877314463,0.0352417520915884,0.0023745336989020372,0.18710115933566815,0.0017470798594605985,0.18617502554538282,0.18792210540484341,0.0032716557285548185,0.01266500027136085,0.0002254211909960748,0.01256244616131855,0.012787867352314625,0.000434138681761191
MaF5,D11,0.01279113719462745,1.9957406807895457,0.01263675287298885,2.0083774336625346,0.9386541826010799,0.01287100572529145,0.00025378060246845045,0.012744368568630475,0.012998149171098925,0.6037130275559798,0.032827319327849144,0.008127905548983277,0.0294865574420989,0.037614462991082176,0.7712641412657133,0.01595066348793275,1.993137590080839,0.015239845971146401,2.0083774360519855,0.9055517602201195,0.0122310256646506,3.3713242487444506e-07,0.012230967817877974,0.012231304950302849,0.6038974905973022,0.013102320983757201,3.249611355005122e-08,0.013102307695907076,0.013102340192020626,0.3610979419246072,0.01285372847248825,0.00037745883750064935,0.0126949269846036,0.01307238582210425,0.8049679190110588
MaF6,D11,0.00405628306278465,3.370446673007458e-05,0.00403856168205525,0.004072266148785325,2.7320738942045925e-05,0.0040760679999338,3.5855857908900605e-05,0.0040643194834932,0.0041001753414021,3.276320817540173e-05,0.0100249986169973,0.0014659464247322746,0.0092625704877979,0.010728516912530175,0.0010397375331857319,0.00496202570577085,0.000187001964458775,0.0048376950373250245,0.0050246970017837995,0.00015192022543891411,0.00396609095403995,2.9699564224605624e-08,0.0039660786188306756,0.0039661083183949,3.5580472061327624e-08,0.003965909664507151,7.960711375688823e-09,0.003965906591093925,0.0039659145518053,6.179389072046936e-09,0.0040891875962685495,4.5245597732650016e-05,0.00406247963211785,0.0041077252298505,3.093756589671114e-05
MaF7,D21,0.0047363145047024,0.00012802636954775074,0.004689121948846375,0.0048171483183941256,0.03997991165901731,0.00475738138663035,0.00013083075680499993,0.004690631623248825,0.004821462380053825,9.533953773364707e-05,0.00517534843165725,0.0002789082825079246,0.005085275733631701,0.005364184016139625,0.00021105937589885703,0.0054252061173488,0.00029626617198529916,0.005272137091093475,0.0055684032630787745,0.056477296984974217,0.0051169374833777495,9.786061243762488e-05,0.005065995218142675,0.0051638558305803,6.94573393401503e-05,0.007380978454153151,0.43790051769298377,0.007148696952172125,0.4450492146451559,0.21277163939104918,0.0047839910171274,0.00016002729433855015,0.0047034165882987,0.00486344388263725,0.00010601616998883451
RWMOP9,D4,0.0372385950558711,0.0,0.0372385950558711,0.0372385950558711,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFG1,D11,0.01464368491640965,0.010025020008917052,0.012123643246247274,0.022148663255164326,0.013803354113875305,0.10932635922185364,0.005794105144007508,0.1053461674961306,0.11114027264013811,0.01417885999690794,0.040805057919259605,0.03656902484120535,0.028548910637620026,0.06511793547882537,0.025358759080888114,0.02151315890381075,0.0018956974565276785,0.020432371512294323,0.022328068968822,0.0018133435775149356,0.09692457427021331,0.021214882796511167,0.08365585631307595,0.10487073910958712,0.02055655447403984,0.03294773092169935,0.013387225564605823,0.028763563237228326,0.04215078880183415,0.02450318469970829,0.0292511404250795,0.023989446648262025,0.019466752450343176,0.0434561990986052,0.024498308141140242
WFG2,D11,0.011195850846962549,0.00045639454344130123,0.011012829154256474,0.011469223697697775,0.00035066761889417255,0.010982887415591999,0.00023812291262994938,0.010902210376309125,0.011140333288939075,0.00017131970777210966,0.0135507943147699,0.000895815766676451,0.013145906224344275,0.014041721991020726,0.0009175214613017779,0.0128882413460913,0.00045302087018254944,0.01265014927271565,0.0131031701428982,0.00037194543509443107,0.01384918923616945,0.0007830936804911759,0.01359275936031075,0.014375853040801925,0.0004947930578102482,0.0430509016715097,0.0017801840609112593,0.04231828098168787,0.04409846504259913,0.0019860209115449487,0.0110770246152068,0.0002462382823110003,0.010958417560314276,0.011204655842625276,0.00019373870518402345
WFG3,D11,0.012106040720554899,0.0004296568070847259,0.011928799823483225,0.01235845663056795,0.00042059268278922876,0.01197467456677785,0.00025666402964757626,0.01187265009798635,0.012129314127633926,0.00020874962134869617,0.013095796459548649,0.00041959656241645146,0.012989036415905049,0.0134086329783215,0.0003053477561187416,0.0144707605467446,0.0005835552290064001,0.014131529689015175,0.014715084918021575,0.00047075361868816783,0.0113430390225476,6.669609377749942e-05,0.011310316928700725,0.011377013022478224,7.371863726093223e-05,0.0138148763157354,0.0003396923999332505,0.013657049380007025,0.013996741779940276,0.00024383013764676093,0.01203636143409715,0.0002845617600429999,0.011915444075113975,0.012200005835156975,0.0002710545894777203
WFG4,D11,0.01269733683976805,0.0002485520142377004,0.012587677714913426,0.012836229729151126,0.00019730361402639567,0.012920829399379951,0.0002245369679607749,0.0127833378676421,0.013007874835602874,0.0001803525788641041,0.0323349528577896,0.007738955965631646,0.028783605318644673,0.03652256128427632,0.004251543938344989,0.015283197379981399,0.0005947197354208237,0.015001162323148751,0.015595882058569575,0.00045130932643020405,0.0122327852195762,1.8853168054742964e-06,0.012232078074361951,0.012233963391167425,1.4719819103849327e-06,0.015895708739143102,0.0018727643175670012,0.01521481033709955,0.01708757465466655,0.0013596982599690533,0.01289092475863135,0.0003083975223298254,0.012740346784876976,0.013048744307206801,0.00020091846605954912
WFG5,D11,0.0634962941610437,0.0001329808219964479,0.06343745152484792,0.06357043234684437,0.000557409061246078,0.0636532040761042,0.00017472527826811746,0.06357304376410643,0.06374776904237454,0.00011817064823766004,0.0756537078262362,0.00558606879396692,0.07362262981236323,0.07920869860633015,0.005008023810814954,0.06533915483313925,0.00047948441326060853,0.06504253376399927,0.06552201817725987,0.0008302853309273003,0.0633701901424739,8.328416229164137e-06,0.06336910599852347,0.06337743441475263,1.0400932893582139e-05,0.06975245162667405,0.00029385678058162223,0.069674599381117,0.06996845616169863,0.0013421862016881844,0.0636528201456833,0.00013196067386685162,0.0635912919960578,0.06372325266992465,0.00011284046744303936
WFG6,D11,0.08421183584033075,0.037471657900174926,0.06453440686926165,0.10200606476943658,0.026414914942210956,0.08594432170082555,0.02783581216954477,0.07213163568952713,0.0999674478590719,0.021522422916433054,0.0904299262494413,0.03386302312717607,0.0752725939833897,0.10913561711056577,0.021461055429236594,0.08186288083710824,0.026082779756467278,0.07010888029466797,0.09619166005113525,0.02049693059813554,0.08299887844532189,0.028615549134285767,0.0680208742204284,0.09663642335471417,0.02020737328476276,0.08176564586361154,0.03157598722360583,0.06524286270233587,0.0968188499259417,0.02104057586918612,0.0763566150933066,0.029408087159718314,0.060164152059023125,0.08957223921874144,0.023702631356853198
WFG7,D11,0.01327120120680075,0.0003599800198069488,0.013116418685124425,0.013476398704931374,0.0002945634591778748,0.013672065828353449,0.00043921463826445024,0.01348193182912605,0.0139211464673905,0.00031644520477349937,0.03203027581523925,0.005409062062235126,0.0296978498047017,0.035106911866936825,0.003838014971452723,0.0169796672129474,0.0009253913690209989,0.016636638010654452,0.01756202937967545,0.0006351585225814821,0.01223427705149695,1.8556950778236825e-06,0.012233422743035526,0.01223527843811335,1.6709214432247646e-06,0.0153912994526467,0.0013081448797700491,0.014663944959805074,0.015972089839575123,0.0010068573837110574,0.0137131375253036,0.00046617743537805123,0.013513060809629125,0.013979238245007176,0.00030466437764600513
WFG8,D11,0.1074141534047569,0.0021607427306360866,0.10623810357338573,0.10839884630402181,0.002218124757230198,0.1068981820914449,0.0023516274376780277,0.10538986528994088,0.1077414927276189,0.0018219621847481557,0.11317480586819335,0.004119679986941294,0.11171224105091743,0.11583192103785872,0.002946229388957375,0.10893232355641486,0.0024510541097137323,0.10728109307148262,0.10973214718119635,0.002188681402505434,0.1054052730489971,0.0017148744171790464,0.10455079310609815,0.1062656675232772,0.0015442295435324938,0.10874738190599785,0.0043604786594780565,0.10692799198502237,0.11128847064450043,0.0041312811054278215,0.10747732110939405,0.0019413191064283353,0.10609619619839458,0.10803751530482292,0.0016473796119339287
WFG9,D11,0.01655149809226345,0.003685301738701501,0.015153585453425399,0.0188388871921269,0.052427449295033395,0.015510008951258751,0.0016323975884704744,0.014958098571858449,0.016590496160328923,0.0012651015512225412,0.0324498167448734,0.006711710886027872,0.029732615828845427,0.0364443267148733,0.0044382360082969655,0.018523800842144653,0.001734606968785149,0.017738039302115226,0.019472646270900375,0.0014361693269162778,0.0145308525400785,0.0018553674755351496,0.013928679285076274,0.015784046760611424,0.0014282923308538053,0.03098498979873615,0.0041874268264139244,0.029788567608554098,0.03397599443496802,0.04468062146207894,0.015918867012147703,0.0013878608449179007,0.015409848893941626,0.016797709738859527,0.0011812339037152741
ZDT1,D30,0.00389785387645175,8.692705300947451e-05,0.003858346381030575,0.00394527343404005,6.192048027786184e-05,0.003932360712559,7.914389317019996e-05,0.003891075754960925,0.003970219648131125,6.161170822071999e-05,0.00424145395749735,0.00019575605916290033,0.00416277894780275,0.0043585350069656505,0.000128301848959833,0.0048134719719566,0.0002676653875208499,0.004672070888384525,0.004939736275905375,0.0001699900920954477,0.0038878806727952,2.0491531397539772e-07,0.003887783645097225,0.0038879885604112003,6.51664202082241e-05,0.0039895438258663995,5.4609055916824724e-05,0.0039715337019065,0.004026142757823325,3.813086409951838e-05,0.0039724770508656,0.00010913653084297561,0.00391500898264155,0.0040241455134845255,8.081397799360133e-05
ZDT2,D30,0.00389473947248365,6.161629785255036e-05,0.0038621765578044,0.00392379285565695,5.262029705742925e-05,0.003926850875145349,5.5243100824349696e-05,0.003892539859263475,0.003947782960087825,4.886047838993924e-05,0.0060189851819605,0.0008586697256344755,0.005714303623630425,0.0065729733492649,0.0006774619261979688,0.00488342601723475,0.000312432373594124,0.004738571460688125,0.005051003834282249,0.00020924805273845457,0.00380699497433535,2.9969873575029504e-08,0.0038069772847008,0.003807007254574375,2.142745776849373e-08,0.0040016520294056,9.845094618435041e-05,0.00396906776809905,0.004067518714283401,9.87725075585166e-05,0.003913216408325,6.49930779725253e-05,0.003882828019749875,0.0039478210977224,5.196980376887425e-05
ZDT3,D30,0.004846353495733,0.00012154115203507482,0.0047863817808844,0.004907922932919475,0.00267260388760713,0.00488586391659265,0.00013043314824859927,0.004825138597573725,0.004955571745822325,0.0038026023794873152,0.005299191585119,0.0002829064241282502,0.00514859803374905,0.0054315044578773005,0.0002579293689168976,0.00543020877621115,0.0002675749145354747,0.00528323395175605,0.005550808866291525,0.00019478106619995642,0.0061266858559565,0.0002115163153840749,0.0060153428303765,0.006226859145760575,0.00018140351507036552,0.01208174926733055,0.0005539432199302731,0.011870439037525975,0.012424382257456248,0.0053425047154441446,0.0049225086321233,0.00017501890129309992,0.0048265609602097,0.0050015798615028,0.0001379282180766504
ZDT4,D10,0.00382607999452285,4.929004298249995e-05,0.003801516178136975,0.0038508062211194747,4.0852872462825755e-05,0.00383349196919955,4.437029292510015e-05,0.00381387201506275,0.00385824230798785,5.076630437699421e-05,0.0042476650827681,0.00015118144987209987,0.004168462660909075,0.004319644110781175,0.00011530702879164107,0.0045402121403301,0.00023149388183137456,0.004451513769052325,0.0046830076508837,0.00015118823647174615,0.00389494186495975,1.6828911654600317e-05,0.003889590927388925,0.003906419839043525,3.748391030427902e-05,0.0048355154022776,0.0007184375455485748,0.004522037376197075,0.00524047492174565,0.0008413582949743238,0.00386323700889605,4.5415445182475124e-05,0.00383508949475905,0.003880504939941525,4.5200006728204874e-05
ZDT6,D10,0.00306681612208415,3.314445636209973e-05,0.003050374667348925,0.0030835191237110248,2.4763197968176208e-05,0.00308472820513525,2.686248993987502e-05,0.00307031276604015,0.003097175255980025,2.069790714689434e-05,0.00342558135255985,7.553726863487441e-05,0.003394449762869375,0.0034699870315042496,7.322837177130447e-05,0.00367337790159315,0.00017788670719179984,0.00360972376731025,0.00378761047450205,0.00012613060786023506,0.00300127030828525,2.475915512499191e-08,0.003001261004555375,0.0030012857637105,2.083397817358613e-08,0.0035386080642351003,0.00025324425681644974,0.0034155067451706,0.00366875100198705,0.00025844075459278753,0.00309512631937595,2.676985832217489e-05,0.0030811923981343,0.0031079622564564747,2.4674321152238478e-05
