Source,Config,Problem,M,D,Run,HasHV,HV,HasIGD,IGD,Path
baseline,ARMOEA,WFG4,2,11,45,1,0.347172082369167,1,0.0122285791981838,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_45.mat
baseline,ARMOEA,WFG4,2,11,46,1,0.347186540802967,1,0.0122370333897016,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_46.mat
baseline,ARMOEA,WFG4,2,11,5,1,0.347206512551577,1,0.0122342084350042,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_5.mat
baseline,ARMOEA,WFG4,2,11,51,1,0.347213950186222,1,0.0122345458208756,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_51.mat
baseline,ARMOEA,WFG4,2,11,52,1,0.347211218997922,1,0.0122352280387296,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_52.mat
baseline,ARMOEA,WFG4,2,11,53,1,0.347200147457859,1,0.0122364612850884,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_53.mat
baseline,ARMOEA,WFG4,2,11,54,1,0.347179118938943,1,0.0122383482418337,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_54.mat
baseline,ARMOEA,WFG4,2,11,6,1,0.347195406497824,1,0.0122305583567381,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_6.mat
main,IVFSPEA2,DTLZ1,2,6,3001,1,0.582530660197513,1,0.00181568197402708,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3001.mat
main,IVFSPEA2,DTLZ1,2,6,3002,1,0.582505148386767,1,0.0018272394782139,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3002.mat
main,IVFSPEA2,DTLZ1,2,6,3003,1,0.582479075296427,1,0.00183839935356854,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3003.mat
main,IVFSPEA2,DTLZ1,2,6,3004,1,0.582532079486279,1,0.0018140989242501,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3004.mat
main,IVFSPEA2,DTLZ1,2,6,3005,1,0.582523968046312,1,0.00181918476260291,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3005.mat
main,IVFSPEA2,DTLZ1,2,6,3006,1,0.582524472681435,1,0.00181859382316606,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3006.mat
main,IVFSPEA2,DTLZ1,2,6,3007,1,0.582523029850669,1,0.00181960986201972,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3007.mat
main,IVFSPEA2,DTLZ1,2,6,3008,1,0.582513819253367,1,0.00182354510528175,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3008.mat
main,IVFSPEA2,DTLZ1,2,6,3009,1,0.582496237047367,1,0.00183028009662188,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3009.mat
main,IVFSPEA2,DTLZ1,2,6,3010,1,0.58250360124852,1,0.00182791564954033,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3010.mat
main,IVFSPEA2,DTLZ1,2,6,3011,1,0.582496342700296,1,0.00182946413160668,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3011.mat
main,IVFSPEA2,DTLZ1,2,6,3012,1,0.582501556941097,1,0.00182865964938894,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3012.mat
main,IVFSPEA2,DTLZ1,2,6,3013,1,0.582517927110366,1,0.00182000922795742,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3013.mat
main,IVFSPEA2,DTLZ1,2,6,3014,1,0.582515521687492,1,0.00182217729416359,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3014.mat
main,IVFSPEA2,DTLZ1,2,6,3015,1,0.582529921264982,1,0.00181666031802742,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3015.mat
main,IVFSPEA2,DTLZ1,2,6,3016,1,0.582492393570162,1,0.00183270128831655,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3016.mat
main,IVFSPEA2,DTLZ1,2,6,3017,1,0.582515322181083,1,0.00182230348521748,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3017.mat
main,IVFSPEA2,DTLZ1,2,6,3018,1,0.582478145324912,1,0.00183857682603948,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3018.mat
main,IVFSPEA2,DTLZ1,2,6,3019,1,0.582533342228531,1,0.00181494719725275,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3019.mat
main,IVFSPEA2,DTLZ1,2,6,3020,1,0.58250464067436,1,0.0018257912028963,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3020.mat
main,IVFSPEA2,DTLZ1,2,6,3021,1,0.58249583166451,1,0.00183122392556821,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3021.mat
main,IVFSPEA2,DTLZ1,2,6,3022,1,0.582509907470706,1,0.00182521387594738,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3022.mat
main,IVFSPEA2,DTLZ1,2,6,3023,1,0.582490713014381,1,0.00183250321621744,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3023.mat
main,IVFSPEA2,DTLZ1,2,6,3024,1,0.582499530811561,1,0.00182574012208497,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3024.mat
