Algorithm,Problem,M,D,Run,HasHV,HV,Path
AGEMOEAII,DTLZ1,2,6,66,1,0.581926033792472,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_66.mat
AGEMOEAII,DTLZ1,2,6,67,1,0.582191108718975,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_67.mat
AGEMOEAII,DTLZ1,2,6,68,1,0.582001590972224,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_68.mat
AGEMOEAII,DTLZ1,2,6,69,1,0.581909079003354,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_69.mat
AGEMOEAII,DTLZ1,2,6,7,1,0.582120290970708,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_7.mat
AGEMOEAII,DTLZ1,2,6,70,1,0.582005233842462,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_70.mat
AGEMOEAII,DTLZ1,2,6,71,1,0.581833255159641,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_71.mat
AGEMOEAII,DTLZ1,2,6,72,1,0.581705984485604,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_72.mat
AGEMOEAII,DTLZ1,2,6,73,1,0.581914456688486,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_73.mat
AGEMOEAII,DTLZ1,2,6,74,1,0.582107841166284,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_74.mat
AGEMOEAII,DTLZ1,2,6,75,1,0.582015885184302,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_75.mat
AGEMOEAII,DTLZ1,2,6,76,1,0.581971960157447,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_76.mat
AGEMOEAII,DTLZ1,2,6,77,1,0.581642819033903,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_77.mat
AGEMOEAII,DTLZ1,2,6,78,1,0.582079987510343,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_78.mat
AGEMOEAII,DTLZ1,2,6,79,1,0.582079335986729,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_79.mat
AGEMOEAII,DTLZ1,2,6,8,1,0.582103387646695,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_8.mat
AGEMOEAII,DTLZ1,2,6,80,1,0.581990033122035,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_80.mat
AGEMOEAII,DTLZ1,2,6,81,1,0.581776116756127,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_81.mat
AGEMOEAII,DTLZ1,2,6,82,1,0.582093706170955,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_82.mat
AGEMOEAII,DTLZ1,2,6,83,1,0.581930768255998,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_83.mat
AGEMOEAII,DTLZ1,2,6,84,1,0.58180391845256,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_84.mat
AGEMOEAII,DTLZ1,2,6,85,1,0.582070244427663,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_85.mat
AGEMOEAII,DTLZ1,2,6,86,1,0.582059699369133,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_86.mat
AGEMOEAII,DTLZ1,2,6,87,1,0.58213944839601,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_87.mat
AGEMOEAII,DTLZ1,2,6,88,1,0.582057556194994,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_88.mat
AGEMOEAII,DTLZ1,2,6,89,1,0.582036390981322,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_89.mat
AGEMOEAII,DTLZ1,2,6,9,1,0.582072742159792,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_9.mat
AGEMOEAII,DTLZ1,2,6,90,1,0.581787702756578,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_90.mat
AGEMOEAII,DTLZ1,2,6,91,1,0.581951948927176,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_91.mat
AGEMOEAII,DTLZ1,2,6,92,1,0.582069579209258,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_92.mat
AGEMOEAII,DTLZ1,2,6,93,1,0.582066205580915,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_93.mat
AGEMOEAII,DTLZ1,2,6,94,1,0.582093393754231,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_94.mat
AGEMOEAII,DTLZ1,2,6,95,1,0.581762938207225,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_95.mat
AGEMOEAII,DTLZ1,2,6,96,1,0.581812469507452,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_96.mat
AGEMOEAII,DTLZ1,2,6,97,1,0.581980556364639,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_97.mat
AGEMOEAII,DTLZ1,2,6,98,1,0.582050988380269,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_98.mat
AGEMOEAII,DTLZ1,2,6,99,1,0.581721689285189,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_99.mat
AGEMOEAII,DTLZ1,3,7,1,1,0.842621585191206,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_1.mat
AGEMOEAII,DTLZ1,3,7,10,1,0.841853426974218,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_10.mat
AGEMOEAII,DTLZ1,3,7,100,1,0.842746545551003,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_100.mat
AGEMOEAII,DTLZ1,3,7,11,1,0.842676035147443,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_11.mat
AGEMOEAII,DTLZ1,3,7,12,1,0.842796982956699,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_12.mat
AGEMOEAII,DTLZ1,3,7,13,1,0.842698032936775,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_13.mat
AGEMOEAII,DTLZ1,3,7,14,1,0.842848305997655,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_14.mat
AGEMOEAII,DTLZ1,3,7,15,1,0.842209007075707,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_15.mat
AGEMOEAII,DTLZ1,3,7,16,1,0.842577083464954,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_16.mat
AGEMOEAII,DTLZ1,3,7,17,1,0.84262865882901,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_17.mat
AGEMOEAII,DTLZ1,3,7,18,1,0.842675891404467,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_18.mat
AGEMOEAII,DTLZ1,3,7,19,1,0.842640364311143,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_19.mat
AGEMOEAII,DTLZ1,3,7,2,1,0.84225394336032,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_2.mat
AGEMOEAII,DTLZ1,3,7,20,1,0.84264424101655,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_20.mat
AGEMOEAII,DTLZ1,3,7,21,1,0.842668605462117,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_21.mat
AGEMOEAII,DTLZ1,3,7,22,1,0.842643973463524,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_22.mat
AGEMOEAII,DTLZ1,3,7,23,1,0.842330212758257,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_23.mat
AGEMOEAII,DTLZ1,3,7,24,1,0.842733886366588,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_24.mat
AGEMOEAII,DTLZ1,3,7,25,1,0.842758452216725,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_25.mat
AGEMOEAII,DTLZ1,3,7,26,1,0.842701949335789,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_26.mat
AGEMOEAII,DTLZ1,3,7,27,1,0.842836399016572,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_27.mat
AGEMOEAII,DTLZ1,3,7,28,1,0.842596405138167,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M3_D7_28.mat
