Problem,R,C,IGD_Median,IGD_Mean,IGD_Std,Count
DTLZ2,0.0,0.32,0.05322469648702846,0.05324708716579726,0.00034781650988220523,30
DTLZ2,0.0,0.42,0.05361399680061988,0.05361399680061988,0.0,1
DTLZ2,0.0,0.53,0.053522659680675135,0.05348407547320737,0.00043418826870580203,7
DTLZ2,0.0,0.64,0.053193227036033824,0.05326244107600926,0.0002615828682540157,30
DTLZ2,0.05,0.05,0.053353465787025996,0.053435758962467356,0.00020926270018604363,9
DTLZ2,0.05,0.07,0.05311739950661292,0.05311739950661292,0.0,1
DTLZ2,0.05,0.11,0.05338548082759996,0.05343919039862843,0.0003067691327865415,30
DTLZ2,0.05,0.16,0.05327222371109447,0.05325622455328484,0.0002487839954832278,20
DTLZ2,0.05,0.21,0.05365122031693778,0.05360429810412174,0.0002879036883652473,3
DTLZ2,0.05,0.27,0.05330851956170686,0.05331602862877492,0.0002816645204636277,16
DTLZ2,0.05,0.32,0.053431346594719036,0.053431346594719036,0.0,1
DTLZ2,0.05,0.42,0.05334192905125289,0.053288663353561756,0.00033541215498865943,30
DTLZ2,0.05,0.53,0.053148948230585503,0.053148948230585503,0.00021585800941446853,2
DTLZ2,0.05,0.64,0.05329719565966932,0.053333772845439636,0.0003106865285272192,30
DTLZ2,0.075,0.05,0.05364482265554209,0.0534913624148252,0.0003254401297994138,7
DTLZ2,0.075,0.07,0.05332568684662745,0.05335802173232692,0.000358384425584417,15
DTLZ2,0.075,0.11,0.053372956598495364,0.05333969930124592,0.0002911076589863219,28
DTLZ2,0.075,0.16,0.05331784027063807,0.053242532929141474,0.00029072747921768367,21
DTLZ2,0.075,0.21,0.05335147434463308,0.05320417793410352,0.00034058711319709313,8
DTLZ2,0.075,0.27,0.05336357932669902,0.05334399973641334,0.0003290208320781636,14
DTLZ2,0.075,0.32,0.05330151955228934,0.05326496346699043,0.00019700765576783738,8
DTLZ2,0.075,0.42,0.053100152840529685,0.053100152840529685,5.792056477519139e-05,2
DTLZ2,0.075,0.53,0.053262764136344516,0.053262764136344516,8.919898529993059e-05,2
DTLZ2,0.075,0.64,0.05327078745339063,0.05329298782771203,0.00027538658720294254,30
DTLZ2,0.1,0.05,0.053435427238466275,0.053392524970510113,0.0002726563435961161,9
DTLZ2,0.1,0.07,0.05362604885631657,0.05362604885631657,8.112510743219989e-05,2
DTLZ2,0.1,0.1,0.004145546499301496,0.0041448192066451265,4.0541023900646975e-05,30
DTLZ2,0.1,0.11,0.053480825573162735,0.053447781969780686,0.000311088597503354,22
DTLZ2,0.1,0.125,0.0041356037120826306,0.004138172272917484,3.4830845269058215e-05,30
DTLZ2,0.1,0.15,0.004137458196772637,0.004137892862151775,4.0291813654123106e-05,30
DTLZ2,0.1,0.16,0.05339678812838567,0.05345253190583232,0.00032110092592474275,13
DTLZ2,0.1,0.21,0.05341581177318348,0.05339349172884358,0.00047175454017926147,10
DTLZ2,0.1,0.27,0.053657600765357,0.053657600765357,9.519634271013683e-06,2
DTLZ2,0.1,0.32,0.05284037414087139,0.05284037414087139,0.0,1
DTLZ2,0.1,0.42,0.053847969295824506,0.053847969295824506,0.0,1
DTLZ2,0.1,0.53,0.05338976519230496,0.05338976519230496,0.0,1
DTLZ2,0.1,0.64,0.05338196825884166,0.05335832541355963,0.0003068709757555469,30
DTLZ2,0.125,0.05,0.05339593640637581,0.053408466705036434,0.00032813502729628965,6
DTLZ2,0.125,0.07,0.053305602524442275,0.053232641017707305,0.00028653523644814663,7
DTLZ2,0.125,0.11,0.05332652551833128,0.05337625832051839,0.000129561163511814,4
DTLZ2,0.125,0.125,0.004131390133951173,0.004138248720139198,4.15641582449802e-05,30
DTLZ2,0.125,0.16,0.05323919800737908,0.053312098080103766,0.00015876204367466524,7
DTLZ2,0.125,0.21,0.053432617945779956,0.05339145320392715,0.00025449416544575217,4
DTLZ2,0.125,0.27,0.05324838179791364,0.05331243568509758,0.0002363987689253977,5
DTLZ2,0.125,0.32,0.053559134461631325,0.05360310441232306,0.0002171288891606418,29
DTLZ2,0.125,0.42,0.05337192891888551,0.053350422629343724,0.0003369447567222165,30
DTLZ2,0.125,0.53,0.05325187511194396,0.05333474701165474,0.00028968561697088473,27
DTLZ2,0.125,0.64,0.053445596792804084,0.053439092197123984,6.969847903238312e-05,3
DTLZ2,0.15,0.05,0.05323934606174079,0.0534392620067282,0.00029382352228455845,5
DTLZ2,0.15,0.07,0.053710615669031944,0.053710615669031944,0.0002042663749479874,2
DTLZ2,0.15,0.11,0.053389717750170956,0.05342605542491641,0.0003498089710117631,16
DTLZ2,0.15,0.125,0.004119943391491413,0.004129295316281031,4.456767831591377e-05,30
DTLZ2,0.15,0.16,0.053472902569771705,0.05348446719271269,0.0003179945082772143,12
DTLZ2,0.15,0.21,0.05340246216686423,0.05340246216686423,0.0,1
DTLZ2,0.15,0.27,0.0533164430357263,0.05343494215002004,0.0003183872517609929,10
DTLZ2,0.15,0.32,0.053213531003816913,0.05319683664508588,0.000252051487379832,5
DTLZ2,0.15,0.42,0.05307402695652762,0.05307402695652762,0.0003038637209898075,2
DTLZ2,0.15,0.53,0.05345485737355232,0.05345485737355232,0.00021147171627138375,2
DTLZ2,0.15,0.64,0.053162945370602135,0.053162945370602135,0.0,1
DTLZ2,0.2,0.05,0.0533748910961645,0.05335471680161352,0.000172969985083914,5
DTLZ2,0.2,0.07,0.05348529524151997,0.053418561365452005,0.00026033179637740075,29
DTLZ2,0.2,0.11,0.0535037860654214,0.05348687477381057,0.00022445731222133056,10
DTLZ2,0.2,0.16,0.05309297123677216,0.0530928265990094,0.00025929296720572247,4
DTLZ2,0.2,0.21,0.05355496743598258,0.053625249106376935,0.00016234657045882526,7
DTLZ2,0.2,0.27,0.05315932441125772,0.05327531144616079,0.0004820369485266889,4
DTLZ2,0.2,0.32,0.05344028089478453,0.053438313184943444,0.0001683431025380598,6
DTLZ2,0.2,0.42,0.0533771830979563,0.05339910740749104,0.0001829271380650977,12
DTLZ2,0.2,0.53,0.053600166355057884,0.05359963748239846,0.00015491303038305584,4
DTLZ2,0.2,0.64,0.053361881101000146,0.053361881101000146,0.0,1
DTLZ2,0.25,0.05,0.05367452494059327,0.05367452494059327,0.00020146948118491062,2
DTLZ2,0.25,0.07,0.053381198344444,0.053383137625821406,0.0003316167491452136,28
DTLZ2,0.25,0.11,0.05336753724461928,0.05336215161461164,0.00032714159473602614,20
DTLZ2,0.25,0.16,0.0535254705364423,0.0535134450754845,0.00021552103984405895,7
DTLZ2,0.25,0.21,0.05337541142526771,0.05337603049909713,0.00021655722833754826,18
