Problem,R,C,IGD_Median,Count,IQR
DTLZ2_M2,0.2,0.42,0.0041416569745222195,30,6.232187769927323e-05
DTLZ2_M2,0.2,0.53,0.004147870108367575,30,5.268165479822666e-05
DTLZ2_M2,0.2,0.64,0.00414094904653008,30,6.521591635896048e-05
DTLZ2_M2,0.25,0.05,0.004143685744159879,30,6.273960453268262e-05
DTLZ2_M2,0.25,0.07,0.004120852021642513,30,5.2079066048073275e-05
DTLZ2_M2,0.25,0.11,0.004145174561816815,30,4.7401379107580265e-05
DTLZ2_M2,0.25,0.16,0.004136899910931287,30,6.312995002363386e-05
DTLZ2_M2,0.25,0.21,0.0041338440604992786,30,5.6981552418660514e-05
DTLZ2_M2,0.25,0.27,0.004152799912172425,30,3.417457001301128e-05
DTLZ2_M2,0.25,0.32,0.00413588579174645,30,3.237638725597531e-05
DTLZ2_M2,0.25,0.42,0.004156323336475264,30,5.773729780914581e-05
DTLZ2_M2,0.25,0.53,0.004132942914446555,30,3.561239976320428e-05
DTLZ2_M2,0.25,0.64,0.00414460951438972,30,5.336376506646229e-05
DTLZ2_M2,0.3,0.05,0.0041515640478274355,30,6.13065245916155e-05
DTLZ2_M2,0.3,0.07,0.004123091695026232,30,5.3649033461733615e-05
DTLZ2_M2,0.3,0.11,0.004120199723818165,30,4.0810423606844545e-05
DTLZ2_M2,0.3,0.16,0.004138952206234015,30,4.4656276100879695e-05
DTLZ2_M2,0.3,0.21,0.004137038842037735,30,4.45371156365176e-05
DTLZ2_M2,0.3,0.27,0.004136045445470735,30,5.746849825346602e-05
DTLZ2_M2,0.3,0.32,0.004143167150024601,30,5.1741815625387655e-05
DTLZ2_M2,0.3,0.42,0.0041407015501661835,30,3.073203431438326e-05
DTLZ2_M2,0.3,0.53,0.004132675240584559,30,6.260131467850615e-05
DTLZ2_M2,0.3,0.64,0.004124092196806133,30,6.360240863588235e-05
WFG4_M2,0.0,0.05,0.013440983543843665,30,0.0004993557132100326
WFG4_M2,0.0,0.07,0.013495639149166839,30,0.0004947045209481391
WFG4_M2,0.0,0.11,0.013475709029855953,30,0.0005237856717666186
WFG4_M2,0.0,0.16,0.013298288900548698,30,0.0005387058700782738
WFG4_M2,0.0,0.21,0.013544169346012193,30,0.000672970502600994
WFG4_M2,0.0,0.27,0.013515927588148501,30,0.0005780714179631878
WFG4_M2,0.0,0.32,0.013393076982748584,30,0.0003446067367202186
WFG4_M2,0.0,0.42,0.013458868173463857,30,0.0005647074863229726
WFG4_M2,0.0,0.53,0.013517601931025539,30,0.0006864895143082715
