analysis_mode,comparison,ivf_algo,base_algo,problem,M,group,metric,test,n_ivf,n_base,n_pairs,p_value,a12_raw,a12_ivf,median_ivf,median_base,p_adj,significant,sign
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ6,3,DTLZ,HV,wilcoxon,30,30,30,0.685047073289752,0.5144444444444445,0.5144444444444445,0.19117154951378104,0.19120780002120574,0.7433489518676033,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ7,3,DTLZ,HV,wilcoxon,30,30,30,0.8871948085725307,0.4988888888888889,0.4988888888888889,0.2685312912923976,0.268631099818202,0.9032264724373817,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF1,3,MaF,HV,wilcoxon,30,30,30,0.23665234446525574,0.39111111111111113,0.39111111111111113,0.20553657259759106,0.2061166416772425,0.34483627336365835,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF2,3,MaF,HV,wilcoxon,30,30,30,0.8871948085725307,0.5122222222222222,0.5122222222222222,0.23766449266645864,0.2378329103043074,0.9032264724373817,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF3,3,MaF,HV,wilcoxon,30,30,30,1.3966113328933716e-05,0.8366666666666667,0.8366666666666667,0.9581228679193102,0.9574562117510261,0.00010175311139651706,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF4,3,MaF,HV,wilcoxon,30,30,30,0.005382779985666275,0.7344444444444445,0.7344444444444445,0.5181857165715358,0.5144105932914036,0.019608698519212858,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF5,3,MaF,HV,wilcoxon,30,30,30,0.2621222734451294,0.4388888888888889,0.4388888888888889,0.5595956297651419,0.5596037264296225,0.36130367420815135,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF6,3,MaF,HV,wilcoxon,30,30,30,0.6263462882488966,0.5522222222222222,0.5522222222222222,0.19274410990183635,0.19257299972161265,0.7259922886521301,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF7,3,MaF,HV,wilcoxon,30,30,30,0.5425279382616282,0.4444444444444444,0.4444444444444444,0.2685845299319771,0.26902508341316234,0.659576209608552,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG1,3,WFG,HV,wilcoxon,30,30,30,0.01453801617026329,0.31555555555555553,0.31555555555555553,0.9429145978030158,0.9434269145742704,0.03707194123417139,True,-
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG2,3,WFG,HV,wilcoxon,30,30,30,0.24494642950594425,0.43777777777777777,0.43777777777777777,0.9312861772616066,0.9313651804750902,0.3470074418000877,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG3,3,WFG,HV,wilcoxon,30,30,30,0.3492113798856735,0.4533333333333333,0.4533333333333333,0.387030040461538,0.386887071799089,0.4686784308991934,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG4,3,WFG,HV,wilcoxon,30,30,30,0.07672121562063694,0.3111111111111111,0.3111111111111111,0.5589054395850545,0.5589971317610377,0.1304260665550828,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG5,3,WFG,HV,wilcoxon,30,30,30,0.685047073289752,0.44,0.44,0.5184351902797271,0.5184368267165629,0.7433489518676033,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG6,3,WFG,HV,wilcoxon,30,30,30,1.6838312149047852e-06,0.7933333333333333,0.7933333333333333,0.5151779524770288,0.5054230308341574,1.7175078392028807e-05,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG7,3,WFG,HV,wilcoxon,30,30,30,0.5561132747679949,0.44222222222222224,0.44222222222222224,0.5585400499589875,0.5585790315842232,0.659576209608552,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG8,3,WFG,HV,wilcoxon,30,30,30,0.40449450351297855,0.5344444444444445,0.5344444444444445,0.47369777673148994,0.47342609003187053,0.5157304919790476,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG9,3,WFG,HV,wilcoxon,30,30,30,0.017453668639063835,0.69,0.69,0.5388331757732249,0.5371137060956107,0.0423874809805836,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ1,2,DTLZ,IGD,wilcoxon,30,30,30,0.0021877754479646683,0.20333333333333334,0.7966666666666666,0.0017853263971455,0.0017860342030849,0.00929804565384984,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ2,2,DTLZ,IGD,wilcoxon,30,30,30,1.862645149230957e-09,0.0,1.0,0.0039658782972563505,0.003966037678771,1.899898052215576e-08,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ3,2,DTLZ,IGD,wilcoxon,30,30,30,0.013663241639733315,0.24,0.76,0.003992677891399,0.004221532596863999,0.04355158272664994,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ4,2,DTLZ,IGD,wilcoxon,30,30,30,0.02084985189139843,0.17444444444444446,0.8255555555555556,0.00396587800767795,0.00396614944577285,0.048333747566423634,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ5,2,DTLZ,IGD,wilcoxon,30,30,30,1.862645149230957e-09,0.0,1.0,0.0039658783353843,0.0039660358374029,1.899898052215576e-08,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ6,2,DTLZ,IGD,wilcoxon,30,30,30,1.862645149230957e-09,0.0,1.0,0.00396587390878545,0.0039659708133419,1.899898052215576e-08,True,+
