problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
MaF7,2,MaF,0.0050405620910281505,0.00012168454776517561,0.0050737700936544505,8.366245625447515e-05,0.018529480323195457,0.33555555555555555,30,True,+
WFG1,2,WFG,0.09725139722017184,0.031483784243548626,0.08997286189720895,0.030512926865061824,0.10943205840885639,0.5822222222222223,30,False,=
WFG2,2,WFG,0.01393081316440385,0.0006712687571331262,0.01391687131393945,0.0006944051685320515,0.5698575973510742,0.4844444444444445,30,False,=
WFG3,2,WFG,0.01132071761216705,4.18321325904511e-05,0.0113425980134316,6.663183641607458e-05,0.016431212425231934,0.31222222222222223,30,True,+
WFG4,2,WFG,0.012232473607895401,1.973000154049248e-06,0.012232616422874851,1.0452702345741666e-06,0.935398668050766,0.41444444444444445,30,False,=
WFG5,2,WFG,0.06337149012799184,2.565182584485237e-06,0.06336994243206026,5.76525954644469e-06,1.0,0.58,30,False,=
WFG6,2,WFG,0.0717330776791116,0.024504765502006684,0.0872921317759421,0.016923488025076608,0.00466480478644371,0.31222222222222223,30,True,+
WFG7,2,WFG,0.01223346317574075,1.7389405953995712e-06,0.012233981319114299,1.571224716700667e-06,0.22855282202363014,0.40111111111111114,30,False,=
WFG8,2,WFG,0.10638752069867895,0.0012368533161065814,0.10562551497033901,0.0022222420380549196,0.07672121562063694,0.63,30,False,=
WFG9,2,WFG,0.014734404807654849,0.0014379489756222007,0.01455692861661975,0.000969569174760574,0.10943205840885639,0.6077777777777779,30,False,=
ZDT1,2,ZDT,0.0038879370449822,6.828772092497964e-08,0.00388791589295775,1.7926296984977982e-07,0.20540969260036945,0.5488888888888889,30,False,=
ZDT2,2,ZDT,0.00380696262440505,6.712601200147689e-09,0.00380699219437345,2.042651142458371e-08,5.587935447692871e-09,0.029999999999999954,30,True,+
ZDT3,2,ZDT,0.00608562632899685,0.00027620636452417493,0.0061160709122258,0.0002754434897024498,0.8871948085725307,0.46333333333333326,30,False,=
ZDT4,2,ZDT,0.003888827440609,9.44891662319966e-06,0.0038943355057410997,1.4833394205024646e-05,0.25343610532581806,0.3133333333333333,30,False,=
ZDT6,2,ZDT,0.0030012615661216997,2.09799696248604e-08,0.0030012735898631,2.3666952050482165e-08,0.00577649287879467,0.3277777777777777,30,True,+
DTLZ1,3,DTLZ,0.020558964174140652,1.0264886844527782e-05,0.02056161520981165,1.1874756240596446e-05,0.2621222734451294,0.4077777777777778,30,False,=
DTLZ2,3,DTLZ,0.0544639709058104,2.5271625389566843e-08,0.0544641503995398,7.850439214529548e-07,0.034536734223365784,0.35444444444444445,30,False,=
DTLZ3,3,DTLZ,0.05449525248344895,8.549774483052747e-05,0.0546063861307204,0.00028105763524184646,0.0050126127898693085,0.2833333333333333,30,True,+
DTLZ4,3,DTLZ,0.054465152393706195,6.4608209566219266e-06,0.0544712174846049,0.3651528729884693,0.017453668639063835,0.3022222222222222,30,True,+
DTLZ5,3,DTLZ,0.0128576074283162,0.0031890553010878522,0.0126101550199901,0.001527488270383225,0.370740607380867,0.5344444444444445,30,False,=
DTLZ6,3,DTLZ,0.019015649242571,0.0038738018218668242,0.019477480179245547,0.00251712900129435,0.9515264742076397,0.4855555555555556,30,False,=
DTLZ7,3,DTLZ,0.0757161091490364,0.0037774566080895633,0.07738583436072495,0.005053927912513662,0.17059839516878128,0.4122222222222222,30,False,=
MaF1,3,MaF,0.060966349801351155,0.002429860009245624,0.05983711376662865,0.0024898044041523765,0.08793856762349606,0.6222222222222221,30,False,=
MaF2,3,MaF,0.0359745333030978,0.0014924855534909492,0.0359815653190223,0.0007859535208037463,0.6120056137442589,0.4766666666666667,30,False,=
