comparison,metric,tau,algo,fe_norm,fraction_solved,ci_low,ci_high,n_traces
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.6909090909090908,0.9869281045751634,0.9810457516339869,0.9921568627450981,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7,0.9875816993464053,0.9816993464052287,0.9928104575163399,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.709090909090909,0.9875816993464053,0.9816993464052287,0.9928104575163399,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7181818181818181,0.9875816993464053,0.9816993464052287,0.9928104575163399,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7272727272727272,0.9875816993464053,0.9816993464052287,0.9928104575163399,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7363636363636363,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7454545454545454,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7545454545454545,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7636363636363636,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7727272727272727,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7818181818181817,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7909090909090909,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.7999999999999999,0.9882352941176471,0.9830065359477124,0.9934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8090909090909091,0.9888888888888889,0.9836601307189542,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8181818181818181,0.9888888888888889,0.9836601307189542,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8272727272727273,0.9888888888888889,0.9836601307189542,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8363636363636363,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8454545454545453,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8545454545454545,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8636363636363635,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8727272727272727,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8818181818181817,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8909090909090909,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.8999999999999999,0.9895424836601308,0.984313725490196,0.9941176470588236,1530
