problem,M,group,metric,algo,algo_label,median,rank,is_best
MaF7,3,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.0597139683443492,1,True
MaF7,3,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.0774746754515051,3,False
MaF7,3,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.07707450227892679,2,False
WFG1,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.0219188224986393,2,False
WFG1,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.01813387653282325,1,True
WFG1,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.09725139722017184,3,False
WFG1,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.15367039613017394,2,False
WFG1,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.23350882398122097,3,False
WFG1,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.14822488957280328,1,True
WFG2,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.01133241178016195,1,True
WFG2,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.01323741406521075,2,False
WFG2,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.01393081316440385,3,False
WFG2,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.18258502481226885,2,False
WFG2,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.2253121406132788,3,False
WFG2,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.1644808222367961,1,True
WFG3,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.0121383985270128,2,False
WFG3,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.0145799749386997,3,False
WFG3,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.01132071761216705,1,True
WFG3,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.0860952342905957,1,True
WFG3,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.0942328537858651,2,False
WFG3,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.10569325791138605,3,False
WFG4,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.012604425067995001,2,False
WFG4,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.01517210290981985,3,False
WFG4,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.012232473607895401,1,True
WFG4,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.21218095522410185,1,True
WFG4,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.2640004242075247,3,False
WFG4,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.22093086410299467,2,False
WFG5,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.06344167115938185,2,False
WFG5,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.06526074474515385,3,False
WFG5,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.06337149012799184,1,True
WFG5,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.22064758087647013,1,True
WFG5,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.2784208076921092,3,False
WFG5,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.2298827573733389,2,False
WFG6,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.08586024456147345,2,False
WFG6,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.09173679389398176,3,False
WFG6,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.0717330776791116,1,True
WFG6,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.24017439436368215,2,False
WFG6,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.308034519680709,3,False
WFG6,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.23178447808096309,1,True
WFG7,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.0131799309043283,2,False
WFG7,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.0167291921134494,3,False
WFG7,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.01223346317574075,1,True
WFG7,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.2141075331232007,1,True
WFG7,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.27828097187607315,3,False
WFG7,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.22107502970860216,2,False
WFG8,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.10745045166493741,2,False
WFG8,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.1094443444705969,3,False
WFG8,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.10638752069867895,1,True
WFG8,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.2934937899751331,2,False
WFG8,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.37100140851177243,3,False
WFG8,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.27893233661051864,1,True
WFG9,2,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.01743524600781695,2,False
WFG9,2,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.01995040241926855,3,False
WFG9,2,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.014734404807654849,1,True
WFG9,3,WFG,IGD,IVFSPEA2,IVF/SPEA2,0.21016766984276392,1,True
WFG9,3,WFG,IGD,IVFNSGAII,IVF/NSGA-II,0.27404038209938925,3,False
WFG9,3,WFG,IGD,IVFNSGAIII,IVF/NSGA-III,0.22107751747572205,2,False
ZDT1,2,ZDT,IGD,IVFSPEA2,IVF/SPEA2,0.00390163978502325,2,False
ZDT1,2,ZDT,IGD,IVFNSGAII,IVF/NSGA-II,0.00479916915894525,3,False
ZDT1,2,ZDT,IGD,IVFNSGAIII,IVF/NSGA-III,0.0038879370449822,1,True
ZDT2,2,ZDT,IGD,IVFSPEA2,IVF/SPEA2,0.00388786119562895,2,False
ZDT2,2,ZDT,IGD,IVFNSGAII,IVF/NSGA-II,0.00480006558558555,3,False
ZDT2,2,ZDT,IGD,IVFNSGAIII,IVF/NSGA-III,0.00380696262440505,1,True
ZDT3,2,ZDT,IGD,IVFSPEA2,IVF/SPEA2,0.00484181907734925,1,True
ZDT3,2,ZDT,IGD,IVFNSGAII,IVF/NSGA-II,0.0054970578725809,2,False
ZDT3,2,ZDT,IGD,IVFNSGAIII,IVF/NSGA-III,0.00608562632899685,3,False
ZDT4,2,ZDT,IGD,IVFSPEA2,IVF/SPEA2,0.0038111393307552997,1,True
ZDT4,2,ZDT,IGD,IVFNSGAII,IVF/NSGA-II,0.0045731050135855,3,False
ZDT4,2,ZDT,IGD,IVFNSGAIII,IVF/NSGA-III,0.003888827440609,2,False
ZDT6,2,ZDT,IGD,IVFSPEA2,IVF/SPEA2,0.0030623193129138,2,False
ZDT6,2,ZDT,IGD,IVFNSGAII,IVF/NSGA-II,0.00389741106531325,3,False
ZDT6,2,ZDT,IGD,IVFNSGAIII,IVF/NSGA-III,0.0030012615661216997,1,True
