problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
MaF5,3,MaF,0.5354742221137279,0.007513523910165354,0.5348262493063194,0.0035470223246206745,0.6701805889606476,0.5677777777777777,30,False,=
MaF6,3,MaF,0.19979191639866228,0.0001137409402684475,0.1997450132057397,0.00012334132434022038,0.09610157273709774,0.6544444444444444,30,False,=
MaF7,3,MaF,0.26835139873324476,0.0022418536602811234,0.26782726435617976,0.002472307124901263,0.8235769439488649,0.5433333333333333,30,False,=
WFG1,3,WFG,0.9299170021257968,0.002693550631356345,0.930376878469388,0.0048394550252407464,0.7303419969975948,0.4744444444444445,30,False,=
WFG2,3,WFG,0.9195194425330139,0.003825296853391169,0.9205143255137553,0.0030439106860272735,0.07324407435953617,0.38333333333333336,30,False,=
WFG3,3,WFG,0.40162944515566973,0.003676152947840572,0.4008388807832378,0.005302824185632993,0.6263462882488966,0.551111111111111,30,False,=
WFG4,3,WFG,0.5270303792764531,0.00589295835057746,0.5238097635571852,0.0061165033052981155,0.04048972204327583,0.6844444444444444,30,False,=
WFG5,3,WFG,0.4953898141096894,0.005926874215504863,0.49269309818349455,0.0062504431636478675,0.09194962680339813,0.6400000000000001,30,False,=
WFG6,3,WFG,0.47217482663102384,0.02162997153075147,0.47767242643705915,0.017729508104027847,0.6554384250193834,0.47333333333333333,30,False,=
WFG7,3,WFG,0.5240907005515445,0.005260613013734816,0.5202037785283407,0.0073158428077483295,0.026228994131088257,0.6533333333333334,30,False,=
WFG8,3,WFG,0.44482794625027544,0.005336002847332821,0.443058405359983,0.0046996755027896575,0.0011314544826745987,0.6888888888888888,30,True,+
WFG9,3,WFG,0.5090467779935797,0.008688358504946758,0.5010597664541295,0.005284722357180194,0.06056523136794567,0.6788888888888889,30,False,=
