Phase,ConfigID,ProblemTag,ProblemName,M,Run,IGD,HV,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description
A,A01,WFG4_M2,WFG4,2,100066,0.013201991391535318,0.3466079342985396,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100067,0.012622526835157206,0.3470256178227988,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100068,0.012744079297552637,0.34663515349449636,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100069,0.013140350789559963,0.34674561985529767,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100070,0.012821613897347692,0.34715455097283665,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100071,0.01308771957743142,0.347156288030102,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100072,0.012684243172585713,0.3470284694005684,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100073,0.01290452871512917,0.34702203288437505,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100074,0.012681385275932657,0.3470229015631778,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100075,0.012772395417708403,0.34695404176166084,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100076,0.013163002461881132,0.34672228873296523,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100077,0.013079953857290374,0.34690544115831934,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100078,0.012832176266575837,0.3472006894013451,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100079,0.012737036886112399,0.34688593069702633,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100080,0.0130216427161381,0.3471734275912879,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100081,0.013039692770997676,0.3469031295150507,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100082,0.012811770467546904,0.34708877474254884,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100083,0.012551120586049137,0.3472334776081458,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100084,0.012654386218321998,0.3470645136036288,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100085,0.012910686665382821,0.3470275337044034,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100086,0.012696392049924525,0.3472471198043458,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100087,0.012476379629603837,0.347232770501952,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100088,0.013188874147569685,0.3469916744533432,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100089,0.012688002142661296,0.3472919064096884,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100090,0.012671720158352,0.34679538576007873,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100091,0.017056007808244168,0.3419639353852401,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100092,0.018896721002756616,0.3404471295524469,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100093,0.015584716143044531,0.3429848220069401,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100094,0.02391168713883926,0.33670991930814315,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100095,0.021096919872304585,0.3388467697292234,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100096,0.018596016549683844,0.3406110495779702,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100097,0.01622143590053863,0.3426179613784892,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100098,0.01667096786343808,0.34198915577453215,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100099,0.014211988948431791,0.34439698083336523,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100100,0.01743973696946461,0.3417491973469523,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100101,0.014714261506865117,0.343916247011421,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100102,0.014329986872080437,0.34441993773648594,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100103,0.01697537754803099,0.34216240546468574,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100104,0.020946036517656016,0.33902617396692597,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100105,0.015124816916803943,0.34336034141778377,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100106,0.019506125157434006,0.339947332039204,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100107,0.019243248373541327,0.3402137395780225,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100108,0.01406650750990226,0.34459605151015466,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100109,0.014851489129417098,0.3438153054050584,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100110,0.02054631294999379,0.3392365620654396,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100111,0.01553954400220908,0.3432025342225586,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100112,0.018396535375400355,0.34099433034915094,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100113,0.015249778904764309,0.34349868482978807,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100114,0.015596795316432764,0.34312517813454524,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100115,0.01767713042197587,0.34143001605053297,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100116,0.015570296106531902,0.34298480325406516,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100117,0.01930128694114141,0.34019032922035974,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100118,0.01620183384873588,0.342627215604064,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100119,0.01658768048340171,0.3429838617939762,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG9_M2,WFG9,2,100120,0.01793928743964353,0.34101929292357913,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100121,0.020225416356729215,0.8423046448915832,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100122,0.019914477273788214,0.842623978321086,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100123,0.020248058669484814,0.8425051700344289,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100124,0.020146768063480255,0.8425004158221495,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100125,0.02033082234208593,0.8395838547833355,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100126,0.020047931756028512,0.8423344292452666,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
