Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
A,A47,0.2,0.21,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.4095744680851064,0.45390070921985815,0.3652482269503546,0.12797436022047423,0.5122094858477404,12,True
A,A28,0.15,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.41134751773049644,0.4858156028368794,0.3368794326241135,0.07610650853479113,0.5208727513808339,12,True
A,A38,0.2,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.41223404255319146,0.4698581560283688,0.3546099290780142,0.0764338202591685,0.5207622377551954,12,True
A,A48,0.2,0.21,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.42021276595744683,0.4078014184397163,0.4326241134751773,0.09606794754155636,0.5121492033102476,12,True
A,A42,0.2,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.4317375886524823,0.4698581560283688,0.39361702127659576,0.18025131670416786,0.503562632522438,12,True
A,A35,0.15,0.21,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.43439716312056736,0.4716312056737589,0.39716312056737585,0.0757196696055578,0.5211101501169828,12,True
A,A33,0.15,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.4432624113475177,0.5053191489361702,0.3812056737588652,0.17949019474804773,0.5036296671969142,12,True
A,A26,0.15,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.449468085106383,0.4574468085106383,0.44148936170212766,0.07596643487200118,0.5207786506009491,12,True
A,A30,0.15,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.47695035460992913,0.4609929078014184,0.49290780141843976,0.1798622612851237,0.503410903661072,12,True
A,A21,0.1,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.49645390070921985,0.4556737588652482,0.5372340425531915,0.07580855463140045,0.5206816674106366,12,True
A,A17,0.1,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.49645390070921985,0.47517730496453897,0.5177304964539007,0.0759429098292751,0.5206078828236843,12,True
A,A24,0.1,0.21,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5026595744680852,0.5035460992907802,0.50177304964539,0.0756532584722965,0.5207562771015339,12,True
A,A19,0.1,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5106382978723404,0.4875886524822695,0.5336879432624113,0.07565863166676347,0.5207104335789836,12,True
A,A25,0.15,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5186170212765958,0.5656028368794326,0.4716312056737588,0.07655874286333442,0.5206667469115244,12,True
A,A20,0.1,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5195035460992908,0.5443262411347517,0.4946808510638298,0.1277344181802857,0.5121118711612085,12,True
A,A22,0.1,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5523049645390071,0.5195035460992908,0.5851063829787234,0.12798024731225424,0.5121282912481219,12,True
A,A13,0.1,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5691489361702128,0.6099290780141844,0.5283687943262411,0.07634230090930941,0.5206260853872239,12,True
A,A18,0.1,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5744680851063829,0.5886524822695035,0.5602836879432624,0.07594609438485145,0.5206796515933166,12,True
A,A14,0.1,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5762411347517731,0.576241134751773,0.576241134751773,0.12787400166601073,0.5119465034700884,12,True
A,A15,0.1,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5780141843971631,0.624113475177305,0.5319148936170213,0.09634584182478818,0.5120688821525121,12,True
A,A23,0.1,0.21,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.5877659574468085,0.5673758865248227,0.6081560283687943,0.07609850309028697,0.5204494710621355,12,True
A,A09,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.62322695035461,0.5904255319148937,0.6560283687943262,0.07567330090989101,0.5207056942223276,12,True
A,A01,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6285460992907802,0.5354609929078015,0.7216312056737588,0.07585582194299656,0.52055468998851,12,True
A,A02,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6365248226950354,0.6329787234042553,0.6400709219858156,0.07605053670943092,0.5205536568141944,12,True
A,A04,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6391843971631206,0.6028368794326241,0.6755319148936171,0.07558242676180343,0.5206596340060584,12,True
A,A10,0.05,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6427304964539007,0.5904255319148936,0.6950354609929078,0.07565108306463378,0.5204237315040127,12,True
A,A07,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.651595744680851,0.599290780141844,0.7039007092198583,0.07561164862024956,0.5205784016455335,12,True
A,A08,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6578014184397163,0.6063829787234042,0.7092198581560284,0.07556874486086713,0.5205784654134494,12,True
A,A16,0.1,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6586879432624113,0.650709219858156,0.6666666666666666,0.12807605306011147,0.5119316274151015,12,True
