Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A04,ZDT1_M2,ZDT1,2,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003917502924249208,0.003906528587205362,9.592925745213884e-05,0.7203775894081079,0.720379673413708,8.943534915539786e-05
A,A04,ZDT6_M2,ZDT6,2,0.05,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030794081709969133,0.0030803210199843076,2.6426273776309316e-05,0.38890985896767116,0.38891052824112365,2.1568572241281725e-05
A,A05,DTLZ1_M3,DTLZ1,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0201763411824603,0.020180045936049763,0.0002669162548315472,0.8419381718489178,0.8414996846474906,0.0011604290327947853
A,A05,DTLZ2_M3,DTLZ2,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05413540340747401,0.05417502226943667,0.0008081489419250604,0.5561283921201738,0.5560855136057775,0.0008691874354721518
A,A05,DTLZ4_M3,DTLZ4,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05459537299925008,0.2649259204252384,0.4869909703382003,0.5534806285780933,0.46565355644122486,0.20906496180293155
A,A05,DTLZ7_M3,DTLZ7,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06033792963525378,0.0884878640677182,0.0014962154324487595,0.27718830502595493,0.27380359125574727,0.0013042600084250955
A,A05,MaF1_M3,MaF1,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04130861041605606,0.04135955395844607,0.0004728114644550821,0.21933009585545452,0.21920770444143864,0.0009825860071625558
A,A05,MaF5_M3,MaF5,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24553173191227382,0.9502289871876926,1.2492256734044689,0.5534783842602053,0.4567884779558051,0.20881135569547116
A,A05,WFG2_M3,WFG2,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17610875855183747,0.1757566434315518,0.0065108822858315485,0.9286930936258317,0.9289426332089873,0.0023572671888143493
A,A05,WFG4_M2,WFG4,2,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012888716343165943,0.012905062441070076,0.0002598612658812269,0.347079048285167,0.3470262907067567,0.0002420584912241619
A,A05,WFG5_M3,WFG5,3,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22165385920521347,0.22183261033832,0.002243636358008838,0.5146434078865103,0.5144435969566438,0.0017590541729722853
A,A05,WFG9_M2,WFG9,2,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0163174936050082,0.016579314221446227,0.0015628728052915642,0.3425335676841818,0.3423718629967956,0.001467484026996091
A,A05,ZDT1_M2,ZDT1,2,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003927783430590778,0.0039311601808560874,9.06764948760885e-05,0.7203626260150923,0.7203440049955829,0.00012484855220407098
A,A05,ZDT6_M2,ZDT6,2,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003079542102417308,0.0030787482488099467,1.9967424771182712e-05,0.3889112621274564,0.38890840794240883,1.3935702834866337e-05
