algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ2,DTLZ,3,12,4030,0.0668233893601609,0.5316778514485148
IVFNSGAII,DTLZ3,DTLZ,2,11,4001,0.0053517904011916,0.345773470376617
IVFNSGAII,DTLZ3,DTLZ,2,11,4002,0.0053395183264413,0.3457871304747638
IVFNSGAII,DTLZ3,DTLZ,2,11,4003,0.0047799981611754,0.3469033102559827
IVFNSGAII,DTLZ3,DTLZ,2,11,4004,0.0050950741468254,0.3465710085821799
IVFNSGAII,DTLZ3,DTLZ,2,11,4005,0.0051599045693893,0.3468362419687622
IVFNSGAII,DTLZ3,DTLZ,2,11,4006,0.0054484261328147,0.3456433505009698
IVFNSGAII,DTLZ3,DTLZ,2,11,4007,0.0058077148852421,0.3439474687286307
IVFNSGAII,DTLZ3,DTLZ,2,11,4008,0.0051038550963976,0.3465289022920498
IVFNSGAII,DTLZ3,DTLZ,2,11,4009,0.0049264082512131,0.3466688873658431
IVFNSGAII,DTLZ3,DTLZ,2,11,4010,0.0052800988100122,0.3465430725904012
IVFNSGAII,DTLZ3,DTLZ,2,11,4011,0.0052428604287105,0.345203778439995
IVFNSGAII,DTLZ3,DTLZ,2,11,4012,0.0050984559009038,0.3454836851539006
IVFNSGAII,DTLZ3,DTLZ,2,11,4013,0.0048906535290618,0.3470139785731648
IVFNSGAII,DTLZ3,DTLZ,2,11,4014,0.0052578223730218,0.3449422270715744
IVFNSGAII,DTLZ3,DTLZ,2,11,4015,0.0049529024384623,0.3460682410909339
IVFNSGAII,DTLZ3,DTLZ,2,11,4016,0.005473405582167,0.3454098416451768
IVFNSGAII,DTLZ3,DTLZ,2,11,4017,0.0061350463107582,0.3429624382251906
IVFNSGAII,DTLZ3,DTLZ,2,11,4018,0.0051297401000189,0.345178039520122
IVFNSGAII,DTLZ3,DTLZ,2,11,4019,0.0052282187162388,0.3456036401963548
IVFNSGAII,DTLZ3,DTLZ,2,11,4020,0.0057528279128477,0.3441264176091754
