algo,problem,M,run,FE,IGD,HV
IVFNSGAII,DTLZ1,2,4006,100000,0.002169453881985754,0.581640805423766
IVFNSGAII,DTLZ1,2,4007,10000,0.01998914389470056,0.532458287314605
IVFNSGAII,DTLZ1,2,4007,20000,0.004874717482582594,0.5718182621772625
IVFNSGAII,DTLZ1,2,4007,30000,0.0024424723590679713,0.5796570080036874
IVFNSGAII,DTLZ1,2,4007,40000,0.0025537767176330843,0.5794523223009294
IVFNSGAII,DTLZ1,2,4007,50000,0.002235758314003087,0.5811610195447692
IVFNSGAII,DTLZ1,2,4007,60000,0.0021601947796269223,0.5814116803036544
IVFNSGAII,DTLZ1,2,4007,70000,0.002199391606363196,0.5815297160333295
IVFNSGAII,DTLZ1,2,4007,80000,0.0020907508068826164,0.5818452762549136
IVFNSGAII,DTLZ1,2,4007,90000,0.0021919032161034045,0.5816107882100541
IVFNSGAII,DTLZ1,2,4007,100000,0.0021451491511451245,0.5817204463196493
IVFNSGAII,DTLZ1,2,4008,10000,0.7131312979000535,0.0
IVFNSGAII,DTLZ1,2,4008,20000,0.003356185128127471,0.5765621289020524
IVFNSGAII,DTLZ1,2,4008,30000,0.0029354745115390303,0.5777416079668232
IVFNSGAII,DTLZ1,2,4008,40000,0.002660975344127565,0.5785752397410429
IVFNSGAII,DTLZ1,2,4008,50000,0.0024351719305202484,0.5798341405760479
IVFNSGAII,DTLZ1,2,4008,60000,0.0022151298617835023,0.5812821551086433
IVFNSGAII,DTLZ1,2,4008,70000,0.0021608457525230176,0.5814623812842128
IVFNSGAII,DTLZ1,2,4008,80000,0.0021769464412262655,0.5814348193253206
IVFNSGAII,DTLZ1,2,4008,90000,0.002225822680652216,0.5813253320687441
IVFNSGAII,DTLZ1,2,4008,100000,0.002306877330741079,0.5812426453020725
IVFNSGAII,DTLZ1,2,4009,10000,0.7204026214547702,0.0
IVFNSGAII,DTLZ1,2,4009,20000,0.0026094459482514645,0.5790069499855397
IVFNSGAII,DTLZ1,2,4009,30000,0.0025469640533811733,0.5795528972004784
IVFNSGAII,DTLZ1,2,4009,40000,0.0023247747914147197,0.5805072539187487
IVFNSGAII,DTLZ1,2,4009,50000,0.002275092518684634,0.5808518658646467
IVFNSGAII,DTLZ1,2,4009,60000,0.0022311025189788386,0.581010897602606
IVFNSGAII,DTLZ1,2,4009,70000,0.0021776402877818446,0.5812648911383138
IVFNSGAII,DTLZ1,2,4009,80000,0.002208052134473883,0.5814657763816502
IVFNSGAII,DTLZ1,2,4009,90000,0.0021383801312952334,0.5816291279728071
IVFNSGAII,DTLZ1,2,4009,100000,0.002132876665134063,0.5816420628425417
IVFNSGAII,DTLZ1,2,4010,10000,0.005944706805637024,0.5689018622224289
IVFNSGAII,DTLZ1,2,4010,20000,0.0034643331359238785,0.5760087180383962
IVFNSGAII,DTLZ1,2,4010,30000,0.0024135345202185524,0.5799298859581499
IVFNSGAII,DTLZ1,2,4010,40000,0.002359228584606464,0.5801957484452145
IVFNSGAII,DTLZ1,2,4010,50000,0.0022209653746210955,0.5812793042178159
IVFNSGAII,DTLZ1,2,4010,60000,0.0021660623670592587,0.5815952028630554
IVFNSGAII,DTLZ1,2,4010,70000,0.0023443520900790064,0.5812354528338206
IVFNSGAII,DTLZ1,2,4010,80000,0.002168833254901657,0.5816506963369827
IVFNSGAII,DTLZ1,2,4010,90000,0.002164656599289057,0.5816610924820931
IVFNSGAII,DTLZ1,2,4010,100000,0.002164929224808961,0.5816605188950887
IVFNSGAII,DTLZ1,2,4011,10000,0.003829840143199923,0.5754356755194185
IVFNSGAII,DTLZ1,2,4011,20000,0.0022816027787492445,0.580723300380197
IVFNSGAII,DTLZ1,2,4011,30000,0.00218232760882975,0.5810575379889344
IVFNSGAII,DTLZ1,2,4011,40000,0.0021493911970949945,0.5811760359601794
IVFNSGAII,DTLZ1,2,4011,50000,0.0023065659813650856,0.5808258467663578
IVFNSGAII,DTLZ1,2,4011,60000,0.0022093114490920993,0.581279902308175
IVFNSGAII,DTLZ1,2,4011,70000,0.002269462053308044,0.5812507514267893
IVFNSGAII,DTLZ1,2,4011,80000,0.0021343079514045456,0.5815821190722301
IVFNSGAII,DTLZ1,2,4011,90000,0.002157275947015973,0.5815291340906124
IVFNSGAII,DTLZ1,2,4011,100000,0.0022123022691080286,0.5813965819420293
IVFNSGAII,DTLZ1,2,4012,10000,0.028777612281100734,0.5060949884560633
IVFNSGAII,DTLZ1,2,4012,20000,0.00320022414607628,0.5768098354765507
IVFNSGAII,DTLZ1,2,4012,30000,0.0023940973480060575,0.579945563827498
IVFNSGAII,DTLZ1,2,4012,40000,0.002236932209544178,0.580883658940974
IVFNSGAII,DTLZ1,2,4012,50000,0.0021582400592788363,0.5816392826370393
IVFNSGAII,DTLZ1,2,4012,60000,0.0022254318691865313,0.5815283255912794
IVFNSGAII,DTLZ1,2,4012,70000,0.0022652572126464258,0.5814103754928528
IVFNSGAII,DTLZ1,2,4012,80000,0.0021761233040693785,0.5816444569236154
IVFNSGAII,DTLZ1,2,4012,90000,0.002204065607906391,0.581579153665525
IVFNSGAII,DTLZ1,2,4012,100000,0.0023298885911334772,0.5812875068684622
IVFNSGAII,DTLZ1,2,4013,10000,0.3616947923091662,0.010819457312741436
IVFNSGAII,DTLZ1,2,4013,20000,0.004737684152704485,0.5722497042589931
IVFNSGAII,DTLZ1,2,4013,30000,0.0031191203030482726,0.5770754194365704
IVFNSGAII,DTLZ1,2,4013,40000,0.0024170054383848266,0.5799750329558437
IVFNSGAII,DTLZ1,2,4013,50000,0.0023597761842473275,0.58021106937284
IVFNSGAII,DTLZ1,2,4013,60000,0.002203449002071738,0.5815035758967011
IVFNSGAII,DTLZ1,2,4013,70000,0.002262087114069927,0.5813921501798207
IVFNSGAII,DTLZ1,2,4013,80000,0.0022702127118985537,0.5814137079479218
IVFNSGAII,DTLZ1,2,4013,90000,0.002154631619044588,0.5817139661633913
IVFNSGAII,DTLZ1,2,4013,100000,0.0022044292994589194,0.5816163693685739
IVFNSGAII,DTLZ1,2,4014,10000,0.004613718086359298,0.5725957718057075
IVFNSGAII,DTLZ1,2,4014,20000,0.002280356887810116,0.5804906948150284
IVFNSGAII,DTLZ1,2,4014,30000,0.002351452980702822,0.5803751075583786
IVFNSGAII,DTLZ1,2,4014,40000,0.0022543426650336665,0.5806903435984712
IVFNSGAII,DTLZ1,2,4014,50000,0.0023942254557584247,0.5803722456030859
IVFNSGAII,DTLZ1,2,4014,60000,0.002318386165777255,0.580840656206123
IVFNSGAII,DTLZ1,2,4014,70000,0.0022186646333749063,0.5811406262988248
IVFNSGAII,DTLZ1,2,4014,80000,0.0021918719337636404,0.5812155212356134
IVFNSGAII,DTLZ1,2,4014,90000,0.0021879596152939405,0.5813889032642399
IVFNSGAII,DTLZ1,2,4014,100000,0.0022901548131627984,0.5812483188797635
IVFNSGAII,DTLZ1,2,4015,10000,0.044176148453440985,0.45663222473963316
IVFNSGAII,DTLZ1,2,4015,20000,0.0037492533710477803,0.5750412735645767
IVFNSGAII,DTLZ1,2,4015,30000,0.0021319747754867313,0.5816104746910182
IVFNSGAII,DTLZ1,2,4015,40000,0.0021962729973053355,0.5815644622642302
IVFNSGAII,DTLZ1,2,4015,50000,0.0022321581483506036,0.5815009863723111
IVFNSGAII,DTLZ1,2,4015,60000,0.0022690416761501817,0.5814427037305874
IVFNSGAII,DTLZ1,2,4015,70000,0.002099852958013269,0.5818394532529849
IVFNSGAII,DTLZ1,2,4015,80000,0.002181348677436631,0.5816490321396028
IVFNSGAII,DTLZ1,2,4015,90000,0.0022521901427366912,0.5814882400059778
IVFNSGAII,DTLZ1,2,4015,100000,0.0021744229190832753,0.581674734058897
IVFNSGAII,DTLZ1,2,4016,10000,0.012327789507327807,0.5526892736876301
IVFNSGAII,DTLZ1,2,4016,20000,0.0032688599790886576,0.5765259692222258
IVFNSGAII,DTLZ1,2,4016,30000,0.0026105796548704066,0.5788155413368283
IVFNSGAII,DTLZ1,2,4016,40000,0.0025327361291919122,0.5791636322256484
IVFNSGAII,DTLZ1,2,4016,50000,0.002495541930883366,0.5793369252605145
IVFNSGAII,DTLZ1,2,4016,60000,0.0022667365360636814,0.5808973565042044
IVFNSGAII,DTLZ1,2,4016,70000,0.0021898581532077016,0.5813545754789491
IVFNSGAII,DTLZ1,2,4016,80000,0.0022521403448932113,0.5812887020000441
IVFNSGAII,DTLZ1,2,4016,90000,0.002223320887756075,0.5815148897011659
IVFNSGAII,DTLZ1,2,4016,100000,0.002130906703875961,0.5817302065103309
IVFNSGAII,DTLZ1,2,4017,10000,0.0066399151633681494,0.5674000813686574
IVFNSGAII,DTLZ1,2,4017,20000,0.0033844355374822144,0.5762088161466663
IVFNSGAII,DTLZ1,2,4017,30000,0.003046338208004101,0.5772896501371929
IVFNSGAII,DTLZ1,2,4017,40000,0.0027780095018628383,0.5783579682507469
IVFNSGAII,DTLZ1,2,4017,50000,0.002541938711478018,0.5793346291479703
IVFNSGAII,DTLZ1,2,4017,60000,0.002410108683459253,0.5799679808236147
IVFNSGAII,DTLZ1,2,4017,70000,0.0022991224285499627,0.5802642539714187
IVFNSGAII,DTLZ1,2,4017,80000,0.002525575901695941,0.5797410051135574
IVFNSGAII,DTLZ1,2,4017,90000,0.0021752959919082754,0.5811901522636151
IVFNSGAII,DTLZ1,2,4017,100000,0.002303643272591066,0.5810648089182087
IVFNSGAII,DTLZ1,2,4018,10000,0.36639448403284813,0.006968412826424304
IVFNSGAII,DTLZ1,2,4018,20000,0.002585912524999773,0.5792024652971884
IVFNSGAII,DTLZ1,2,4018,30000,0.002469664354099182,0.5796303754402382
IVFNSGAII,DTLZ1,2,4018,40000,0.0024313762658396136,0.5797641277614936
IVFNSGAII,DTLZ1,2,4018,50000,0.002332178968676442,0.5802169321438464
IVFNSGAII,DTLZ1,2,4018,60000,0.0022356299895517537,0.5813080737188001
IVFNSGAII,DTLZ1,2,4018,70000,0.00217205231974811,0.5816022955247957
IVFNSGAII,DTLZ1,2,4018,80000,0.002207912825236746,0.5815429906420995
IVFNSGAII,DTLZ1,2,4018,90000,0.002268203643021771,0.5814057855657444
IVFNSGAII,DTLZ1,2,4018,100000,0.0022157803940463564,0.5815283551459167
IVFNSGAII,DTLZ1,2,4019,10000,0.005967260193440682,0.5688457442097767
IVFNSGAII,DTLZ1,2,4019,20000,0.0027644131664317736,0.5783864127283198
IVFNSGAII,DTLZ1,2,4019,30000,0.002247634057489968,0.5803260738115597
IVFNSGAII,DTLZ1,2,4019,40000,0.0021030322553552265,0.5814273091942727
IVFNSGAII,DTLZ1,2,4019,50000,0.0022061683139393507,0.5815865313966356
IVFNSGAII,DTLZ1,2,4019,60000,0.0022032545182845732,0.5816110873846208
IVFNSGAII,DTLZ1,2,4019,70000,0.0022685495498242867,0.5814593645479477
IVFNSGAII,DTLZ1,2,4019,80000,0.0023469104381408554,0.5812765647386242
IVFNSGAII,DTLZ1,2,4019,90000,0.0022582217232569044,0.5814793259692232
IVFNSGAII,DTLZ1,2,4019,100000,0.0022904583895594923,0.5814212904154523
IVFNSGAII,DTLZ1,2,4020,10000,0.018489007784279577,0.5335351901727605
IVFNSGAII,DTLZ1,2,4020,20000,0.0032313063779247685,0.5768531118925213
IVFNSGAII,DTLZ1,2,4020,30000,0.0022192394332475806,0.5807823579806795
IVFNSGAII,DTLZ1,2,4020,40000,0.0022885052751646542,0.5809661023651469
IVFNSGAII,DTLZ1,2,4020,50000,0.002162379901486966,0.5812751839909467
IVFNSGAII,DTLZ1,2,4020,60000,0.0022296209303294344,0.5811342999210314
IVFNSGAII,DTLZ1,2,4020,70000,0.0022230315809121932,0.5811497033985353
IVFNSGAII,DTLZ1,2,4020,80000,0.0021718226152614077,0.5812713724724494
IVFNSGAII,DTLZ1,2,4020,90000,0.002159044067994776,0.5813530728202656
IVFNSGAII,DTLZ1,2,4020,100000,0.0022357609644482294,0.5811916477111809
IVFNSGAII,DTLZ1,2,4021,10000,0.004064733369908963,0.5741712213588098
IVFNSGAII,DTLZ1,2,4021,20000,0.0032952933400994455,0.5764641829072108
IVFNSGAII,DTLZ1,2,4021,30000,0.0023600216691396737,0.5802642762030643
IVFNSGAII,DTLZ1,2,4021,40000,0.0022048686353401746,0.5814238935462779
IVFNSGAII,DTLZ1,2,4021,50000,0.002133570514179682,0.5816350702638794
IVFNSGAII,DTLZ1,2,4021,60000,0.002321992736249899,0.5811966887322059
IVFNSGAII,DTLZ1,2,4021,70000,0.0021736717359553312,0.5815437611236751
IVFNSGAII,DTLZ1,2,4021,80000,0.0022104440774087346,0.5814577366325575
IVFNSGAII,DTLZ1,2,4021,90000,0.002347515071121969,0.5811373611111221
IVFNSGAII,DTLZ1,2,4021,100000,0.0022941618225553123,0.5812365710086735
IVFNSGAII,DTLZ1,2,4022,10000,0.012516686088172045,0.5496737064701818
IVFNSGAII,DTLZ1,2,4022,20000,0.00242753190456083,0.5796363109128841
IVFNSGAII,DTLZ1,2,4022,30000,0.0023013557936022665,0.5804026255832885
IVFNSGAII,DTLZ1,2,4022,40000,0.002246900638342643,0.5807278461162579
IVFNSGAII,DTLZ1,2,4022,50000,0.002241168320324944,0.5807675843703448
IVFNSGAII,DTLZ1,2,4022,60000,0.0022872445540555683,0.5807051191608963
IVFNSGAII,DTLZ1,2,4022,70000,0.0022977998520435105,0.5806981789574165
IVFNSGAII,DTLZ1,2,4022,80000,0.002297177201702087,0.5807592483773554
IVFNSGAII,DTLZ1,2,4022,90000,0.0022914448253698325,0.5808500242751948
IVFNSGAII,DTLZ1,2,4022,100000,0.0021980691897123834,0.5811485761871014
IVFNSGAII,DTLZ1,2,4023,10000,0.0030465962090421854,0.5773128575092001
IVFNSGAII,DTLZ1,2,4023,20000,0.0025351285867313143,0.579223752045716
IVFNSGAII,DTLZ1,2,4023,30000,0.0022290564265957918,0.5811396953852155
IVFNSGAII,DTLZ1,2,4023,40000,0.002212361720600188,0.5812982148361553
IVFNSGAII,DTLZ1,2,4023,50000,0.002276507071668018,0.5813093330947525
IVFNSGAII,DTLZ1,2,4023,60000,0.0020773446022201904,0.58190001486713
IVFNSGAII,DTLZ1,2,4023,70000,0.0022113475221664063,0.581589453100557
IVFNSGAII,DTLZ1,2,4023,80000,0.002127918956374453,0.581774731694249
IVFNSGAII,DTLZ1,2,4023,90000,0.002127567827364591,0.5817856862388505
IVFNSGAII,DTLZ1,2,4023,100000,0.0022633965199685894,0.581451899445872
IVFNSGAII,DTLZ1,2,4024,10000,0.36729880888649286,0.009082976315075503
IVFNSGAII,DTLZ1,2,4024,20000,0.0021982003956073685,0.5810707642705042
IVFNSGAII,DTLZ1,2,4024,30000,0.0021985712472052045,0.5811673670756643
IVFNSGAII,DTLZ1,2,4024,40000,0.002204782667041276,0.5811690530474074
IVFNSGAII,DTLZ1,2,4024,50000,0.002285978819176606,0.5809834534906985
IVFNSGAII,DTLZ1,2,4024,60000,0.00223716094948226,0.5812773178483155
IVFNSGAII,DTLZ1,2,4024,70000,0.00219153923449233,0.581638802257233
IVFNSGAII,DTLZ1,2,4024,80000,0.0022536574707216015,0.5814988638999825
IVFNSGAII,DTLZ1,2,4024,90000,0.0021448714786094425,0.581753452591288
IVFNSGAII,DTLZ1,2,4024,100000,0.0022521053686451412,0.5815027500366406
IVFNSGAII,DTLZ1,2,4025,10000,0.014994472721520173,0.5457792198471887
IVFNSGAII,DTLZ1,2,4025,20000,0.00385192856527749,0.5747874588672643
IVFNSGAII,DTLZ1,2,4025,30000,0.0027518556321386002,0.5783620701867696
IVFNSGAII,DTLZ1,2,4025,40000,0.002631678710395033,0.5788417240470545
IVFNSGAII,DTLZ1,2,4025,50000,0.0024190244450670957,0.5797424374155891
IVFNSGAII,DTLZ1,2,4025,60000,0.0023069647925243147,0.5804971838473081
IVFNSGAII,DTLZ1,2,4025,70000,0.0021994242949804773,0.5810383814388214
IVFNSGAII,DTLZ1,2,4025,80000,0.0021775453961793184,0.5813402871595145
IVFNSGAII,DTLZ1,2,4025,90000,0.0022137573028707044,0.5812565203835597
IVFNSGAII,DTLZ1,2,4025,100000,0.0023729811633203726,0.5810186644049438
IVFNSGAII,DTLZ1,2,4026,10000,0.43368748719928063,0.0
IVFNSGAII,DTLZ1,2,4026,20000,0.00716448743165483,0.5658551742585038
IVFNSGAII,DTLZ1,2,4026,30000,0.005708187236273858,0.5696621913937437
IVFNSGAII,DTLZ1,2,4026,40000,0.0024531782586104376,0.5793590406113458
IVFNSGAII,DTLZ1,2,4026,50000,0.002268341259343166,0.5812628226921874
IVFNSGAII,DTLZ1,2,4026,60000,0.002262689271554322,0.5812897094079708
IVFNSGAII,DTLZ1,2,4026,70000,0.0022493160604772668,0.581371019846292
IVFNSGAII,DTLZ1,2,4026,80000,0.0021640289454117182,0.5816056966434647
IVFNSGAII,DTLZ1,2,4026,90000,0.002143666720046867,0.5816851756006575
IVFNSGAII,DTLZ1,2,4026,100000,0.0020434143864374995,0.5819867913555077
IVFNSGAII,DTLZ1,2,4027,10000,0.009796617241156946,0.5578055059000601
IVFNSGAII,DTLZ1,2,4027,20000,0.002618734188989123,0.5788811232739124
