problem,M,group,metric,algo,algo_label,median,rank,is_best
MaF7,3,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.2685845299319771,2,False
WFG1,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.6871443417526542,2,False
WFG1,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.6947265363732968,1,True
WFG1,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.668511012902681,3,False
WFG1,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.9445405066261443,1,True
WFG1,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.9299170021257968,3,False
WFG1,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.9429145978030158,2,False
WFG2,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.6325347073740426,2,False
WFG2,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.6323764281560327,3,False
WFG2,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.6326755177724677,1,True
WFG2,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.9287250143370014,2,False
WFG2,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.9195194425330139,3,False
WFG2,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.9312861772616066,1,True
WFG3,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.5811474567513373,2,False
WFG3,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.5802299198489738,3,False
WFG3,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5823501329220049,1,True
WFG3,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.39625754994098583,2,False
WFG3,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.40162944515566973,1,True
WFG3,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.387030040461538,3,False
WFG4,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.34731204703467516,1,True
WFG4,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.34668116381381286,3,False
WFG4,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.3472073285507975,2,False
WFG4,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.5509758345332918,2,False
WFG4,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.5270303792764531,3,False
WFG4,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5589054395850545,1,True
WFG5,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.31359496397786535,1,True
WFG5,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.3128198670321404,3,False
WFG5,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.3133736311166976,2,False
WFG5,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.5167862493168263,2,False
WFG5,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.4953898141096894,3,False
WFG5,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5184351902797271,1,True
WFG6,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.30115093366629686,2,False
WFG6,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.29787763186294147,3,False
WFG6,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.30873409666013163,1,True
WFG6,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.49694573045578283,2,False
WFG6,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.47217482663102384,3,False
WFG6,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5151779524770288,1,True
WFG7,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.3466643180236312,2,False
WFG7,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.3454380670836672,3,False
WFG7,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.347171516140177,1,True
WFG7,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.5489948250571519,2,False
WFG7,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.5240907005515445,3,False
WFG7,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5585400499589875,1,True
WFG8,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.2899918240250343,2,False
WFG8,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.2889393042720053,3,False
WFG8,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.29033939686100707,1,True
WFG8,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.4625957604359324,2,False
WFG8,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.44482794625027544,3,False
WFG8,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.47369777673148994,1,True
WFG9,2,WFG,HV,IVFSPEA2,IVF/SPEA2,0.3416265372179221,2,False
WFG9,2,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.3414417450853091,3,False
WFG9,2,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.3434266984844626,1,True
WFG9,3,WFG,HV,IVFSPEA2,IVF/SPEA2,0.5350352986286353,2,False
WFG9,3,WFG,HV,IVFNSGAII,IVF/NSGA-II,0.5090467779935797,3,False
WFG9,3,WFG,HV,IVFNSGAIII,IVF/NSGA-III,0.5388331757732249,1,True
ZDT1,2,ZDT,HV,IVFSPEA2,IVF/SPEA2,0.7204180977013257,1,True
ZDT1,2,ZDT,HV,IVFNSGAII,IVF/NSGA-II,0.7192906982699823,3,False
ZDT1,2,ZDT,HV,IVFNSGAIII,IVF/NSGA-III,0.7203052690849581,2,False
ZDT2,2,ZDT,HV,IVFSPEA2,IVF/SPEA2,0.44505235994077963,1,True
ZDT2,2,ZDT,HV,IVFNSGAII,IVF/NSGA-II,0.44409501839807297,3,False
ZDT2,2,ZDT,HV,IVFNSGAIII,IVF/NSGA-III,0.4450337815902556,2,False
ZDT3,2,ZDT,HV,IVFSPEA2,IVF/SPEA2,0.5996815797381578,1,True
ZDT3,2,ZDT,HV,IVFNSGAII,IVF/NSGA-II,0.5993716881548994,2,False
ZDT3,2,ZDT,HV,IVFNSGAIII,IVF/NSGA-III,0.5987946727571245,3,False
ZDT4,2,ZDT,HV,IVFSPEA2,IVF/SPEA2,0.7205914222141478,1,True
ZDT4,2,ZDT,HV,IVFNSGAII,IVF/NSGA-II,0.7195292904035914,3,False
ZDT4,2,ZDT,HV,IVFNSGAIII,IVF/NSGA-III,0.7202474577521819,2,False
ZDT6,2,ZDT,HV,IVFSPEA2,IVF/SPEA2,0.3889293014243099,2,False
ZDT6,2,ZDT,HV,IVFNSGAII,IVF/NSGA-II,0.3880773626410836,3,False
ZDT6,2,ZDT,HV,IVFNSGAIII,IVF/NSGA-III,0.3889558328131574,1,True
