problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,significant,sign
WFG5,2,WFG,0.06526074474515385,0.0003369742457367819,0.06540536546023659,0.0008479785180425803,0.13473508320748806,0.4122222222222222,False,=
WFG6,2,WFG,0.09173679389398176,0.02799319822721255,0.08552090327270004,0.028004635439656728,0.46454504504799843,0.551111111111111,False,=
WFG7,2,WFG,0.0167291921134494,0.0012317909032819492,0.017264724053412152,0.0009398318074110498,0.19807579927146435,0.3866666666666667,False,=
WFG8,2,WFG,0.1094443444705969,0.0030281753611369894,0.1095067985972716,0.0027431332111441803,0.8871948085725307,0.46333333333333326,False,=
WFG9,2,WFG,0.01995040241926855,0.0018777460974122757,0.0181877656010348,0.002087914422408875,0.0006665531545877457,0.7611111111111112,True,-
ZDT1,2,ZDT,0.00479916915894525,0.00021169962257444955,0.00486155328261725,0.00031355020710270055,0.308520769700408,0.3977777777777778,False,=
ZDT2,2,ZDT,0.00480006558558555,0.00024148177217160009,0.0048852924751951,0.00012144882697557539,0.17719271034002304,0.37555555555555553,False,=
ZDT3,2,ZDT,0.0054970578725809,0.00025213307127255023,0.00543680233857415,0.00018019241592179963,0.140283040702343,0.63,False,=
ZDT4,2,ZDT,0.0045731050135855,0.00020824472666639959,0.0045132987300185,0.00019736949181637514,0.09610157273709774,0.6322222222222222,False,=
ZDT6,2,ZDT,0.00389741106531325,0.0002493894361677001,0.0036205404382279,0.00012680713991112527,6.146728992462158e-08,0.9211111111111111,True,-
DTLZ1,3,DTLZ,0.0267887526276709,0.0013927437848242734,0.0262598515356135,0.0017801315836666227,0.17719271034002304,0.6233333333333334,False,=
DTLZ2,3,DTLZ,0.06913979310062104,0.0032979869456086636,0.06999864965719016,0.003177674464598393,0.10943205840885639,0.37555555555555553,False,=
DTLZ3,3,DTLZ,0.06839486324762264,0.00385079965172945,0.06868937540747405,0.003571098891616678,0.17719271034002304,0.41000000000000003,False,=
DTLZ4,3,DTLZ,0.06709818277935375,0.002776291914342713,0.0680349959424827,0.003130317121597309,0.3598779272288084,0.4033333333333334,False,=
DTLZ5,3,DTLZ,0.00596916234060795,0.000584956821459575,0.0058265363712605,0.0004416109212091752,0.6554384250193834,0.5677777777777777,False,=
DTLZ6,3,DTLZ,0.0059198443743177,0.0004184621333342001,0.0057859272376214,0.0003428162533939509,0.2710056286305189,0.5733333333333335,False,=
DTLZ7,3,DTLZ,0.0766654386511594,0.006369478501447076,0.07517569636170379,0.006837916478044798,0.5425279382616282,0.4744444444444445,False,=
MaF1,3,MaF,0.0577080077186577,0.0026844722746335037,0.0578637514145051,0.0027627796986302786,0.4898460879921913,0.4655555555555555,False,=
MaF2,3,MaF,0.04556443099379995,0.0045313436479766725,0.0461371148365588,0.004268440072534199,0.5561132747679949,0.45666666666666667,False,=
MaF3,3,MaF,0.0510387833806675,0.007314317114335223,0.050901937581287,0.01200490715875712,0.28936620615422726,0.4477777777777778,False,=
MaF4,3,MaF,0.2962187764549937,0.0172821061801835,0.29607261227607373,0.011881505540575654,0.935398668050766,0.4799999999999999,False,=
MaF5,3,MaF,0.30320095715181294,0.011113142140995513,0.29692998002350557,0.007725884502667868,0.11417667381465435,0.6666666666666666,False,=
MaF6,3,MaF,0.00531270764937255,0.000393035651742475,0.0053202254529363,0.00028792303636502453,0.5698575973510742,0.4311111111111111,False,=
MaF7,3,MaF,0.0774746754515051,0.005905418587076841,0.07823286347664014,0.0051324628086208,0.7456546742469072,0.49222222222222217,False,=
WFG1,3,WFG,0.23350882398122097,0.015637387456711255,0.22184410540312194,0.023120802689870545,0.009301122277975082,0.7033333333333334,False,=
WFG2,3,WFG,0.2253121406132788,0.017008729588658955,0.21843652924085005,0.011747767976587942,0.09610157273709774,0.6433333333333332,False,=
WFG3,3,WFG,0.0942328537858651,0.023054672724216824,0.09221778834449065,0.017264963143571052,0.5158484429121017,0.5444444444444444,False,=
WFG4,3,WFG,0.2640004242075247,0.01245036506055247,0.2652504431163756,0.011795958501400694,0.5698575973510742,0.4311111111111111,False,=
WFG5,3,WFG,0.2784208076921092,0.011521508849002882,0.2815513089861012,0.012231593265847995,0.28936620615422726,0.4077777777777778,False,=
WFG6,3,WFG,0.308034519680709,0.020435027426011665,0.2975196905029453,0.021747079433995176,0.20540969260036945,0.6122222222222222,False,=
WFG7,3,WFG,0.27828097187607315,0.014512431356632383,0.2795535451647546,0.018068397752546372,0.23665234446525574,0.45666666666666667,False,=
WFG8,3,WFG,0.37100140851177243,0.014148141102882206,0.3746654494185811,0.020711409931330527,0.08406547829508781,0.39444444444444443,False,=
WFG9,3,WFG,0.27404038209938925,0.010848468277749879,0.2731402719646237,0.016652521531370035,0.4898460879921913,0.5466666666666666,False,=
