Grupo,Problema,M,instance,instance_label,Algoritmo,Run,IGD,score
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,56,0.0017882812588224,0.9949235023486448
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,57,0.001787292244933,0.9966121626979034
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,58,0.0017859543849586,0.9988964492138395
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,59,0.0017858865832226,0.9990122151342388
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,60,0.0017889167134359,0.99383851555415
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3001,0.001815681974027,0.9481390215610087
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3002,0.0018272394782139,0.9284055281632063
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3003,0.0018383993535685,0.9093509534843653
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3004,0.0018140989242501,0.9508419496167269
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3005,0.0018191847626029,0.9421582964737734
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3006,0.001818593823166,0.9431672772440148
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3007,0.0018196098620197,0.9414324739779147
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3008,0.0018235451052817,0.9347133678738958
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3009,0.0018302800966218,0.9232139208484069
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3010,0.0018279156495403,0.9272510209106435
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3011,0.0018294641316066,0.9246071143943404
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3012,0.0018286596493889,0.9259807020024357
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3013,0.0018200092279574,0.9407505892935171
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3014,0.0018221772941635,0.9370487935189098
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3015,0.0018166603180274,0.9464685791747921
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3016,0.0018327012883165,0.9190799339988646
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3017,0.0018223034852174,0.9368333326124086
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3018,0.0018385768260394,0.9090479337513709
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3019,0.0018149471972527,0.9493935928239761
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3020,0.0018257912028963,0.9308783398495263
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3021,0.0018312239255682,0.921602410094766
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3022,0.0018252138759473,0.9318640784097061
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3023,0.0018325032162174,0.9194181259126784
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3024,0.0018257401220849,0.9309655561583603
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3025,0.0018414124303835,0.9042063711874999
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3026,0.0018275750377437,0.9278325877031557
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3027,0.001828814395283,0.9257164860410847
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3028,0.0018234288227708,0.9349119107533979
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3029,0.0018241128959342,0.933743911760253
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3030,0.0018165532425234,0.946651401842825
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3031,0.0018136466466964,0.9516141765591173
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3032,0.0018119456386854,0.9545185086546852
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3033,0.0018235832743453,0.9346481973186987
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3034,0.0018295463591254,0.9244667176293366
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3035,0.0018271124306465,0.9286224514964752
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3036,0.0018285617631045,0.9261478348293595
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3037,0.0018077138583174,0.9617439276207914
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3038,0.0018253879968525,0.9315667812011029
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3039,0.0018335904723318,0.9175617249970247
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3040,0.0018332296534864,0.9181777936731298
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3041,0.0018132369564075,0.9523136892290165
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3042,0.0018131336421822,0.9524900898212108
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3043,0.0018284241250951,0.9263828404764143
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3044,0.0018413215769825,0.9043614959410636
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3045,0.001821894300871,0.9375319814268577
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3046,0.00182979930806,0.9240348280059205
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3047,0.0018342951930128,0.9163584720558253
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3048,0.001834221531723,0.9164842426852308
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3049,0.0018152603912815,0.948858839628164
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3050,0.0018314392161009,0.9212348191134485
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3051,0.0018388814323524,0.9085278433781112
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3052,0.0018240394052925,0.9338693910219806
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3053,0.0018190129245872,0.942451695835216
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3054,0.0018354374239971,0.9144082060448474
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3055,0.0018108088131098,0.9564595453722823
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3056,0.0018361458488909,0.9131986284631677
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3057,0.001821459367877,0.9382745939517414
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3058,0.0018302687879068,0.9232332295546104
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3059,0.001814783525115,0.9496730496164181
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3060,0.0018328897031723,0.9187582310383593
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,1,0.0018367370529672,0.912189195842789
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,2,0.0018295775210547,0.9244135111830175
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,3,0.0018365820996563,0.9124537659513666
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,4,0.0018504301753521,0.8888093089910929
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,5,0.0018349686527555,0.9152085946107176
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,6,0.0018426248886741,0.9021361977931623
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,7,0.0018431024300575,0.9013208349272608
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,8,0.0018645941478838,0.8646254840128791
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,9,0.0018231987950532,0.9353046642729439
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,10,0.0018346716068605,0.9157157761884211
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,11,0.0018690646561315,0.8569924567118117
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,12,0.0018263693348039,0.9298912268883546
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,13,0.0018406160735157,0.9055660854250114
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,14,0.001836591647586,0.9124374636420918
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,15,0.0018762611888151,0.8447049655803044
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,16,0.0018470017015056,0.8946631477542345
