case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2,label,family,m_obj,outcome_ctrl_vs_ivf,outcome_ctrl_vs_spea2,wtl_ctrl_vs_ivf,wtl_ctrl_vs_spea2
dtlz6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475857107366527,4.542855875511176e-05,0.347581818015491,4.0907003890422455e-05,0.3475707301895323,7.047590681208415e-05,0.6959309442940154,1.0,0.5383333333333333,0.029325857758522,0.0427319641624178,0.64,HELPS,dtlz,2,tie,win,T,W
dtlz6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2000992145726941,6.787581213674176e-05,0.2000823546586985,7.147159206974396e-05,0.2000773659583054,4.7662421250704856e-05,0.7891592341415333,1.0,0.5272222222222223,0.0136632416397333,0.0221214388452825,0.6688888888888889,HELPS,dtlz,3,tie,win,T,W
dtlz7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.2429050678270737,1.6987308686794433e-05,0.2429050678270737,1.6987308686794433e-05,0.2428863513474864,3.852306918158965e-05,1.0,1.0,0.5,1.597777009010315e-05,6.036046478483412e-05,0.7977777777777778,HELPS,dtlz,2,tie,win,T,W
dtlz7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.00059743555009,0.2774851933206389,0.00059743555009,0.276716780924268,0.0009699638491334,1.0,1.0,0.5,0.0004601068794727,0.0010914163187492,0.7588888888888888,HELPS,dtlz,3,tie,win,T,W
maf1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5822336752126798,0.000105183570734,0.5822336752126798,0.000105183570734,0.582060395451015,0.0001306105717944,1.0,1.0,0.5,1.862645149230957e-08,2.3748725652694705e-07,0.9166666666666666,HELPS,maf,2,tie,win,T,W
maf1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2200942460391271,0.0007647719363072,0.2200942460391271,0.0007647719363072,0.2186848896642894,0.0010708861733062,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9555555555555556,HELPS,maf,3,tie,win,T,W
maf2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.2072556571203649,4.499425470566587e-05,0.2072556571203649,4.499425470566587e-05,0.2071276815160515,6.712580648457478e-05,1.0,1.0,0.5,9.313225746154784e-09,1.5832483768463137e-07,0.9677777777777776,HELPS,maf,2,tie,win,T,W
maf2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2362264747094307,0.0020632625145786,0.2362264747094307,0.0020632625145786,0.2344457767944281,0.0014395549671896,1.0,1.0,0.5,0.000729601830244,0.0015504038892686,0.7966666666666666,HELPS,maf,3,tie,win,T,W
maf3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7204765594602525,0.0001168944492342,0.7204765594602525,0.0001168944492342,0.7185878541298923,0.0015426456129782,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9733333333333334,HELPS,maf,2,tie,win,T,W
maf3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9632990171492676,0.000234724568946,0.9632990171492676,0.000234724568946,0.962704482323636,0.0008605309947274,1.0,1.0,0.5,3.855675458908081e-07,2.0698889305717067e-06,0.9366666666666666,HELPS,maf,3,tie,win,T,W
maf4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.8191289527885219,7.531911815972236e-05,0.8191289527885219,7.531911815972236e-05,0.8187602852664171,0.0005694397731216,1.0,1.0,0.5,4.6566128730773926e-08,3.6536501004145697e-07,0.95,HELPS,maf,2,tie,win,T,W
maf4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5330704782827211,0.0014273531707079,0.5330704782827211,0.0014273531707079,0.5304673489751877,0.0030646939185758,1.0,1.0,0.5,2.7623027563095093e-06,1.341689910207476e-05,0.8188888888888889,HELPS,maf,3,tie,win,T,W
maf5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3472654160303324,0.0002193616343884,0.3472545798767497,0.0002193616343884,0.3470916119390345,0.2563297195473486,0.3173105078629141,0.7552651206767836,0.5072222222222222,0.0012321043759584,0.0024168201220723,0.7322222222222222,HELPS,maf,2,tie,win,T,W
maf5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.556391963487769,0.2101320855343401,0.556391963487769,0.2101320855343401,0.5538210943740859,0.0027803094290439,1.0,1.0,0.5,0.6701805889606476,0.7272172348296388,0.6688888888888889,NOT_HELPS,maf,3,tie,tie,T,T
maf6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475826974546584,5.962920708935116e-05,0.3475826974546584,5.962920708935116e-05,0.3475494448851675,6.037204289199849e-05,1.0,1.0,0.5,0.0472590494900941,0.0669503201109667,0.6455555555555555,HELPS,maf,2,tie,tie,T,T
