Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_formatted,IVFSPEA2_indicator,SPEA2_median,SPEA2_iqr,SPEA2_formatted,SPEA2_indicator,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_formatted,MFOSPEA2_indicator,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_formatted,SPEA2SDE_indicator,NSGAII_median,NSGAII_iqr,NSGAII_formatted,NSGAII_indicator,NSGAIII_median,NSGAIII_iqr,NSGAIII_formatted,NSGAIII_indicator,MOEAD_median,MOEAD_iqr,MOEAD_formatted,MOEAD_indicator,AGEMOEAII_median,AGEMOEAII_iqr,AGEMOEAII_formatted,AGEMOEAII_indicator,ARMOEA_median,ARMOEA_iqr,ARMOEA_formatted,ARMOEA_indicator,best_algo
WFG4,12,0.21242828158598898,0.0032192432589419617,2.12(0.03)e-1,,0.2151413485085325,0.0029120722483780004,2.15(0.03)e-1,+,0.2153009529900435,0.0039059055055582492,2.15(0.04)e-1,+,0.3222976022848695,0.017771974112126998,3.22(0.18)e-1,+,0.2704227178776335,0.012465666931938735,2.70(0.12)e-1,+,0.220926956558879,7.31023711022516e-05,2.21(0.00)e-1,+,0.2529909472113145,0.004235084470715744,2.53(0.04)e-1,+,0.21320268423653,0.00690754746466074,2.13(0.07)e-1,=,0.220841950468863,8.187753712399215e-05,2.21(0.00)e-1,+,IVFSPEA2
WFG5,12,0.220575257119681,0.0017334478983572488,2.21(0.02)e-1,,0.22277862221648748,0.0024016686326699954,2.23(0.02)e-1,+,0.2226020581620355,0.0025371389980534953,2.23(0.03)e-1,+,0.3340989709538435,0.01876301316347151,3.34(0.19)e-1,+,0.27722314512135604,0.012685748984232748,2.77(0.13)e-1,+,0.2298815227160595,4.1338907713711626e-05,2.30(0.00)e-1,+,0.24782572913064999,0.0031416089653895085,2.48(0.03)e-1,+,0.233239311984762,0.014532335631873505,2.33(0.15)e-1,+,0.2298492304569185,2.9819763271737854e-05,2.30(0.00)e-1,+,IVFSPEA2
WFG6,12,0.2383239500970875,0.015670111784918006,2.38(0.16)e-1,,0.23898646576648952,0.013665041315765014,2.39(0.14)e-1,=,0.240749491730947,0.013532583952296756,2.41(0.14)e-1,=,0.338596219319171,0.0204144054275065,3.39(0.20)e-1,+,0.3040688347567,0.01992281536917001,3.04(0.20)e-1,+,0.2378463253905705,0.012490258254288233,2.38(0.12)e-1,=,0.2703740632040465,0.01108256869218599,2.70(0.11)e-1,+,0.2320829502063635,0.015004549847776993,2.32(0.15)e-1,-,0.23857587342653852,0.01009502784782973,2.39(0.10)e-1,=,AGEMOEAII
WFG7,12,0.2141652516164905,0.004224751776838537,2.14(0.04)e-1,,0.217447149359005,0.004098163484463735,2.17(0.04)e-1,+,0.2176401908156645,0.003980560796474991,2.18(0.04)e-1,+,0.328482181933791,0.01986998355158298,3.28(0.20)e-1,+,0.2780591827774195,0.011573656967111545,2.78(0.12)e-1,+,0.22107336970449648,6.819882011047107e-05,2.21(0.00)e-1,+,0.29100917169324203,0.02449791069366375,2.91(0.24)e-1,+,0.214229802029905,0.007873133183094738,2.14(0.08)e-1,=,0.221104570077363,0.00012950289178298435,2.21(0.00)e-1,+,IVFSPEA2
WFG8,12,0.293324288578828,0.006036614701368459,2.93(0.06)e-1,,0.29533250703831704,0.006847791595950725,2.95(0.07)e-1,+,0.298233544800495,0.005749127777085805,2.98(0.06)e-1,+,0.357022412225821,0.016803253241060967,3.57(0.17)e-1,+,0.37304708287536303,0.016718128206333782,3.73(0.17)e-1,+,0.2793427253399975,0.003882956333012999,2.79(0.04)e-1,-,0.3033411126717245,0.006589463442238264,3.03(0.07)e-1,+,0.2881147400619055,0.006537820245008263,2.88(0.07)e-1,-,0.27126424001224103,0.0024873491436792072,2.71(0.02)e-1,-,ARMOEA
WFG9,12,0.210127042119278,0.004086207482522253,2.10(0.04)e-1,,0.21669015655860152,0.004922335171363007,2.17(0.05)e-1,+,0.217246135878912,0.0046441964678507475,2.17(0.05)e-1,+,0.3119012838008605,0.014308333016935959,3.12(0.14)e-1,+,0.2730256240317415,0.013935699422003234,2.73(0.14)e-1,+,0.2216651971973705,0.0013107336006955017,2.22(0.01)e-1,+,0.25590499863278304,0.020586440368902753,2.56(0.21)e-1,+,0.2127254581457675,0.004752771995978761,2.13(0.05)e-1,+,0.22078595842006749,0.0007866536794622347,2.21(0.01)e-1,+,IVFSPEA2
MaF1,12,0.04114747607023925,0.0004550225535280006,4.11(0.05)e-2,,0.0417234503887379,0.0005544922849228459,4.17(0.06)e-2,+,0.0419005365186855,0.0005429910184176559,4.19(0.05)e-2,+,0.0420327915090101,0.0008939329611346997,4.20(0.09)e-2,+,0.05713972027360595,0.0034303415433481962,5.71(0.34)e-2,+,0.060658443121920855,0.002630704101754852,6.07(0.26)e-2,+,0.070475224428483,5.464823369522032e-07,7.05(0.00)e-2,+,0.039929025021880005,0.0002769540820396488,3.99(0.03)e-2,-,0.043550548915540346,0.0005474806053966039,4.36(0.05)e-2,+,AGEMOEAII
MaF2,12,0.0310791484211045,0.0014704198512804773,3.11(0.15)e-2,,0.03233035843814765,0.0014334316657582807,3.23(0.14)e-2,+,0.03085736397527995,0.0013748676184361028,3.09(0.14)e-2,=,0.031193341492370102,0.0007859963099402754,3.12(0.08)e-2,=,0.0456370853382143,0.0046998449341568785,4.56(0.47)e-2,+,0.03597193761596065,0.0006484937138439215,3.60(0.06)e-2,+,0.0388615418625447,0.0007676620863665967,3.89(0.08)e-2,+,0.02963143310709135,0.000515415981106649,2.96(0.05)e-2,-,0.03287609038411645,0.001027577271195991,3.29(0.10)e-2,+,AGEMOEAII
MaF3,12,0.0324767562561937,0.00045587137117934773,3.25(0.05)e-2,,0.033261271718658,0.0007648754535335769,3.33(0.08)e-2,+,0.0333824457835701,0.001002167871201727,3.34(0.10)e-2,+,0.059137124981374495,0.009232171273624072,5.91(0.92)e-2,+,0.0564028663604044,0.020563935523104808,5.64(2.06)e-2,+,0.0469560478660028,0.0009534179124105271,4.70(0.10)e-2,+,0.0522602748534685,0.0021426608995528465,5.23(0.21)e-2,+,0.0339948835184863,0.0007897223440567827,3.40(0.08)e-2,+,0.0468548082712269,0.0004747353047942493,4.69(0.05)e-2,+,IVFSPEA2
MaF4,12,0.239235016014736,0.0035325174914909996,2.39(0.04)e-1,,0.24174674691034848,0.004498184227384516,2.42(0.04)e-1,+,0.241499387320628,0.0038014393860394957,2.41(0.04)e-1,+,0.4628268593406475,0.12433284776370573,4.63(1.24)e-1,+,0.296490074965269,0.013170070271002754,2.96(0.13)e-1,+,0.33845791379435,0.023546107737163757,3.38(0.24)e-1,+,0.6819375791079485,0.03937003368990544,6.82(0.39)e-1,+,0.2912548899447585,0.012560241602778244,2.91(0.13)e-1,+,0.3421215710279975,0.003524604777960516,3.42(0.04)e-1,+,IVFSPEA2
MaF5,12,0.24755897503234198,1.2492749588184597,2.48(12.49)e-1,,0.24704073000052001,1.2472481118215157,2.47(12.47)e-1,=,0.24557445581834,0.005329995143537242,2.46(0.05)e-1,=,0.37337762535055297,0.3099364779590097,3.73(3.10)e-1,+,0.30056859000416547,0.017271335332513238,3.01(0.17)e-1,=,0.259786125537837,1.2400161223252077,2.60(12.40)e-1,+,0.296568995490222,0.00022353544087483357,2.97(0.00)e-1,=,0.2587839313538155,0.023142916899259486,2.59(0.23)e-1,=,0.2597748640049835,1.3650507891918022,2.60(13.65)e-1,+,MFOSPEA2
MaF6,12,0.00405358394274035,3.6079685539150246e-05,4.05(0.04)e-3,,0.00408784178107915,3.954840522462505e-05,4.09(0.04)e-3,+,0.0040823679460615,4.766690001515011e-05,4.08(0.05)e-3,+,0.00957254512468265,0.0012735654135648498,9.57(1.27)e-3,+,0.00524368983533185,0.0003454881699564505,5.24(0.35)e-3,+,0.015183316733689549,0.002608912923183375,1.52(0.26)e-2,+,0.0339304617647426,9.322254214197412e-07,3.39(0.00)e-2,+,0.00530699131852105,0.0004608865608359252,5.31(0.46)e-3,+,0.0050546828842549,0.00013458580716787464,5.05(0.13)e-3,+,IVFSPEA2
MaF7,22,0.0594476497184779,0.0014580475698047005,5.94(0.15)e-2,,0.060142089543766805,0.0017182072858293526,6.01(0.17)e-2,+,0.060372522108945,0.002320746946003073,6.04(0.23)e-2,+,0.0591613854596266,0.0038523663042394005,5.92(0.39)e-2,=,0.07672079838664535,0.0065604970130516554,7.67(0.66)e-2,+,0.07614004655976364,0.0051852282909667785,7.61(0.52)e-2,+,0.154445813203238,0.0013424843112722629,1.54(0.01)e-1,+,0.06103557644380985,0.0012690419896519561,6.10(0.13)e-2,+,0.06871217787180865,0.2800010500571092,6.87(28.00)e-2,+,SPEA2SDE
