Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_formatted,IVFSPEA2_indicator,SPEA2_median,SPEA2_iqr,SPEA2_formatted,SPEA2_indicator,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_formatted,MFOSPEA2_indicator,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_formatted,SPEA2SDE_indicator,NSGAII_median,NSGAII_iqr,NSGAII_formatted,NSGAII_indicator,NSGAIII_median,NSGAIII_iqr,NSGAIII_formatted,NSGAIII_indicator,MOEAD_median,MOEAD_iqr,MOEAD_formatted,MOEAD_indicator,AGEMOEAII_median,AGEMOEAII_iqr,AGEMOEAII_formatted,AGEMOEAII_indicator,ARMOEA_median,ARMOEA_iqr,ARMOEA_formatted,ARMOEA_indicator,best_algo
WFG5,11,0.3135659338418305,0.00011055861382419652,3.14(0.00)e-1,,0.313452315289801,0.00013206355980549533,3.13(0.00)e-1,+,0.3134283539197375,0.00012352048654301617,3.13(0.00)e-1,+,0.3131549303502915,0.0002349337304917154,3.13(0.00)e-1,+,0.3128129749978565,0.0002460287533683214,3.13(0.00)e-1,+,0.313377065966677,2.432391751350238e-05,3.13(0.00)e-1,+,0.30708261501608347,9.22179671257739e-05,3.07(0.00)e-1,+,0.3134982427384575,0.00011635796217707162,3.13(0.00)e-1,+,0.31321201438400303,0.0002566571874870194,3.13(0.00)e-1,+,IVFSPEA2
WFG6,11,0.302691411403897,0.020009159960451994,3.03(0.20)e-1,,0.3064870034263415,0.016234450683275004,3.06(0.16)e-1,=,0.30105304197835847,0.01516147606844076,3.01(0.15)e-1,=,0.303591574672314,0.019970399549439244,3.04(0.20)e-1,=,0.303434579620316,0.01473892307015423,3.03(0.15)e-1,=,0.30252458889308254,0.015722127586871526,3.03(0.16)e-1,=,0.30431716860424,0.01706259011806327,3.04(0.17)e-1,=,0.305767489931729,0.01832759513196719,3.06(0.18)e-1,=,0.3059042356389935,0.016431027195007497,3.06(0.16)e-1,=,SPEA2
WFG7,11,0.34665966781781754,0.0002728059009620143,3.47(0.00)e-1,,0.3462201542351035,0.00034071826869275235,3.46(0.00)e-1,+,0.3462863181028515,0.0003294302922742798,3.46(0.00)e-1,+,0.34693759397471446,0.00020561623684950403,3.47(0.00)e-1,-,0.34523271884281903,0.0003036666830182888,3.45(0.00)e-1,+,0.34717540719114703,1.7020281544266602e-05,3.47(0.00)e-1,-,0.344180593309734,0.0010680659624864863,3.44(0.01)e-1,+,0.34720318106658954,0.0001095622953047326,3.47(0.00)e-1,-,0.34717111973896697,1.9729244228994247e-05,3.47(0.00)e-1,-,AGEMOEAII
WFG8,11,0.290047695316323,0.0012676757146304896,2.90(0.01)e-1,,0.2899841049290185,0.0011007762828662004,2.90(0.01)e-1,=,0.290335490066983,0.0014594574610720112,2.90(0.01)e-1,=,0.290154828396558,0.0008541683935269773,2.90(0.01)e-1,=,0.2889682377677285,0.00134796446251928,2.89(0.01)e-1,+,0.2908938920462625,0.0009285317191612408,2.91(0.01)e-1,-,0.28931354872533555,0.00205319384419278,2.89(0.02)e-1,+,0.2906358497172895,0.0014371452171172416,2.91(0.01)e-1,-,0.2906517271770135,0.001049354861511198,2.91(0.01)e-1,-,NSGAIII
WFG9,11,0.3418833889563915,0.002919651675431789,3.42(0.03)e-1,,0.343014686115911,0.001261283293977955,3.43(0.01)e-1,-,0.3432846429304715,0.0013174618261067583,3.43(0.01)e-1,-,0.34334682706458397,0.002106973411732993,3.43(0.02)e-1,-,0.3425426829546395,0.0018097372220172714,3.43(0.02)e-1,-,0.343549111339699,0.001745407745523786,3.44(0.02)e-1,-,0.329851050061843,0.002416808690488992,3.30(0.02)e-1,+,0.343736389187294,0.0016289904801787825,3.44(0.02)e-1,-,0.3424998309315965,0.0013799977852714806,3.42(0.01)e-1,-,AGEMOEAII
MaF1,11,0.5822382017887775,0.00011217056130607972,5.82(0.00)e-1,,0.582084385979976,0.00011177304553700029,5.82(0.00)e-1,+,0.5820889575640775,0.0001335550451606604,5.82(0.00)e-1,+,0.5820107979369605,0.0002964136708911713,5.82(0.00)e-1,+,0.580832614215271,0.0002662557060445492,5.81(0.00)e-1,+,0.5826020253289601,1.1329528981640635e-08,5.83(0.00)e-1,-,0.5826020406504651,2.243182051220316e-08,5.83(0.00)e-1,-,0.5820124082338101,0.00014647395393074802,5.82(0.00)e-1,+,0.5826017558525816,1.0907845486851642e-06,5.83(0.00)e-1,-,MOEAD
MaF2,11,0.207376010254985,4.0303219494497444e-05,2.07(0.00)e-1,,0.20724431222830952,5.7522994061254273e-05,2.07(0.00)e-1,+,0.207262174379541,5.6305731387013e-05,2.07(0.00)e-1,+,0.20733876111599447,6.020412474175285e-05,2.07(0.00)e-1,+,0.2067705303712415,0.00016812552143025128,2.07(0.00)e-1,+,0.20755972003747553,4.351859818257919e-06,2.08(0.00)e-1,-,0.207512217353919,2.3743429225758783e-05,2.08(0.00)e-1,-,0.20724652517598552,1.7292825061493433e-05,2.07(0.00)e-1,+,0.207558028182695,5.251101799996771e-06,2.08(0.00)e-1,-,NSGAIII
MaF3,11,0.720465713462663,0.0002031013701954132,7.20(0.00)e-1,,0.719022062483367,0.0014404823117870613,7.19(0.01)e-1,+,0.7186787566560335,0.002053463762382246,7.19(0.02)e-1,+,0.7177237438856395,0.0015183213304871268,7.18(0.02)e-1,+,0.7185420502366184,0.0012156147602632172,7.19(0.01)e-1,+,0.7186963398897319,0.001280317605715453,7.19(0.01)e-1,+,0.712234315063643,0.004400021566830503,7.12(0.04)e-1,+,0.7191002307881595,0.0008753387557649539,7.19(0.01)e-1,+,0.718627724971573,0.0014801483588022801,7.19(0.01)e-1,+,IVFSPEA2
MaF4,11,0.8191124153181566,9.815435858828714e-05,8.19(0.00)e-1,,0.8187190438155825,0.0004769031174346461,8.19(0.00)e-1,+,0.818694252702594,0.0005453813445850386,8.19(0.01)e-1,+,0.817357899769252,0.0009198597408690556,8.17(0.01)e-1,+,0.8181742785359856,0.0005391699564125663,8.18(0.01)e-1,+,0.81804241593836,0.0003126493784975093,8.18(0.00)e-1,+,0.805856792320544,0.00041289554382994975,8.06(0.00)e-1,+,0.8185379830572086,0.00019765931972370865,8.19(0.00)e-1,+,0.8179215046285611,0.00043768734778115714,8.18(0.00)e-1,+,IVFSPEA2
MaF5,11,0.347318269446885,0.00018648323856323978,3.47(0.00)e-1,,0.347183336676478,0.0002561492153002609,3.47(0.00)e-1,+,0.347165617191536,0.00011603709141427831,3.47(0.00)e-1,+,0.346958827168726,0.0004088846338267671,3.47(0.00)e-1,+,0.34645313003606804,0.2557244627168684,3.46(2.56)e-1,+,0.3472150665481195,5.168786737508313e-07,3.47(0.00)e-1,+,0.3467060573663955,6.655792550436246e-08,3.47(0.00)e-1,+,0.347141948951909,0.0005426744427919905,3.47(0.01)e-1,+,0.34721467601523703,0.2563059416242729,3.47(2.56)e-1,+,IVFSPEA2
MaF6,11,0.3475650504607565,5.3723041630759916e-05,3.48(0.00)e-1,,0.3475262091811785,7.444567021575033e-05,3.48(0.00)e-1,+,0.34753594886250905,7.588041919875943e-05,3.48(0.00)e-1,+,0.34714520650463654,0.00021948393281018275,3.47(0.00)e-1,+,0.34702820485734953,0.00013322828251821628,3.47(0.00)e-1,+,0.34721447413350903,8.315149407356337e-07,3.47(0.00)e-1,+,0.347214568710209,7.994376315378915e-07,3.47(0.00)e-1,+,0.347213999515056,9.506287126370694e-05,3.47(0.00)e-1,+,0.3472144375131005,7.959062952589413e-07,3.47(0.00)e-1,+,IVFSPEA2
MaF7,21,0.24290532712929452,2.6084517242008776e-05,2.43(0.00)e-1,,0.24289076655570452,4.748804425347419e-05,2.43(0.00)e-1,+,0.24288778489926,3.8813165425977125e-05,2.43(0.00)e-1,+,0.2425078243001465,0.00019621483604773116,2.43(0.00)e-1,+,0.2426999477469825,7.081142886997127e-05,2.43(0.00)e-1,+,0.2428023494593215,2.2463156500257542e-05,2.43(0.00)e-1,+,0.241890912910614,0.066061912440976,2.42(0.66)e-1,+,0.24276894200731952,2.7662182095267163e-05,2.43(0.00)e-1,+,0.242825273266075,1.6669663422397285e-06,2.43(0.00)e-1,+,IVFSPEA2
