problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ2,3,IVFNSGAII,NSGAII,AUC_HV,0.026228994131088257,0.6644444444444444,small,30,47943.95192984628,47866.590664408024,0.060803577303886414
DTLZ2,3,IVFNSGAII,NSGAII,Final_HV,0.10943205840885639,0.6344444444444445,negligible,30,0.5329769553814051,0.5323494994806837,0.21886411681771278
DTLZ2,3,IVFNSGAII,NSGAII,Best_HV,0.5291051845997572,0.5333333333333333,negligible,30,0.5388328219290079,0.538288936160165,0.6581552296240882
DTLZ3,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.03272089920938015,0.6444444444444445,negligible,30,61971.10819715996,49472.57917497722,0.0878297820883362
DTLZ3,2,IVFNSGAIII,NSGAIII,Final_IGD,0.013663241639733315,0.24,small,30,0.003992677891399,0.004221532596863999,0.06636431653584753
DTLZ3,2,IVFNSGAIII,NSGAIII,Best_IGD,0.012047622352838516,0.23333333333333334,small,30,0.003992677891399,0.004221532596863999,0.040961915999650954
DTLZ3,2,IVFNSGAIII,NSGAIII,AUC_HV,0.22855282202363014,0.43777777777777777,negligible,30,25493.311246604135,25448.64374895529,0.323783164533476
DTLZ3,2,IVFNSGAIII,NSGAIII,Final_HV,0.0061949919909238815,0.7855555555555556,small,30,0.3469028087493429,0.3458261364180312,0.027473442742358082
DTLZ3,2,IVFNSGAIII,NSGAIII,Best_HV,0.0061949919909238815,0.7855555555555556,small,30,0.3469028087493429,0.3458261364180312,0.021062972769141198
DTLZ3,2,IVFNSGAII,NSGAII,AUC_IGD,0.4771064817905426,0.56,negligible,30,42271.15853584141,37835.534654470874,0.632011183670589
DTLZ3,2,IVFNSGAII,NSGAII,Final_IGD,0.6408254038542509,0.4488888888888889,negligible,30,0.00523553957247465,0.005257913348330451,0.751176621932327
DTLZ3,2,IVFNSGAII,NSGAII,Best_IGD,0.6263462882488966,0.4311111111111111,negligible,30,0.005076041375833951,0.00520391179611095,0.7516155458986759
DTLZ3,2,IVFNSGAII,NSGAII,AUC_HV,0.31839608028531075,0.55,negligible,30,26306.34001969131,25787.60732000437,0.4163641049884833
DTLZ3,2,IVFNSGAII,NSGAII,Final_HV,0.7921590935438871,0.5388888888888889,negligible,30,0.3457084104387934,0.34565181408578033,0.8505287109629104
DTLZ3,2,IVFNSGAII,NSGAII,Best_HV,0.7456546742469072,0.5333333333333333,negligible,30,0.3457084104387934,0.34565181408578033,0.7840904821977788
