Grupo,Problema,M,instance,instance_label,Algoritmo,value,score,metric
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),SPEA2SDE,0.0100404150192278,0.0,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),AGEMOEAII,0.01122186776561145,0.7656646406119465,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),ARMOEA,0.0053722941377020005,0.9630953502331105,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),IVFSPEA2,0.0042788651243643,1.0,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),MFOSPEA2,0.0044039978933984,0.9957766064744632,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),MOEAD,0.033907354223825,0.0,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),NSGAII,0.00580258983838335,0.9485723113013284,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),NSGAIII,0.01285259187223145,0.7106255834009703,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),SPEA2,0.0044071630883601495,0.9956697770323298,IGD
DTLZ,DTLZ5,M3,DTLZ5__M3,DTLZ5 (M3),SPEA2SDE,0.0098391182050315,0.812334234729222,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),AGEMOEAII,0.0044584738877193,0.9111464005368067,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),ARMOEA,0.0039660495075855,0.9999692127039986,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),IVFSPEA2,0.0040582664004898995,0.9833352601875455,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),MFOSPEA2,0.0040861637586819,0.9783031742336055,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),MOEAD,0.0039658788260367,1.0,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),NSGAII,0.00565028091286595,0.6961699375408504,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),NSGAIII,0.00396597471975215,0.999982702827441,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),SPEA2,0.004093124659048,0.9770475768857148,IGD
DTLZ,DTLZ6,M2,DTLZ6__M2,DTLZ6 (M2),SPEA2SDE,0.0095097742299213,0.0,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),AGEMOEAII,0.0073923086663769,0.8880344013718207,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),ARMOEA,0.004998303437221,0.968160831835713,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),IVFSPEA2,0.0040470176425589505,1.0,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),MFOSPEA2,0.0040842405769659,0.9987541627607589,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),MOEAD,0.03392486463132155,0.0,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),NSGAII,0.00583142701845205,0.9402765073211521,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),NSGAIII,0.0182143345653526,0.5258253739594376,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),SPEA2,0.004082885816618,0.9987995060663997,IGD
DTLZ,DTLZ6,M3,DTLZ6__M3,DTLZ6 (M3),SPEA2SDE,0.009669884557958551,0.8118048158719594,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),AGEMOEAII,0.00524454831812835,0.805466435733289,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),ARMOEA,0.0050516178532619,0.8777161707486807,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),IVFSPEA2,0.0047250799632879,1.0,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),MFOSPEA2,0.00472904650581585,0.9985145858287853,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),MOEAD,0.0073954076098232,0.0,IGD
