problem,M,ivf_algo,base_algo,n_targets,n_runs_ivf,n_runs_base,ks_stat,p_value,max_ecdf_gap,max_gap_fe,mean_ecdf_diff,direction
DTLZ7,3,IVFNSGAII,NSGAII,10,30,30,0.016666666666666666,0.9999999999989688,0.01666666666666672,90452.26130653266,0.002916666666666669,IVF faster
MaF1,2,IVFSPEA2,SPEA2,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
MaF1,2,IVFNSGAIII,NSGAIII,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
MaF1,2,IVFNSGAII,NSGAII,10,30,30,0.006666666666666667,1.0,0.006666666666666599,20100.502512562813,-0.0013166666666666643,base faster
MaF1,3,IVFSPEA2,SPEA2,10,30,30,0.0033333333333333335,1.0,0.0033333333333332993,30150.75376884422,0.002316666666666643,IVF faster
MaF1,3,IVFNSGAIII,NSGAIII,10,30,30,0.74,3.45420340402665e-80,0.010000000000000009,40201.005025125625,-0.0053166666666666675,base faster
MaF1,3,IVFNSGAII,NSGAII,10,30,30,0.0033333333333333335,1.0,0.0033333333333332993,10050.251256281406,0.0003333333333333299,IVF faster
MaF2,2,IVFSPEA2,SPEA2,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
MaF2,2,IVFNSGAIII,NSGAIII,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
MaF2,2,IVFNSGAII,NSGAII,10,30,30,0.0033333333333333335,1.0,0.0033333333333334103,10050.251256281406,-0.000333333333333341,base faster
MaF2,3,IVFSPEA2,SPEA2,10,30,30,0.0033333333333333335,1.0,0.0033333333333332993,10050.251256281406,0.00031666666666666345,IVF faster
MaF2,3,IVFNSGAIII,NSGAIII,10,30,30,0.8,4.106741078369897e-96,0.00666666666666671,100000.0,0.001933333333333313,IVF faster
MaF2,3,IVFNSGAII,NSGAII,10,30,30,0.02,0.9999999905275543,0.020000000000000018,30150.75376884422,0.01156666666666668,IVF faster
MaF3,2,IVFSPEA2,SPEA2,10,30,30,0.23,2.2828373266480134e-07,0.22999999999999998,40201.005025125625,0.1260166666666667,IVF faster
MaF3,2,IVFNSGAIII,NSGAIII,10,30,30,0.08,0.2926468667924955,0.07999999999999996,50251.25628140703,0.02551666666666665,IVF faster
MaF3,2,IVFNSGAII,NSGAII,10,30,30,0.04,0.9704671760269938,0.039999999999999925,40201.005025125625,0.008833333333333334,IVF faster
MaF3,3,IVFSPEA2,SPEA2,10,30,30,0.07666666666666666,0.34165950354815394,0.07666666666666672,30150.75376884422,-0.011666666666666672,base faster
MaF3,3,IVFNSGAIII,NSGAIII,10,30,30,0.24666666666666667,2.0179572425111938e-08,0.05666666666666664,30150.75376884422,0.00956666666666667,IVF faster
MaF3,3,IVFNSGAII,NSGAII,10,30,30,0.16666666666666666,0.0004688948594180668,0.16666666666666663,30150.75376884422,-0.055600000000000004,base faster
MaF4,2,IVFSPEA2,SPEA2,10,30,30,0.08666666666666667,0.21005749381264038,0.08666666666666656,30150.75376884422,0.01931666666666666,IVF faster
MaF4,2,IVFNSGAIII,NSGAIII,10,30,30,0.09,0.17609362474930004,0.08999999999999997,30150.75376884422,-0.01264999999999998,base faster
MaF4,2,IVFNSGAII,NSGAII,10,30,30,0.05333333333333334,0.7879453299387805,0.053333333333333344,30150.75376884422,-0.006966666666666651,base faster
MaF4,3,IVFSPEA2,SPEA2,10,30,30,0.043333333333333335,0.9414474696413693,0.043333333333333335,30150.75376884422,-0.009333333333333325,base faster
MaF4,3,IVFNSGAIII,NSGAIII,10,30,30,0.22,8.994053173844458e-07,0.023333333333333317,20100.502512562813,0.0020000000000000243,IVF faster
MaF4,3,IVFNSGAII,NSGAII,10,30,30,0.05,0.8483422371364409,0.050000000000000044,20100.502512562813,0.007000000000000015,IVF faster
MaF5,2,IVFSPEA2,SPEA2,10,30,30,0.15,0.002308793437830372,0.15000000000000002,10050.251256281406,0.13424999999999998,IVF faster
MaF5,2,IVFNSGAIII,NSGAIII,10,30,30,0.06,0.65357468169842,0.06000000000000005,10050.251256281406,0.008516666666666665,IVF faster
MaF5,2,IVFNSGAII,NSGAII,10,30,30,0.03,0.9993001912185819,0.030000000000000027,10050.251256281406,-0.01793333333333334,base faster
MaF5,3,IVFSPEA2,SPEA2,10,30,30,0.05,0.8483422371364409,0.04999999999999993,10050.251256281406,-0.04443333333333328,base faster
MaF5,3,IVFNSGAIII,NSGAIII,10,30,30,0.6766666666666666,1.2617570371375253e-65,0.09000000000000008,10050.251256281406,-0.07438333333333338,base faster
MaF5,3,IVFNSGAII,NSGAII,10,30,30,0.07666666666666666,0.34165950354815394,0.07666666666666666,80402.01005025125,-0.05931666666666666,base faster
MaF6,2,IVFSPEA2,SPEA2,10,30,30,0.12,0.026515154829730034,0.12,10050.251256281406,0.012,IVF faster
