algo,problem,M,metric,median,ci_low,ci_high,n_valid
IVFNSGAII,DTLZ7,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x1.2,20000.0,20000.0,20000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x1.0,65000.0,35000.0,90000.0,30
IVFNSGAII,MaF1,2,AUC_IGD,414.38964080313906,413.27333045035374,415.6162886061145,30
IVFNSGAII,MaF1,2,AUC_HV,52283.03186922091,52281.904333048464,52284.343747512496,30
IVFNSGAII,MaF1,2,Final_IGD,0.0046074682749539,0.0045425564413822,0.0046687917222297,30
IVFNSGAII,MaF1,2,Final_HV,0.5809211803164189,0.5808193599123717,0.5810051763624959,30
IVFNSGAII,MaF1,2,Best_IGD,0.0043834719489686,0.0043410595030108495,0.00440694271202535,30
IVFNSGAII,MaF1,2,Best_HV,0.5812244226978307,0.5812071241140561,0.5813090217472952,30
IVFNSGAII,MaF1,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,2,TTT_igd_x1.0,50000.0,40000.0,55000.0,30
IVFNSGAII,MaF1,3,AUC_IGD,5192.614743122315,5157.7296524918165,5242.075968443248,30
IVFNSGAII,MaF1,3,AUC_HV,18383.772944565404,18357.46166263044,18413.687571848262,30
IVFNSGAII,MaF1,3,Final_IGD,0.0577080077186577,0.0564983511034398,0.05821205155707565,30
IVFNSGAII,MaF1,3,Final_HV,0.20441724318792748,0.2036577563783526,0.20504972155792164,30
IVFNSGAII,MaF1,3,Best_IGD,0.053987510290781554,0.05339647540687815,0.05445338005849215,30
IVFNSGAII,MaF1,3,Best_HV,0.20743444630647156,0.20702042083280245,0.20794817352989864,30
IVFNSGAII,MaF1,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF1,3,TTT_igd_x1.0,55000.0,40000.0,75000.0,30
IVFNSGAII,MaF2,2,AUC_IGD,245.10775944743375,243.3580820153765,245.831288191998,30
IVFNSGAII,MaF2,2,AUC_HV,18614.049551743214,18612.80121335291,18615.83215770622,30
IVFNSGAII,MaF2,2,Final_IGD,0.0027166137320572504,0.0026869426226201,0.00278285452889665,30
IVFNSGAII,MaF2,2,Final_HV,0.20685605426627457,0.2068019162975906,0.20687730660000514,30
IVFNSGAII,MaF2,2,Best_IGD,0.0025750820545949,0.002548470320959,0.0025904791721786708,30
IVFNSGAII,MaF2,2,Best_HV,0.20696867758203374,0.2069402052603174,0.20699564625012515,30
IVFNSGAII,MaF2,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,2,TTT_igd_x1.0,50000.0,35000.0,65000.0,30
