problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
WFG1,2,WFG,0.6871443417526542,0.004255568474506033,0.6839562408006028,0.00783792651239934,0.012047622352838516,0.6677777777777777,30,True,+
WFG2,2,WFG,0.6325347073740426,0.001143708217805739,0.6331872825373951,0.0003484286810135906,3.904104232788086e-05,0.16666666666666666,30,True,-
WFG3,2,WFG,0.5811474567513373,0.0007003256191288054,0.5816116157810803,0.00048211478747584025,0.0007296018302440643,0.25222222222222224,30,True,-
WFG4,2,WFG,0.34731204703467516,0.0001358133324290689,0.34714048977059064,0.00022042954072826193,3.049522638320923e-05,0.8433333333333333,30,True,+
WFG5,2,WFG,0.31359496397786535,0.00014715164990530827,0.313415293123565,0.00011242127599181417,4.6566128730773926e-08,0.8911111111111112,30,True,+
WFG6,2,WFG,0.30115093366629686,0.02093414949767225,0.3081489338328667,0.0176325375310476,0.22064675763249397,0.4055555555555556,30,False,=
WFG7,2,WFG,0.3466643180236312,0.00020514248687736325,0.34622375630614266,0.00028833303504371965,1.1920928955078125e-06,0.9233333333333335,30,True,+
WFG8,2,WFG,0.2899918240250343,0.001356165327064729,0.29006855506987345,0.001250790817274583,0.7151329666376114,0.4799999999999999,30,False,=
WFG9,2,WFG,0.3416265372179221,0.0029266031887001387,0.3430127204025538,0.0011814439069018912,0.0032229889184236526,0.2977777777777778,30,True,-
ZDT1,2,ZDT,0.7204180977013257,0.00014648708547915223,0.7203203294557918,0.00023935304783262445,0.00011058151721954346,0.7733333333333334,30,True,+
ZDT2,2,ZDT,0.44505235994077963,0.00013254345798807687,0.444958129934405,0.00010474144674882391,3.904104232788086e-05,0.7755555555555556,30,True,+
ZDT3,2,ZDT,0.5996815797381578,5.156711462528385e-05,0.5996298778056369,0.00010936108828440982,0.0001528710126876831,0.7400000000000001,30,True,+
ZDT4,2,ZDT,0.7205914222141478,3.0155689473954084e-05,0.7203946858734835,0.00022647754831128797,3.725290298461914e-09,0.9911111111111112,30,True,+
ZDT6,2,ZDT,0.3889293014243099,1.615587121434059e-05,0.3889069078890602,2.1743180029509812e-05,8.326023817062378e-07,0.8566666666666668,30,True,+
DTLZ1,3,DTLZ,0.8427441203335799,0.00020883164021656686,0.8424701443492565,0.0004351199941097228,2.7623027563095093e-06,0.831111111111111,30,True,+
DTLZ2,3,DTLZ,0.5583050866403325,0.0013645924303059553,0.5554332104770725,0.0012662484016107145,1.30385160446167e-07,0.9477777777777777,30,True,+
DTLZ3,3,DTLZ,0.5613848950904463,0.0009237432338973228,0.558411571069751,0.0030078556403677625,5.587935447692871e-09,0.9366666666666668,30,True,+
DTLZ4,3,DTLZ,0.5564208036739557,0.21088928256475664,0.5529109393820024,0.2066846518487198,0.3817984350025654,0.6555555555555554,30,False,=
DTLZ5,3,DTLZ,0.19980310837817025,0.00013872399120293255,0.199595588771706,0.00015405080073102595,3.855675458908081e-07,0.9099999999999999,30,True,+
DTLZ6,3,DTLZ,0.2000763022319873,5.997252416603538e-05,0.2000485683235445,5.2181657460487196e-05,0.023410143330693245,0.6622222222222223,30,True,+
DTLZ7,3,DTLZ,0.27749799033492306,0.0010960585893527441,0.27658300894883103,0.0011112058078954767,0.018529480323195457,0.7088888888888889,30,True,+
MaF1,3,MaF,0.22022860643244285,0.0009568234521763752,0.2187005347870355,0.001169942568528759,9.313225746154785e-09,0.9577777777777778,30,True,+
MaF2,3,MaF,0.2404244692534172,0.0010493692875668814,0.2389949648073375,0.0016226879702707642,0.0006665531545877457,0.8122222222222223,30,True,+
MaF3,3,MaF,0.9632759952754634,0.00016305100247016036,0.9623775716663661,0.0013181556435455377,1.862645149230957e-09,0.9788888888888889,30,True,+
MaF4,3,MaF,0.5328393675295648,0.0012397841997132675,0.5303745234205695,0.0024320738700406297,2.60770320892334e-08,0.9211111111111111,30,True,+
MaF5,3,MaF,0.5558734180796133,0.21018650393428245,0.5536935930558845,0.2077770551831743,0.7151329666376114,0.6211111111111111,30,False,=
MaF6,3,MaF,0.2000816113263194,7.58306479270443e-05,0.200064555545178,6.0776538154505566e-05,0.19092952087521553,0.5822222222222223,30,False,=
MaF7,3,MaF,0.2776242121129491,0.0011314676332113138,0.277294884537411,0.0008615016256949826,0.2710056286305189,0.6099999999999999,30,False,=
WFG1,3,WFG,0.9445405066261443,0.0014867365483962613,0.944408356852847,0.0012980954046074578,0.22855282202363014,0.5788888888888889,30,False,=
WFG2,3,WFG,0.9287250143370014,0.0018787342745250069,0.930846539377834,0.0021811628176385822,3.453157842159271e-05,0.15555555555555559,30,True,-
WFG3,3,WFG,0.39625754994098583,0.0037432841420619867,0.38982385147693754,0.0033710690617952954,5.718320608139038e-07,0.9333333333333333,30,True,+
WFG4,3,WFG,0.5509758345332918,0.0024609989226587192,0.542980986812706,0.0029517411509362157,1.862645149230957e-09,0.9988888888888889,30,True,+
WFG5,3,WFG,0.5167862493168263,0.0014476930777906905,0.51389640910171,0.00270539404206549,1.4193356037139893e-06,0.9,30,True,+
WFG6,3,WFG,0.49694573045578283,0.024931859204777918,0.500967942653259,0.01714783300482503,0.3284698575735092,0.4444444444444444,30,False,=
WFG7,3,WFG,0.5489948250571519,0.0023629086873964145,0.5428954565262295,0.0031328511797259484,9.313225746154785e-09,0.9733333333333334,30,True,+
WFG8,3,WFG,0.4625957604359324,0.0035766556399958738,0.459225882422519,0.0035637929576020078,0.0004183966666460037,0.801111111111111,30,True,+
WFG9,3,WFG,0.5350352986286353,0.009115807182926816,0.5139209920377226,0.004514644112910693,3.7904828786849976e-06,0.9588888888888889,30,True,+
