algo,problem,M,run,n_checkpoints,fe_min,fe_max,AUC_IGD,AUC_HV,Final_IGD,Final_HV,Best_IGD,Best_HV,TTT_igd_x100,TTT_igd_x50,TTT_igd_x20,TTT_igd_x10,TTT_igd_x5,TTT_igd_x3,TTT_igd_x2,TTT_igd_x1.5,TTT_igd_x1.2,TTT_igd_x1.0
IVFNSGAII,DTLZ1,3,4002,10,10000.0,100000.0,4030.382912573978,70498.9929555706,0.027895938971219,0.8251162824968127,0.0260439431132805,0.8270540914240513,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,30000.0,70000.0
IVFNSGAII,DTLZ1,3,4003,10,10000.0,100000.0,7809.250793099507,69880.65180543304,0.0270924067741321,0.8235537781022452,0.0260133712040093,0.8288670528099429,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,40000.0
IVFNSGAII,DTLZ1,3,4004,10,10000.0,100000.0,2862.645942392831,72845.84766675674,0.0253745751191629,0.8255251528860285,0.0253745751191629,0.8303794480357011,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,100000.0
IVFNSGAII,DTLZ1,3,4005,10,10000.0,100000.0,2535.023216692852,73949.29532639757,0.0292891676016418,0.8190826391959477,0.0252666078824866,0.8295044878654516,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,90000.0
IVFNSGAII,DTLZ1,3,4006,10,10000.0,100000.0,2477.9139091017973,74197.75396033427,0.0262803981997658,0.8294099712014367,0.0258655048556851,0.8296240252125733,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0
IVFNSGAII,DTLZ1,3,4007,10,10000.0,100000.0,5927.017978864344,69992.18573744048,0.0272657462715286,0.8255781932272082,0.0262758118268183,0.828316564932475,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,50000.0
IVFNSGAII,DTLZ1,3,4008,10,10000.0,100000.0,3964.1937151425705,70424.08409276392,0.0267220138678588,0.8229350056658049,0.0262099949138373,0.8303722023142499,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,70000.0
IVFNSGAII,DTLZ1,3,4009,10,10000.0,100000.0,2735.7772080913664,73185.21221354691,0.026490722189962,0.8259681024466852,0.0254461779222908,0.8276309726113608,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,90000.0
IVFNSGAII,DTLZ1,3,4010,10,10000.0,100000.0,2528.840465789912,73744.69717808747,0.0270182065028086,0.8297526051006517,0.0259324250526891,0.8297526051006517,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,70000.0
IVFNSGAII,DTLZ1,3,4011,10,10000.0,100000.0,2458.1876325615085,74052.3639299823,0.0280648421478885,0.8165365979149725,0.0261374852221901,0.828654325513126,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0
IVFNSGAII,DTLZ1,3,4012,10,10000.0,100000.0,6148.490736905018,64949.320778534944,0.0273895347321594,0.8284009123186727,0.0252754492053001,0.8291276006416544,10000.0,10000.0,10000.0,10000.0,30000.0,30000.0,30000.0,30000.0,30000.0,40000.0
