metric,M,problem,n_ivf,n_spea2,median_ivf,median_spea2,iqr_ivf,iqr_spea2,p_value,a12,sign
Spread,M2,MaF1,0,60,,0.1310041913937665,,0.01715833228646374,,,NA
Spread,M2,MaF2,0,60,,0.1423715860932665,,0.016400984294955984,,,NA
Spread,M2,MaF3,0,60,,0.11695507179504849,,0.020531683799594747,,,NA
Spread,M2,MaF4,0,60,,0.1141998826698875,,0.019092368687747496,,,NA
Spread,M2,MaF5,0,58,,0.1332515167925665,,0.026935334993694493,,,NA
Spread,M2,MaF6,0,60,,0.114756842294028,,0.01895568438232148,,,NA
Spread,M2,MaF7,0,60,,0.1414288611690815,,0.023342438908081742,,,NA
Spread,M2,WFG1,0,60,,0.438026331928652,,0.1588437147573875,,,NA
Spread,M2,WFG2,0,60,,0.1197362840694195,,0.025524095154624504,,,NA
Spread,M2,WFG3,0,60,,0.126400684665597,,0.016324875631262503,,,NA
Spread,M2,WFG4,0,60,,0.1283914373577345,,0.024973704919808506,,,NA
Spread,M2,WFG5,0,60,,0.1585072461665705,,0.01935460023008498,,,NA
Spread,M2,WFG6,0,60,,0.1532686634195055,,0.01964305890965451,,,NA
Spread,M2,WFG7,0,60,,0.138834447761847,,0.021984927274037003,,,NA
Spread,M2,WFG8,0,60,,0.18604247441413851,,0.027831818384199486,,,NA
Spread,M2,WFG9,0,60,,0.139654736961204,,0.022602527151884766,,,NA
Spread,M2,ZDT1,0,60,,0.140269853796566,,0.017660332385106753,,,NA
Spread,M2,ZDT2,0,60,,0.125641864653524,,0.017237673833627995,,,NA
Spread,M2,ZDT3,0,60,,0.15446867754076848,,0.02645088187102948,,,NA
Spread,M2,ZDT4,0,60,,0.11087573450865,,0.012970976799684245,,,NA
Spread,M2,ZDT6,0,60,,0.129550694622833,,0.014768754697420991,,,NA
Spread,M3,DTLZ1,0,0,,,,,,,NA
Spread,M3,DTLZ2,0,0,,,,,,,NA
Spread,M3,DTLZ3,0,0,,,,,,,NA
Spread,M3,DTLZ4,0,0,,,,,,,NA
