comparison,ivf_algo,base_algo,metric,tau,M,geometry_group,n_traces_ivf,n_traces_base,auc_ivf,auc_base,delta_auc,final_frac_ivf,final_frac_base
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.5,3,irregular,210,210,0.8865151515151516,0.8836363636363638,0.002878787878787814,0.9904761904761905,0.9952380952380953
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.5,3,regular,480,480,0.8449431818181817,0.8081344696969696,0.03680871212121217,0.9520833333333333,0.9645833333333333
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.25,2,irregular,120,120,0.8672727272727273,0.8761742424242424,-0.00890151515151505,0.9833333333333333,1.0
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.25,2,regular,720,720,0.8348800505050504,0.7484406565656565,0.08643939393939393,0.9527777777777777,0.9111111111111111
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.25,3,irregular,210,210,0.8641774891774893,0.8207142857142857,0.04346320346320354,0.9904761904761905,0.9952380952380953
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.25,3,regular,480,480,0.7124053030303031,0.534251893939394,0.17815340909090915,0.8895833333333333,0.7291666666666666
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.1,2,irregular,120,120,0.8388257575757576,0.8537121212121211,-0.014886363636363531,0.9833333333333333,1.0
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.1,2,regular,720,720,0.7070896464646463,0.5848421717171717,0.12224747474747466,0.8777777777777778,0.7375
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.1,3,irregular,210,210,0.7862337662337662,0.6965800865800865,0.08965367965367965,0.9619047619047619,0.8428571428571429
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.1,3,regular,480,480,0.48653409090909094,0.39738636363636365,0.0891477272727273,0.6604166666666667,0.5083333333333333
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.5,2,irregular,120,120,0.6959848484848484,0.6923484848484849,0.0036363636363635488,0.775,0.775
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.5,2,regular,720,720,0.8469823232323231,0.8224116161616161,0.024570707070707076,0.9638888888888889,0.9569444444444445
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.5,3,irregular,210,210,0.8845238095238097,0.8762987012987014,0.008225108225108357,0.9904761904761905,0.9952380952380953
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.5,3,regular,480,480,0.8040056818181818,0.7676231060606061,0.03638257575757564,0.9395833333333333,0.95625
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.25,2,irregular,120,120,0.6871212121212121,0.6814772727272728,0.005643939393939368,0.775,0.775
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.25,2,regular,720,720,0.799810606060606,0.7076325757575757,0.0921780303030304,0.9486111111111111,0.9055555555555556
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.25,3,irregular,210,210,0.8482034632034632,0.7914285714285713,0.05677489177489192,0.9904761904761905,0.9904761904761905
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.25,3,regular,480,480,0.7033522727272727,0.4788825757575758,0.22446969696969693,0.88125,0.7125
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.1,2,irregular,120,120,0.645,0.6602651515151515,-0.01526515151515151,0.775,0.775
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.1,2,regular,720,720,0.6819696969696969,0.5468560606060605,0.13511363636363638,0.8888888888888888,0.7194444444444444
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.1,3,irregular,210,210,0.7607575757575757,0.6485064935064934,0.11225108225108238,0.9809523809523809,0.8428571428571429
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,HV,0.1,3,regular,480,480,0.5125284090909091,0.29746212121212123,0.2150662878787879,0.7770833333333333,0.3958333333333333
