metric,suite,problem,M,baseline,A12,significant,p_value
IGD,DTLZ,DTLZ4,M3,SPEA2,0.6375,True,0.009446662644973153
IGD,DTLZ,DTLZ4,M3,MFOSPEA2,0.5877777777777777,False,0.09773284711194866
IGD,DTLZ,DTLZ4,M3,SPEA2SDE,0.6705555555555556,True,0.0012817275121385224
IGD,DTLZ,DTLZ4,M3,NSGAII,0.5833333333333334,False,0.11595812951057019
IGD,DTLZ,DTLZ4,M3,NSGAIII,0.5930555555555556,False,0.07914482642483141
IGD,DTLZ,DTLZ4,M3,MOEAD,0.6230555555555556,True,0.02020480898405385
IGD,DTLZ,DTLZ4,M3,AGEMOEAII,0.455,False,0.3966300408180995
IGD,DTLZ,DTLZ4,M3,ARMOEA,0.6766666666666666,True,0.0008514310248050313
IGD,DTLZ,DTLZ5,M3,SPEA2,0.8355555555555556,True,2.331729133806294e-10
IGD,DTLZ,DTLZ5,M3,MFOSPEA2,0.8397222222222223,True,1.3947870924146634e-10
IGD,DTLZ,DTLZ5,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M3,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M3,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M3,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,SPEA2,0.7522222222222222,True,1.9060376716772359e-06
IGD,DTLZ,DTLZ6,M3,MFOSPEA2,0.7594444444444445,True,9.602984730181875e-07
IGD,DTLZ,DTLZ6,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M3,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ7,M3,SPEA2,0.6358333333333334,True,0.010348545242541524
IGD,DTLZ,DTLZ7,M3,MFOSPEA2,0.6016666666666667,False,0.05506316376632256
IGD,DTLZ,DTLZ7,M3,SPEA2SDE,0.4930555555555556,False,0.8976807731002201
IGD,DTLZ,DTLZ7,M3,NSGAII,0.9016666666666666,True,3.2763104962829367e-14
IGD,DTLZ,DTLZ7,M3,NSGAIII,0.9016666666666666,True,3.2763104962829367e-14
