Algorithm,IGD
ARMOEA,3.652366335316402
ARMOEA,1.0208742489599627
ARMOEA,0.21900197111943773
ARMOEA,0.4669901738860007
ARMOEA,2.5019686308549742
ARMOEA,1.1601875434996434
ARMOEA,1.0763927836164187
ARMOEA,0.12023470899223417
ARMOEA,1.0346636216279907
ARMOEA,2.245476997239999
ARMOEA,4.501538777768906
ARMOEA,0.03723859505587116
ARMOEA,0.7322601723645392
ARMOEA,0.037930951833549484
ARMOEA,1.896444682057984
ARMOEA,0.037264469047477884
ARMOEA,3.870134854068479
ARMOEA,1.69694119528351
ARMOEA,3.051350583572883
ARMOEA,0.28609450244624723
ARMOEA,0.03723859505587116
ARMOEA,0.31780036397247535
ARMOEA,4.219045727843579
ARMOEA,2.563972753933558
ARMOEA,3.284118891927769
IVFSPEA2,0.004126635137956391
IVFSPEA2,0.004111212337579865
IVFSPEA2,0.004189072721072221
IVFSPEA2,0.004151837950812387
IVFSPEA2,0.004099465619899007
IVFSPEA2,0.004189809931010528
IVFSPEA2,0.004118319236140853
IVFSPEA2,0.004160789635472675
IVFSPEA2,0.00411314525754962
IVFSPEA2,0.004111080419982791
IVFSPEA2,0.004101141815239771
IVFSPEA2,0.004157120885087646
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MOEAD,1648.3665310624956
MOEAD,1648.4721639347213
MOEAD,1648.5041454758211
MOEAD,1648.405973697254
MOEAD,1648.4795252196345
MOEAD,1648.4400179070817
MOEAD,1648.3878098236135
MOEAD,1648.369909554736
MOEAD,1648.3965226238975
MOEAD,1648.3829541867035
MOEAD,1648.374846897576
MOEAD,1648.381446956164
MOEAD,1648.3900873648422
MOEAD,1648.3789711554602
MOEAD,1648.4134375663361
MOEAD,1648.4586065730582
MOEAD,1648.4662287496146
MOEAD,1648.3607990052642
MOEAD,1648.3705659753875
MOEAD,1648.3685997891257
MOEAD,1648.396542843603
MOEAD,1648.381930028815
MOEAD,1648.3577424100824
MOEAD,1648.3716953219964
MOEAD,1648.3711588612002
MOEAD,1648.4914259312002
MOEAD,1648.372855575872
MOEAD,1648.421249729166
MOEAD,1648.3870684557355
MOEAD,1648.3678815715077
MOEAD,1648.449648692573
MOEAD,1648.3674382246668
MOEAD,1648.4640754296681
MOEAD,1648.4339598885915
MOEAD,1648.3785242571964
MOEAD,1648.446142552104
MOEAD,1648.3732023767352
MOEAD,1648.3830958736082
MOEAD,1648.370234092874
MOEAD,1648.3868667211593
MOEAD,1648.4112110303347
MOEAD,1648.4064215786452
MOEAD,1648.4604344224329
MOEAD,1648.384988958833
MOEAD,1648.364286066708
MOEAD,1648.461602696954
MOEAD,1648.3738802434418
MOEAD,1648.420092545713
MOEAD,1648.423164729032
MOEAD,1648.4104417425028
