algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ3,DTLZ,2,11,4012,0.005098455900903863,0.3454836851539006,2.2165850000000002
IVFNSGAII,DTLZ3,DTLZ,2,11,4013,0.004890653529061858,0.34701397857316485,2.5371859999999993
IVFNSGAII,DTLZ3,DTLZ,2,11,4014,0.005257822373021882,0.3449422270715744,2.997174999999998
IVFNSGAII,DTLZ3,DTLZ,2,11,4015,0.004952902438462331,0.3460682410909339,2.1073709999999957
IVFNSGAII,DTLZ3,DTLZ,2,11,4016,0.00547340558216706,0.3454098416451768,3.0517249999999976
IVFNSGAII,DTLZ3,DTLZ,2,11,4017,0.006135046310758299,0.3429624382251906,2.026038
IVFNSGAII,DTLZ3,DTLZ,2,11,4018,0.0051297401000189825,0.345178039520122,2.110397999999999
IVFNSGAII,DTLZ3,DTLZ,2,11,4019,0.005228218716238893,0.3456036401963548,2.565621999999998
IVFNSGAII,DTLZ3,DTLZ,2,11,4020,0.0057528279128477855,0.34412641760917545,2.090323
IVFNSGAII,DTLZ3,DTLZ,2,11,4021,0.004841052146198862,0.34589267809223523,2.2185999999999955
IVFNSGAII,DTLZ3,DTLZ,2,11,4022,0.005495222454650687,0.3449140082406377,1.963378000000002
IVFNSGAII,DTLZ3,DTLZ,2,11,4023,0.0050330356402996275,0.34617093233517526,2.0456059999999963
IVFNSGAII,DTLZ3,DTLZ,2,11,4024,0.00567452085926972,0.3447146014785661,2.1071339999999963
IVFNSGAII,DTLZ3,DTLZ,2,11,4025,0.005871617353815435,0.3432283615075942,2.052470000000002
IVFNSGAII,DTLZ3,DTLZ,2,11,4026,0.005289040626619832,0.345174912901509,2.2572749999999995
IVFNSGAII,DTLZ3,DTLZ,2,11,4027,0.005058073685341958,0.3464325076554437,2.0560469999999986
IVFNSGAII,DTLZ3,DTLZ,2,11,4028,0.005050205396433947,0.346301056831288,2.5191090000000007
IVFNSGAII,DTLZ3,DTLZ,2,11,4029,0.005328753600524263,0.34513220499316793,2.627328999999999
IVFNSGAII,DTLZ3,DTLZ,2,11,4030,0.004854773580440777,0.34700080665425276,2.3019700000000007
IVFNSGAII,DTLZ3,DTLZ,3,12,4001,0.06293665003613239,0.542498857400035,2.0186369999999965
