Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,0.0018558744005833213,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,0.0018892042267889806,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.001876504996144818,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.001822432357541495,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.001982341237355615,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.0017737297094365602,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.001893248469980538,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.0018271272038676504,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.001816872561905278,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,0.001891316634881148,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,0.0018996263220792114,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,0.0018942807222462328,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,0.001822640243631106,IVFSPEA2_DTLZ2_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,0.0018379670601212652,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,0.0018505494172177293,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,0.0018450257507389538,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,0.0018444494496949308,IVFSPEA2_DTLZ2_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,0.0018140662304910215,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,0.001876449532384198,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,0.0019272015709644649,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,0.001861219571798214,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,0.0018437085115455539,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,0.0018307681303027718,IVFSPEA2_DTLZ2_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,0.0018680450528038726,IVFSPEA2_DTLZ2_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,0.0019502170819576247,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,0.0018826733499366299,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,0.0018678788614851364,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,0.0019604071284903255,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,0.0019170068438464135,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,0.0018708955738893536,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,0.001832479279921904,IVFSPEA2_DTLZ2_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ2,36,M2,D11,0.0018560932895803183,IVFSPEA2_DTLZ2_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ2,37,M2,D11,0.0018537425348141383,IVFSPEA2_DTLZ2_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ2,38,M2,D11,0.001818685218456245,IVFSPEA2_DTLZ2_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ2,39,M2,D11,0.002088312669825388,IVFSPEA2_DTLZ2_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ2,40,M2,D11,0.0018362426069898291,IVFSPEA2_DTLZ2_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ2,41,M2,D11,0.001882706500450805,IVFSPEA2_DTLZ2_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ2,42,M2,D11,0.0018999961251641739,IVFSPEA2_DTLZ2_M2_D11_42.mat
