Grupo,Problema,Algoritmo,mean,std,min,max
MaF,MaF1_M2,MFOSPEA2,0.003797624595715496,4.540200415859403e-05,0.003706450836522886,0.0038925854184902425
MaF,MaF1_M2,MOEAD,0.0035705819614847306,4.443049314640972e-09,0.0035705724558477213,0.0035705902159484607
MaF,MaF1_M2,NSGAII,0.004635527961418349,0.00012834494969002805,0.004391260806673383,0.005021798563974342
MaF,MaF1_M2,NSGAIII,0.00357071131889559,4.658872910536134e-08,0.003570679359452029,0.0035710453296643975
MaF,MaF1_M2,SPEA2,0.0038065160403008636,4.286017676804493e-05,0.0037151877415792186,0.003938286825055954
MaF,MaF1_M2,SPEA2SDE,0.003973435462344832,6.77953654589379e-05,0.0038062215863288998,0.0041381600675590765
MaF,MaF1_M3,IVFSPEA2,0.04148408206345237,0.0004332377826140012,0.0406537224708823,0.042320558679910594
MaF,MaF1_M3,MFOSPEA2,0.04189475417525888,0.0004330118203114534,0.04088723262871783,0.04279917938776193
MaF,MaF1_M3,MOEAD,0.0704751573993939,6.198704966981704e-07,0.0704736118102705,0.07047717345556759
MaF,MaF1_M3,NSGAII,0.057329565977718794,0.0027139806428014513,0.051783346900713755,0.06388664705426439
MaF,MaF1_M3,NSGAIII,0.060676993588058004,0.0016896948275918274,0.05680325573039952,0.06405633548221468
MaF,MaF1_M3,SPEA2,0.04179340544325741,0.00044111794881446665,0.04099046182466534,0.04291273516867837
MaF,MaF1_M3,SPEA2SDE,0.042173524676143416,0.000626981609553005,0.041159973335527546,0.043471788799426675
MaF,MaF2_M2,IVFSPEA2,0.002149198269198052,3.0190344024537374e-05,0.0020789745769925795,0.0022328884531918544
MaF,MaF2_M2,MFOSPEA2,0.0021788777390794978,2.908959223513865e-05,0.0021166460514350366,0.0022521432129633725
MaF,MaF2_M2,MOEAD,0.0020138342011332138,5.595688022058042e-06,0.0020078681582131387,0.002033479225324978
MaF,MaF2_M2,NSGAII,0.0027550475403639316,0.00012097508837504818,0.002538924560154635,0.003007408652372762
MaF,MaF2_M2,NSGAIII,0.0020084073630654664,7.157660702958467e-06,0.002006340460041659,0.002060540094505688
MaF,MaF2_M2,SPEA2,0.0021875959555501807,3.1394705554291306e-05,0.002100758794115679,0.0022617534434472447
MaF,MaF2_M2,SPEA2SDE,0.0023857001474424954,7.474916058078241e-05,0.0022333420876673514,0.0025295750256020726
MaF,MaF2_M3,IVFSPEA2,0.03261357675544969,0.0012202142939847563,0.030193723110696853,0.03534078513173766
MaF,MaF2_M3,MFOSPEA2,0.03099754333696573,0.0009792924986328382,0.029393091339671305,0.03419024060960056
MaF,MaF2_M3,MOEAD,0.03894736029710258,0.0005446747215609133,0.0381411003035511,0.040395892971251846
MaF,MaF2_M3,NSGAII,0.04589217812156536,0.00282870100441163,0.04112329175144531,0.053461937366354025
MaF,MaF2_M3,NSGAIII,0.036002061757957414,0.0006630068135674287,0.03479201290966874,0.038468367710540505
MaF,MaF2_M3,SPEA2,0.032241161054409925,0.001090114093551478,0.03010548469919844,0.03536568903486951
MaF,MaF2_M3,SPEA2SDE,0.031149227770477576,0.0005778023615432,0.02992351882495447,0.032302102221382724
MaF,MaF3_M2,IVFSPEA2,0.004581352265530309,0.0007656386452037063,0.003781850627476814,0.007879025792300744
