Grupo,Algoritmo,Problema,Run,M,D,runtime,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,32,M3,D7,21.178587,IVFSPEA2_DTLZ1_M3_D7_32.mat
DTLZ,IVFSPEA2,DTLZ1,33,M2,D6,10.341673999999992,IVFSPEA2_DTLZ1_M2_D6_33.mat
DTLZ,IVFSPEA2,DTLZ1,33,M3,D7,21.008179000000013,IVFSPEA2_DTLZ1_M3_D7_33.mat
DTLZ,IVFSPEA2,DTLZ1,34,M2,D6,10.079032999999999,IVFSPEA2_DTLZ1_M2_D6_34.mat
DTLZ,IVFSPEA2,DTLZ1,34,M3,D7,21.173743,IVFSPEA2_DTLZ1_M3_D7_34.mat
DTLZ,IVFSPEA2,DTLZ1,35,M3,D7,21.803316999999982,IVFSPEA2_DTLZ1_M3_D7_35.mat
DTLZ,IVFSPEA2,DTLZ1,35,M2,D6,10.476922999999998,IVFSPEA2_DTLZ1_M2_D6_35.mat
DTLZ,IVFSPEA2,DTLZ1,36,M3,D7,21.00942,IVFSPEA2_DTLZ1_M3_D7_36.mat
DTLZ,IVFSPEA2,DTLZ1,36,M2,D6,10.374160000000009,IVFSPEA2_DTLZ1_M2_D6_36.mat
DTLZ,IVFSPEA2,DTLZ1,37,M2,D6,10.541167000000012,IVFSPEA2_DTLZ1_M2_D6_37.mat
DTLZ,IVFSPEA2,DTLZ1,37,M3,D7,21.72302199999999,IVFSPEA2_DTLZ1_M3_D7_37.mat
DTLZ,IVFSPEA2,DTLZ1,38,M2,D6,10.411944000000004,IVFSPEA2_DTLZ1_M2_D6_38.mat
DTLZ,IVFSPEA2,DTLZ1,38,M3,D7,21.295888000000037,IVFSPEA2_DTLZ1_M3_D7_38.mat
DTLZ,IVFSPEA2,DTLZ1,39,M3,D7,21.321779000000014,IVFSPEA2_DTLZ1_M3_D7_39.mat
DTLZ,IVFSPEA2,DTLZ1,39,M2,D6,10.471952,IVFSPEA2_DTLZ1_M2_D6_39.mat
DTLZ,IVFSPEA2,DTLZ1,40,M2,D6,10.025046999999988,IVFSPEA2_DTLZ1_M2_D6_40.mat
DTLZ,IVFSPEA2,DTLZ1,40,M3,D7,21.64557699999999,IVFSPEA2_DTLZ1_M3_D7_40.mat
DTLZ,IVFSPEA2,DTLZ1,41,M2,D6,9.964783999999993,IVFSPEA2_DTLZ1_M2_D6_41.mat
DTLZ,IVFSPEA2,DTLZ1,41,M3,D7,21.15099500000002,IVFSPEA2_DTLZ1_M3_D7_41.mat
DTLZ,IVFSPEA2,DTLZ1,42,M3,D7,21.962407999999975,IVFSPEA2_DTLZ1_M3_D7_42.mat
DTLZ,IVFSPEA2,DTLZ1,42,M2,D6,10.988554000000017,IVFSPEA2_DTLZ1_M2_D6_42.mat
DTLZ,IVFSPEA2,DTLZ1,43,M2,D6,10.887171999999984,IVFSPEA2_DTLZ1_M2_D6_43.mat
DTLZ,IVFSPEA2,DTLZ1,43,M3,D7,21.35167399999998,IVFSPEA2_DTLZ1_M3_D7_43.mat
DTLZ,IVFSPEA2,DTLZ1,44,M2,D6,10.598786999999996,IVFSPEA2_DTLZ1_M2_D6_44.mat
DTLZ,IVFSPEA2,DTLZ1,44,M3,D7,20.873605000000005,IVFSPEA2_DTLZ1_M3_D7_44.mat
DTLZ,IVFSPEA2,DTLZ1,45,M3,D7,20.705507000000033,IVFSPEA2_DTLZ1_M3_D7_45.mat
DTLZ,IVFSPEA2,DTLZ1,45,M2,D6,10.513238999999984,IVFSPEA2_DTLZ1_M2_D6_45.mat
DTLZ,IVFSPEA2,DTLZ1,46,M3,D7,21.315150000000013,IVFSPEA2_DTLZ1_M3_D7_46.mat
DTLZ,IVFSPEA2,DTLZ1,46,M2,D6,10.271882999999995,IVFSPEA2_DTLZ1_M2_D6_46.mat
DTLZ,IVFSPEA2,DTLZ1,47,M2,D6,10.569424999999994,IVFSPEA2_DTLZ1_M2_D6_47.mat
DTLZ,IVFSPEA2,DTLZ1,47,M3,D7,20.73611100000001,IVFSPEA2_DTLZ1_M3_D7_47.mat
DTLZ,IVFSPEA2,DTLZ1,48,M2,D6,11.25984700000001,IVFSPEA2_DTLZ1_M2_D6_48.mat
DTLZ,IVFSPEA2,DTLZ1,48,M3,D7,21.189600999999968,IVFSPEA2_DTLZ1_M3_D7_48.mat
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,10.519214000000007,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,49,M3,D7,21.584417000000002,IVFSPEA2_DTLZ1_M3_D7_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M3,D7,20.611991999999987,IVFSPEA2_DTLZ1_M3_D7_50.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,11.365259999999996,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,10.626182,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,51,M3,D7,20.92854200000001,IVFSPEA2_DTLZ1_M3_D7_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,10.547004999999997,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,52,M3,D7,20.970606000000007,IVFSPEA2_DTLZ1_M3_D7_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M3,D7,20.986606999999978,IVFSPEA2_DTLZ1_M3_D7_53.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,10.378526,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,11.023187000000002,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,54,M3,D7,21.40574,IVFSPEA2_DTLZ1_M3_D7_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M3,D7,20.18378700000001,IVFSPEA2_DTLZ1_M3_D7_55.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,10.448299999999996,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M3,D7,19.75058199999999,IVFSPEA2_DTLZ1_M3_D7_56.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,10.062333999999998,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M3,D7,20.849964999999994,IVFSPEA2_DTLZ1_M3_D7_57.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,10.556179000000009,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,10.580452999999999,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,58,M3,D7,21.376928999999993,IVFSPEA2_DTLZ1_M3_D7_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,10.400099000000003,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,59,M3,D7,21.490891000000016,IVFSPEA2_DTLZ1_M3_D7_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,10.477199999999995,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ1,60,M3,D7,22.154424000000038,IVFSPEA2_DTLZ1_M3_D7_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,13.145286999999998,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,1,M3,D12,31.072591999999986,IVFSPEA2_DTLZ2_M3_D12_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,13.645619000000005,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,2,M3,D12,32.265341000000035,IVFSPEA2_DTLZ2_M3_D12_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,13.327152000000003,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,3,M3,D12,31.536164999999993,IVFSPEA2_DTLZ2_M3_D12_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,13.561253999999993,IVFSPEA2_DTLZ2_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ2,4,M3,D12,32.21245399999997,IVFSPEA2_DTLZ2_M3_D12_4.mat
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,13.878148000000001,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,5,M3,D12,31.95095500000001,IVFSPEA2_DTLZ2_M3_D12_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,13.51642400000001,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,6,M3,D12,32.61313899999997,IVFSPEA2_DTLZ2_M3_D12_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,13.547321000000025,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,7,M3,D12,31.221823999999966,IVFSPEA2_DTLZ2_M3_D12_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M3,D12,30.703497999999982,IVFSPEA2_DTLZ2_M3_D12_8.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,13.289726999999992,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,13.168553000000022,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,9,M3,D12,31.160799000000015,IVFSPEA2_DTLZ2_M3_D12_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,13.255889000000014,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,10,M3,D12,30.784598000000017,IVFSPEA2_DTLZ2_M3_D12_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,13.178581999999986,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,11,M3,D12,31.193378999999997,IVFSPEA2_DTLZ2_M3_D12_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M3,D12,31.016874000000044,IVFSPEA2_DTLZ2_M3_D12_12.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,13.661388999999982,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M3,D12,30.457781999999987,IVFSPEA2_DTLZ2_M3_D12_13.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,13.156415999999982,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,12.503074999999999,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,14,M3,D12,30.90596399999998,IVFSPEA2_DTLZ2_M3_D12_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M3,D12,30.85605199999996,IVFSPEA2_DTLZ2_M3_D12_15.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,13.353232000000006,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M3,D12,31.051360000000017,IVFSPEA2_DTLZ2_M3_D12_16.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,12.74644400000001,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M3,D12,31.163944999999977,IVFSPEA2_DTLZ2_M3_D12_17.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,13.792567999999992,IVFSPEA2_DTLZ2_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,13.392341000000007,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,18,M3,D12,30.380837,IVFSPEA2_DTLZ2_M3_D12_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,12.872863999999987,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,19,M3,D12,30.692215000000022,IVFSPEA2_DTLZ2_M3_D12_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M3,D12,30.858028999999988,IVFSPEA2_DTLZ2_M3_D12_20.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,12.679534999999996,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,12.936842000000022,IVFSPEA2_DTLZ2_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ2,21,M3,D12,30.17768200000001,IVFSPEA2_DTLZ2_M3_D12_21.mat
DTLZ,IVFSPEA2,DTLZ2,22,M3,D12,30.489316999999964,IVFSPEA2_DTLZ2_M3_D12_22.mat
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,12.601665999999994,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M3,D12,30.448451000000016,IVFSPEA2_DTLZ2_M3_D12_23.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,12.868143999999983,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M3,D12,31.05305600000001,IVFSPEA2_DTLZ2_M3_D12_24.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,12.861499000000002,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,12.757522999999981,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,25,M3,D12,30.198258000000003,IVFSPEA2_DTLZ2_M3_D12_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,12.31541799999999,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,26,M3,D12,30.636271999999995,IVFSPEA2_DTLZ2_M3_D12_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,12.668058999999992,IVFSPEA2_DTLZ2_M2_D11_27.mat
