Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,0.3474705839161135,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,0.34732961677536695,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,0.34721278669194794,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,0.3473583080090363,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,0.34743257254779064,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,0.3474444261833706,IVFSPEA2_DTLZ2_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,0.3473647016756944,IVFSPEA2_DTLZ2_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,0.3471874430726899,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,0.3473145134521266,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,0.3473718484703007,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,0.3471845733031483,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,0.3472404064756079,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,0.34738065709249855,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,0.3473942676162964,IVFSPEA2_DTLZ2_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ2,36,M2,D11,0.3473943510011508,IVFSPEA2_DTLZ2_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ2,37,M2,D11,0.34737354789243147,IVFSPEA2_DTLZ2_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ2,38,M2,D11,0.3474864028564276,IVFSPEA2_DTLZ2_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ2,39,M2,D11,0.34695950590091845,IVFSPEA2_DTLZ2_M2_D11_39.mat
