Grupo,Algoritmo,Problema,Run,M,D,arquivo_original,IGD,runtime,HV,Spread,IGDp,Spacing
DTLZ,ARMOEA,DTLZ1,1,M2,D6,ARMOEA_DTLZ1_M2_D6_1.mat,0.00178899538401401,12.446365,0.582476908378182,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,2,M2,D6,ARMOEA_DTLZ1_M2_D6_2.mat,0.00178571110539464,13.145863,0.582579578881538,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,3,M2,D6,ARMOEA_DTLZ1_M2_D6_3.mat,0.00178551197359082,12.90332,0.582593044374861,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,4,M2,D6,ARMOEA_DTLZ1_M2_D6_4.mat,0.00181382504289969,12.073323,0.58209612085828,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,5,M2,D6,ARMOEA_DTLZ1_M2_D6_5.mat,0.00178554893216861,12.867165,0.582591643081433,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,6,M2,D6,ARMOEA_DTLZ1_M2_D6_6.mat,0.00178597219884022,12.379552,0.582559353214505,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,7,M2,D6,ARMOEA_DTLZ1_M2_D6_7.mat,0.00178547860708168,11.695982,0.582602284604969,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,8,M2,D6,ARMOEA_DTLZ1_M2_D6_8.mat,0.00178557924698986,12.223625,0.582602007771244,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,9,M2,D6,ARMOEA_DTLZ1_M2_D6_9.mat,0.00179130084875654,11.905914,0.582410960034927,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,10,M2,D6,ARMOEA_DTLZ1_M2_D6_10.mat,0.00178584296692753,11.650507,0.582583111977948,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,11,M2,D6,ARMOEA_DTLZ1_M2_D6_11.mat,0.00179306572726502,11.969892,0.582374471121364,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,12,M2,D6,ARMOEA_DTLZ1_M2_D6_12.mat,0.00179143128081251,10.953325,0.582401656449622,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,13,M2,D6,ARMOEA_DTLZ1_M2_D6_13.mat,0.0017856576427463,11.647519,0.582586804989265,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,14,M2,D6,ARMOEA_DTLZ1_M2_D6_14.mat,0.00178698868281191,12.045308,0.582516038574405,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,15,M2,D6,ARMOEA_DTLZ1_M2_D6_15.mat,0.00178636019221537,11.539659,0.582547124859996,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,16,M2,D6,ARMOEA_DTLZ1_M2_D6_16.mat,0.00178641526804654,11.723997,0.582538822236982,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,17,M2,D6,ARMOEA_DTLZ1_M2_D6_17.mat,0.0018140639466989,11.561669,0.582115375899087,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,18,M2,D6,ARMOEA_DTLZ1_M2_D6_18.mat,0.00178633051040809,11.849325,0.582547441334958,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,19,M2,D6,ARMOEA_DTLZ1_M2_D6_19.mat,0.001793338367368,11.935442,0.58236446671596,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,20,M2,D6,ARMOEA_DTLZ1_M2_D6_20.mat,0.00178869584927585,11.987714,0.582462573394598,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,21,M2,D6,ARMOEA_DTLZ1_M2_D6_21.mat,0.00179377574715495,12.078682,0.582371428065376,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,22,M2,D6,ARMOEA_DTLZ1_M2_D6_22.mat,0.00185343125435242,12.136943,0.581748331077343,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,23,M2,D6,ARMOEA_DTLZ1_M2_D6_23.mat,0.0017981691853858,11.613705,0.582285741085965,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,24,M2,D6,ARMOEA_DTLZ1_M2_D6_24.mat,0.00179006907016351,11.854275,0.582430789620345,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,25,M2,D6,ARMOEA_DTLZ1_M2_D6_25.mat,0.00178576943597924,11.533559,0.582574841783265,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,26,M2,D6,ARMOEA_DTLZ1_M2_D6_26.mat,0.00178713566118136,11.470507,0.582512840442142,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,27,M2,D6,ARMOEA_DTLZ1_M2_D6_27.mat,0.00178691732291763,11.767201,0.582520322846559,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,28,M2,D6,ARMOEA_DTLZ1_M2_D6_28.mat,0.00178797961708368,11.387244,0.582487390888082,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,29,M2,D6,ARMOEA_DTLZ1_M2_D6_29.mat,0.00178548749366621,12.292139,0.58260117853848,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,30,M2,D6,ARMOEA_DTLZ1_M2_D6_30.mat,0.00178994224917422,11.735153,0.582438829178265,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,31,M2,D6,ARMOEA_DTLZ1_M2_D6_31.mat,0.00179315570466407,11.618661,0.582366681737601,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,32,M2,D6,ARMOEA_DTLZ1_M2_D6_32.mat,0.00179031100897789,11.877971,0.582424768912649,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,33,M2,D6,ARMOEA_DTLZ1_M2_D6_33.mat,0.00178872826821053,11.429623,0.58247089647433,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,34,M2,D6,ARMOEA_DTLZ1_M2_D6_34.mat,0.00178549484169887,11.43146,0.582602663505376,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,35,M2,D6,ARMOEA_DTLZ1_M2_D6_35.mat,0.00178706552592307,11.807432,0.582514979716391,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,36,M2,D6,ARMOEA_DTLZ1_M2_D6_36.mat,0.00178566128479482,11.30604,0.582583262727111,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,37,M2,D6,ARMOEA_DTLZ1_M2_D6_37.mat,0.00178688982520891,11.755535,0.582538222451119,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,38,M2,D6,ARMOEA_DTLZ1_M2_D6_38.mat,0.00178548522176734,12.137195,0.582602597067837,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,39,M2,D6,ARMOEA_DTLZ1_M2_D6_39.mat,0.00178936401396181,11.668379,0.582456207615922,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,40,M2,D6,ARMOEA_DTLZ1_M2_D6_40.mat,0.00178654975982449,11.751688,0.582533049401736,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,41,M2,D6,ARMOEA_DTLZ1_M2_D6_41.mat,0.0018164466715798,12.027618,0.582064551415141,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,42,M2,D6,ARMOEA_DTLZ1_M2_D6_42.mat,0.00183226305148956,11.773161,0.581914594608751,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,43,M2,D6,ARMOEA_DTLZ1_M2_D6_43.mat,0.00178821444737647,11.789192,0.582518514159869,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,44,M2,D6,ARMOEA_DTLZ1_M2_D6_44.mat,0.00180491120405565,11.899486,0.582211327713598,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,45,M2,D6,ARMOEA_DTLZ1_M2_D6_45.mat,0.0018086921316483,11.862113,0.582153261433783,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,46,M2,D6,ARMOEA_DTLZ1_M2_D6_46.mat,0.00178559061385575,11.95411,0.582595080545171,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,47,M2,D6,ARMOEA_DTLZ1_M2_D6_47.mat,0.00178648169043676,11.186359,0.582535034404568,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,48,M2,D6,ARMOEA_DTLZ1_M2_D6_48.mat,0.00180505146927959,11.550221,0.582193987472863,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,49,M2,D6,ARMOEA_DTLZ1_M2_D6_49.mat,0.00178579503561481,11.545717,0.582570870650314,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,50,M2,D6,ARMOEA_DTLZ1_M2_D6_50.mat,0.00178952180888681,11.780752,0.582443433810958,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,51,M2,D6,ARMOEA_DTLZ1_M2_D6_51.mat,0.00178556013845306,11.420909,0.582586568444661,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,52,M2,D6,ARMOEA_DTLZ1_M2_D6_52.mat,0.00178557541250909,11.860619,0.582591957016891,NaN,NaN,NaN
