case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2
maf7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.24291056198044492,2.9231514767635858e-05,0.24291056198044492,2.9231514767635858e-05,0.2428942321808124,3.035304776363712e-05,1.0,1.0,0.5,0.010598260909318924,0.017435848592750488,0.7211111111111111
maf7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.0005974355500900641,0.2774851933206389,0.0005974355500900641,0.276716780924268,0.0009699638491334484,1.0,1.0,0.5,0.00046010687947273254,0.0010914163187492726,0.7588888888888888
wfg1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.6878164585078046,0.00626453747851774,0.6866236593683017,0.004716744673115558,0.6855107760896693,0.008604259894317234,0.4589970390898609,1.0,0.5738888888888889,0.024786051362752914,0.038305715742436325,0.6822222222222222
wfg1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9450800424051267,0.001710900647588498,0.944633480372402,0.0011582661081823709,0.9442545135560307,0.0014359237772071376,0.6408254038542509,1.0,0.5622222222222222,0.17059839516878128,0.2148276087310579,0.6266666666666667
wfg2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.632804631014187,0.0005023567919314464,0.632532138617502,0.0005310112024524694,0.6332730164867548,0.0001989801584663109,0.0050126127898693085,0.024346976407936642,0.6944444444444444,4.7124922275543213e-07,2.4033710360527038e-06,0.12
wfg2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9305928353362367,0.0014744590523837475,0.9288007447906719,0.001958411945382821,0.9304206912899461,0.0014479840599007643,1.597777009010315e-05,0.00018108139435450235,0.8477777777777777,0.7151329666376114,0.7443220673166976,0.5488888888888889
wfg3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5811600827304082,0.0009774385579867095,0.5813182695705181,0.000670188520719539,0.5816374345340938,0.00039321159648531,0.09610157273709774,0.3267453473061323,0.41444444444444445,9.220093488693237e-06,3.617113599410424e-05,0.21444444444444444
wfg3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.38700283182970563,0.004087261426955979,0.3958581854595089,0.0034908919195898447,0.3883278324029571,0.005910694821524065,1.862645149230957e-09,6.332993507385254e-08,0.006666666666666667,0.18396909348666668,0.22883960409317075,0.39555555555555555
wfg4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3471894613384255,0.00014201314955114563,0.3472926115372511,0.00012802493745089905,0.3470898334167435,0.0002492321998921465,0.0009517744183540344,0.005393388370672862,0.24888888888888888,0.026228994131088257,0.03993070748314929,0.67
wfg4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5437767596876776,0.0024398196376630432,0.5515786497552875,0.002396973156279847,0.5426420412627242,0.004355598914462688,1.862645149230957e-09,6.332993507385254e-08,0.0044444444444444444,0.12935307621955872,0.1691540227486537,0.6322222222222222
wfg5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3135064700560223,0.00011583579644880437,0.3135769992176194,8.037587009357416e-05,0.3134339265650694,0.00014190353333037864,0.009921504538268745,0.04216639428764216,0.3061111111111111,0.0032229889184236526,0.00587044410141451,0.7211111111111111
wfg5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.515162757479319,0.002195040689143335,0.5160978415693707,0.0017280853127413787,0.5139991198513079,0.0015225111988395046,0.0002535328686227338,0.0019892578922706804,0.2727777777777778,0.12413446232676506,0.16443785918610437,0.6388888888888888
wfg6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3061791501596931,0.017603224485486735,0.3063805123611641,0.01769689685039283,0.3030375582741972,0.018689683407135005,0.31839608028531075,0.7552651206767836,0.4988888888888889,0.7303419969975948,0.7524735726641886,0.5533333333333333
wfg6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.4962284597254649,0.022449027433682434,0.4991255985886996,0.017994383127809987,0.5007050069767436,0.021864890895196498,4.7124922275543213e-07,8.011236786842346e-06,0.44222222222222224,0.2621222734451294,0.3108892080395721,0.42333333333333334
wfg7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34642608579833056,0.00038060350895186,0.3466236014044668,0.0002934824880281295,0.3463003478145032,0.00028796683562126724,4.4075772166252136e-05,0.0004087026146325198,0.22111111111111112,0.2988441474735737,0.34638753457164223,0.6233333333333333
wfg7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5454737996474126,0.003718021398440685,0.5495724091986166,0.002363984812294606,0.542886319242958,0.0040054015361533635,3.5443983686800885e-05,0.00036152863360536903,0.12944444444444445,6.286613643169403e-05,0.00020038580987602472,0.7666666666666667
wfg8_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.28968436793624364,0.0010246929402399352,0.28969627876810633,0.0007787250535158385,0.2899927805641901,0.0010923874667417843,0.024786051362752914,0.09723758611541528,0.47,0.036434996873140335,0.052343234944511464,0.36
wfg8_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.45993973027909063,0.0038673534637195806,0.4623114068481106,0.003933990094356243,0.45819968070214767,0.0036120605293155084,0.0003800932317972183,0.002614216665555258,0.21888888888888888,0.42795460671186447,0.48501522094011307,0.57
wfg9_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34145164959897084,0.0029091732805748283,0.34118412400203446,0.002225304146308782,0.3430223766506969,0.0010787090878459638,0.8078304156661034,1.0,0.5233333333333333,0.00018860027194023132,0.0005199250739973944,0.2811111111111111
wfg9_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.51554487849616,0.007096305720601825,0.5365790933566716,0.01008924715665116,0.5156516304682184,0.008270085157569218,4.6566128730773926e-08,9.499490261077881e-07,0.10777777777777778,0.6263462882488966,0.6869604451762091,0.52
zdt1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7204356688264528,0.00013418963939337836,0.7204348088197027,0.0001535075271510422,0.7203049801901811,0.00013429718829149895,0.31731050786291415,0.7552651206767836,0.5194444444444445,2.6885420083999634e-05,9.141042828559875e-05,0.8088888888888889
zdt2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.4450241599533885,0.00011650382051919816,0.4450241599533885,0.00011650382051919816,0.44495943212216604,8.747291080091202e-05,1.0,1.0,0.5,0.00020912662148475647,0.000561339878722241,0.73
zdt3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5997309733038889,7.816575220787048e-05,0.5997309733038889,7.816575220787048e-05,0.5996861136425929,5.6981874090755724e-05,1.0,1.0,0.5,0.0011314544826745987,0.0023552725965879403,0.7144444444444444
zdt4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7206052567454648,2.3933682104293474e-05,0.7206052567454648,2.3933682104293474e-05,0.7203890744512973,0.0002505586353750422,1.0,1.0,0.5,5.587935447692871e-09,1.1399388313293458e-07,0.9633333333333334
zdt6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3889367912256615,1.8657787538678416e-05,0.3889367912256615,1.8657787538678416e-05,0.3889091726314668,1.6057508665956455e-05,1.0,1.0,0.5,4.6566128730773926e-08,3.6536501004145697e-07,0.9222222222222223
dtlz1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0018244992209831147,9.67038954935483e-06,0.0018244992209831147,8.95939020863299e-06,0.0018354208956210356,1.4004454523285515e-05,0.31731050786291415,0.7552651206767836,0.505,0.007111456245183945,0.012294381983199362,0.2722222222222222
dtlz1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.019944825214002135,0.00016409496152124461,0.019944825214002135,0.00016409496152124461,0.020016177488649915,0.00015272514640170265,0.9808795062755976,1.0,0.49666666666666665,0.28936620615422726,0.339256931353232,0.41888888888888887
dtlz2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004116617290879022,4.918582903860706e-05,0.0041178426437836,4.430418928073627e-05,0.0041767659649672075,6.80222026040074e-05,0.31731050786291415,0.7552651206767836,0.47055555555555556,5.973502993583679e-06,2.437189221382141e-05,0.19777777777777777
dtlz2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05316387471498587,0.000858814402377249,0.05316387471498587,0.000858814402377249,0.05375965709009298,0.0006275079493126348,1.0,1.0,0.5,0.0018640067428350449,0.003520901625355085,0.25666666666666665
dtlz3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004041021935358944,4.598078618541033e-05,0.004041021935358944,4.598078618541033e-05,0.004175256927921452,0.00020102004823793675,1.0,1.0,0.5,8.009374141693115e-08,5.835401160376412e-07,0.058888888888888886
