Grupo,Algoritmo,Problema,Run,M,D,IGD,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,40,M2,D6,0.001819144599902927,IVFSPEA2_DTLZ1_M2_D6_40.mat
DTLZ,IVFSPEA2,DTLZ1,40,M3,D7,0.020090759724378612,IVFSPEA2_DTLZ1_M3_D7_40.mat
DTLZ,IVFSPEA2,DTLZ1,41,M2,D6,0.001819415101545112,IVFSPEA2_DTLZ1_M2_D6_41.mat
DTLZ,IVFSPEA2,DTLZ1,41,M3,D7,0.020023252361541403,IVFSPEA2_DTLZ1_M3_D7_41.mat
DTLZ,IVFSPEA2,DTLZ1,42,M3,D7,0.020304046299790542,IVFSPEA2_DTLZ1_M3_D7_42.mat
DTLZ,IVFSPEA2,DTLZ1,42,M2,D6,0.0018107519025386488,IVFSPEA2_DTLZ1_M2_D6_42.mat
DTLZ,IVFSPEA2,DTLZ1,43,M2,D6,0.001842078238506199,IVFSPEA2_DTLZ1_M2_D6_43.mat
DTLZ,IVFSPEA2,DTLZ1,43,M3,D7,0.02009749883660188,IVFSPEA2_DTLZ1_M3_D7_43.mat
DTLZ,IVFSPEA2,DTLZ1,44,M2,D6,0.0019289487224505436,IVFSPEA2_DTLZ1_M2_D6_44.mat
DTLZ,IVFSPEA2,DTLZ1,44,M3,D7,0.020018642359747568,IVFSPEA2_DTLZ1_M3_D7_44.mat
DTLZ,IVFSPEA2,DTLZ1,45,M3,D7,0.020461836983106465,IVFSPEA2_DTLZ1_M3_D7_45.mat
DTLZ,IVFSPEA2,DTLZ1,45,M2,D6,0.0018252992482580392,IVFSPEA2_DTLZ1_M2_D6_45.mat
DTLZ,IVFSPEA2,DTLZ1,46,M3,D7,0.02013245040961336,IVFSPEA2_DTLZ1_M3_D7_46.mat
DTLZ,IVFSPEA2,DTLZ1,46,M2,D6,0.001836545746939427,IVFSPEA2_DTLZ1_M2_D6_46.mat
DTLZ,IVFSPEA2,DTLZ1,47,M2,D6,0.001844541129420621,IVFSPEA2_DTLZ1_M2_D6_47.mat
DTLZ,IVFSPEA2,DTLZ1,47,M3,D7,0.02021183648427574,IVFSPEA2_DTLZ1_M3_D7_47.mat
DTLZ,IVFSPEA2,DTLZ1,48,M2,D6,0.001827361783171358,IVFSPEA2_DTLZ1_M2_D6_48.mat
DTLZ,IVFSPEA2,DTLZ1,48,M3,D7,0.019916955570182023,IVFSPEA2_DTLZ1_M3_D7_48.mat
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,0.0018294158596567393,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,49,M3,D7,0.02031563631281804,IVFSPEA2_DTLZ1_M3_D7_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M3,D7,0.020100591810326883,IVFSPEA2_DTLZ1_M3_D7_50.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,0.001819146797246607,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,0.0018285417194365099,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,51,M3,D7,0.020001278551394608,IVFSPEA2_DTLZ1_M3_D7_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,0.0018303259349956881,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,52,M3,D7,0.01997233917832341,IVFSPEA2_DTLZ1_M3_D7_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M3,D7,0.019942927030735344,IVFSPEA2_DTLZ1_M3_D7_53.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,0.0018259317154548378,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,0.0018277761383598801,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,54,M3,D7,0.02003475004407764,IVFSPEA2_DTLZ1_M3_D7_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M3,D7,0.020253839260822217,IVFSPEA2_DTLZ1_M3_D7_55.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,0.0018282742982673916,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M3,D7,0.02020422268579983,IVFSPEA2_DTLZ1_M3_D7_56.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,0.001836837453314937,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M3,D7,0.02004588478192401,IVFSPEA2_DTLZ1_M3_D7_57.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,0.0018205615422932613,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,0.00213449398142587,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,58,M3,D7,0.020183742828836327,IVFSPEA2_DTLZ1_M3_D7_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,0.0018490254130844662,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,59,M3,D7,0.020190163741618545,IVFSPEA2_DTLZ1_M3_D7_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,0.0018178427462313166,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ1,60,M3,D7,0.019866561454679056,IVFSPEA2_DTLZ1_M3_D7_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,0.004138929356584761,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,1,M3,D12,0.054220531749580504,IVFSPEA2_DTLZ2_M3_D12_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,0.004098176133357582,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,2,M3,D12,0.0534827073208094,IVFSPEA2_DTLZ2_M3_D12_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,0.004084329604146666,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,3,M3,D12,0.05331641400107877,IVFSPEA2_DTLZ2_M3_D12_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,0.004143464002389675,IVFSPEA2_DTLZ2_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ2,4,M3,D12,0.054140349452420605,IVFSPEA2_DTLZ2_M3_D12_4.mat
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,0.00418297543464768,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,5,M3,D12,0.05351821590401667,IVFSPEA2_DTLZ2_M3_D12_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,0.004133055539701992,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,6,M3,D12,0.053732347401892935,IVFSPEA2_DTLZ2_M3_D12_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.0041893398396956,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,7,M3,D12,0.0539173263458632,IVFSPEA2_DTLZ2_M3_D12_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M3,D12,0.05374073256357786,IVFSPEA2_DTLZ2_M3_D12_8.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.00406486778298853,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.00417262399243233,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,9,M3,D12,0.05429992297637394,IVFSPEA2_DTLZ2_M3_D12_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.00413571069490687,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,10,M3,D12,0.05469366983940748,IVFSPEA2_DTLZ2_M3_D12_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.004061343140311196,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,11,M3,D12,0.05375988539405807,IVFSPEA2_DTLZ2_M3_D12_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M3,D12,0.0538415469459268,IVFSPEA2_DTLZ2_M3_D12_12.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.004137889901164625,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M3,D12,0.053635238488292686,IVFSPEA2_DTLZ2_M3_D12_13.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.004061671841375249,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,0.004155826509160855,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,14,M3,D12,0.053800724194230265,IVFSPEA2_DTLZ2_M3_D12_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M3,D12,0.054257986527120085,IVFSPEA2_DTLZ2_M3_D12_15.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,0.004139075297207731,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M3,D12,0.054000300784223666,IVFSPEA2_DTLZ2_M3_D12_16.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,0.004109960607699606,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M3,D12,0.05375262925759275,IVFSPEA2_DTLZ2_M3_D12_17.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,0.004156777638231837,IVFSPEA2_DTLZ2_M2_D11_17.mat
