instance,M,D,n_runs_spea2,n_runs_ivf,median_igd_spea2,median_igd_ivf,delta_igd,delta_pct,wilcoxon_p,a12,label,label_binary
WFG6_M3,M3,D12,60,60,0.23898646576648952,0.2383239500970875,0.0006625156694020085,0.27721890747124717,0.5374226858243835,0.5327777777777778,NEUTRAL,NOT_HELPS
WFG7_M2,M2,D11,60,60,0.0137131375253036,0.013183301150508201,0.0005298363747953984,3.8637137111601176,2.6967994403039473e-13,0.8869444444444444,HELPS,HELPS
WFG7_M3,M3,D12,60,60,0.217447149359005,0.2141652516164905,0.0032818977425145,1.5092852457201407,1.392162775189286e-06,0.7555555555555555,HELPS,HELPS
WFG8_M2,M2,D11,60,60,0.107477321109394,0.107386119374159,9.120173523499697e-05,0.0848567253943451,0.9727845283335559,0.5019444444444444,NEUTRAL,NOT_HELPS
WFG8_M3,M3,D12,60,60,0.29533250703831704,0.293324288578828,0.002008218459489064,0.6799855795178394,0.012022825407617432,0.6330555555555556,HELPS,HELPS
WFG9_M2,M2,D11,60,60,0.015918867012147703,0.0169391394263292,-0.0010202724141814973,-6.40920244765489,0.0033181746205441717,0.34444444444444444,HURTS,NOT_HELPS
WFG9_M3,M3,D12,60,60,0.21669015655860152,0.210127042119278,0.006563114439323531,3.028801374071003,2.5768576646720453e-12,0.8705555555555555,HELPS,HELPS
ZDT1_M2,M2,D30,60,60,0.0039724770508656,0.0038799710958828497,9.250595498275054e-05,2.328671853814575,2.8076730989401725e-06,0.7480555555555556,HELPS,HELPS
ZDT2_M2,M2,D30,60,60,0.003913216408325,0.0038875277130227,2.5688695302300384e-05,0.6564598688600533,0.00023629702600046998,0.6947222222222222,HELPS,HELPS
ZDT3_M2,M2,D30,60,60,0.0049225086321233,0.00484118787269235,8.132075943094973e-05,1.6520186252242774,0.00021759088981951688,0.6958333333333333,HELPS,HELPS
