Grupo,Algoritmo,Problema,Run,M,D,Spread,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.13402506476716572,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.1074369523916948,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.12005533058444902,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.12139623259562972,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.08688762850804511,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.12353473043365198,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.09247553670831456,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,0.13680389492786876,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,0.12588592200360443,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,0.09800804781284667,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,0.12120394945516477,IVFSPEA2_DTLZ2_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,0.14238324938452163,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,0.09275183346589912,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,0.10059885297883936,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,0.1155797340548873,IVFSPEA2_DTLZ2_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,0.11640031461471667,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,0.11885997630270294,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,0.09569081243810096,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,0.10611451610539686,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,0.10740212434051367,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,0.10812252030157493,IVFSPEA2_DTLZ2_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,0.1171733897944708,IVFSPEA2_DTLZ2_M2_D11_28.mat
