Grupo,Problema,Numero,Algoritmo,Objetivos,IGD
DTLZ,DTLZ1,1,NSGAII,M2,0.002094879906646263
DTLZ,DTLZ1,1,NSGAII,M2,0.0021046145952998353
DTLZ,DTLZ1,1,NSGAII,M2,0.002115838870427042
DTLZ,DTLZ1,1,NSGAII,M2,0.0021188600975804795
DTLZ,DTLZ1,1,NSGAII,M2,0.0021218229252582253
DTLZ,DTLZ1,1,NSGAII,M2,0.002123587721763321
DTLZ,DTLZ1,1,NSGAII,M2,0.002126888591628893
DTLZ,DTLZ1,1,NSGAII,M2,0.0021288898594737904
DTLZ,DTLZ1,1,NSGAII,M2,0.00213140035966164
DTLZ,DTLZ1,1,NSGAII,M2,0.002135417959693189
DTLZ,DTLZ1,1,NSGAII,M2,0.0021375315502785886
DTLZ,DTLZ1,1,NSGAII,M2,0.0021436737815495855
DTLZ,DTLZ1,1,NSGAII,M2,0.0021511635484299865
DTLZ,DTLZ1,1,NSGAII,M2,0.002152960948526347
DTLZ,DTLZ1,1,NSGAII,M2,0.0021601785966762228
DTLZ,DTLZ1,1,NSGAII,M2,0.0021695469850906354
DTLZ,DTLZ1,1,NSGAII,M2,0.0021699501479564595
DTLZ,DTLZ1,1,NSGAII,M2,0.0021720909621858035
DTLZ,DTLZ1,1,NSGAII,M2,0.0021735824623994046
DTLZ,DTLZ1,1,NSGAII,M2,0.0021782662028233682
DTLZ,DTLZ1,1,NSGAII,M2,0.0021798163243230543
DTLZ,DTLZ1,1,NSGAII,M2,0.0021858076256125723
DTLZ,DTLZ1,1,NSGAII,M2,0.002189716848873724
DTLZ,DTLZ1,1,NSGAII,M2,0.0021925703305290265
DTLZ,DTLZ1,1,NSGAII,M2,0.0021945468903122765
DTLZ,DTLZ1,1,NSGAII,M2,0.0021967834002721088
DTLZ,DTLZ1,1,NSGAII,M2,0.002199087145989526
DTLZ,DTLZ1,1,NSGAII,M2,0.0022044033698562274
DTLZ,DTLZ1,1,NSGAII,M2,0.0022055029882124106
DTLZ,DTLZ1,1,NSGAII,M2,0.002206837282090134
DTLZ,DTLZ1,1,NSGAII,M2,0.002208819450853648
DTLZ,DTLZ1,1,NSGAII,M2,0.0022092610275959565
DTLZ,DTLZ1,1,NSGAII,M2,0.002209662341621436
DTLZ,DTLZ1,1,NSGAII,M2,0.00222249096280256
DTLZ,DTLZ1,1,NSGAII,M2,0.0022235581421413022
DTLZ,DTLZ1,1,NSGAII,M2,0.0022238850332026087
DTLZ,DTLZ1,1,NSGAII,M2,0.0022263557274933236
DTLZ,DTLZ1,1,NSGAII,M2,0.0022316016976086763
DTLZ,DTLZ1,1,NSGAII,M2,0.002232186703239629
DTLZ,DTLZ1,1,NSGAII,M2,0.002232951520348763
DTLZ,DTLZ1,1,NSGAII,M2,0.002234016228105278
DTLZ,DTLZ1,1,NSGAII,M2,0.0022349297911722042
DTLZ,DTLZ1,1,NSGAII,M2,0.002235794435700259
DTLZ,DTLZ1,1,NSGAII,M2,0.002238510633743012
DTLZ,DTLZ1,1,NSGAII,M2,0.0022389241973724255
DTLZ,DTLZ1,1,NSGAII,M2,0.0022453576836933423
DTLZ,DTLZ1,1,NSGAII,M2,0.002256742681637312
DTLZ,DTLZ1,1,NSGAII,M2,0.002275126722192074
DTLZ,DTLZ1,1,NSGAII,M2,0.0022825554646622014
DTLZ,DTLZ1,1,NSGAII,M2,0.00228289597436451
DTLZ,DTLZ1,1,NSGAII,M2,0.0022839674056520623
DTLZ,DTLZ1,1,NSGAII,M2,0.0022945225443753254
DTLZ,DTLZ1,1,NSGAII,M2,0.0022996994876876642
DTLZ,DTLZ1,1,NSGAII,M2,0.0023023939273308118
DTLZ,DTLZ1,1,NSGAII,M2,0.0023433330938517453
DTLZ,DTLZ1,1,NSGAII,M2,0.0023555335616193707
DTLZ,DTLZ1,1,NSGAII,M2,0.00235917845305172
DTLZ,DTLZ1,1,NSGAII,M2,0.002362417062174809
DTLZ,DTLZ1,1,NSGAII,M2,0.002370987640923055
DTLZ,DTLZ1,1,NSGAIII,M2,0.001785373968366962
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017853846458886502
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017853963734198288
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854071642951553
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854110104751542
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854115621145277
DTLZ,DTLZ1,1,NSGAIII,M2,0.001785433881631182
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854490478702119
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854813694651475
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854841988109776
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017854873868895578
DTLZ,DTLZ1,1,NSGAIII,M2,0.00178549244979533
DTLZ,DTLZ1,1,NSGAIII,M2,0.001785496100238842
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017855199733859037
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017855199875492452
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017855332466322749
DTLZ,DTLZ1,1,NSGAIII,M2,0.001785587552671558
DTLZ,DTLZ1,1,NSGAIII,M2,0.001785594106846069
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017855960906877114
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017856204253025932
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017856977585952016
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857062469808578
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857208665120218
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857529579572947
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857903979327505
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857917880329957
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017857953344328219
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017858481265950019
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017858930955011508
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017859001442001212
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017860066025902831
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017861105681128522
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017861477470666937
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017862393968636411
DTLZ,DTLZ1,1,NSGAIII,M2,0.001786334883054848
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017863394205012433
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017865260317164325
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017868053708730968
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017868505758567232
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017869056810144925
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017871216717520518
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017872971550145537
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017875318329590606
DTLZ,DTLZ1,1,NSGAIII,M2,0.001787624321013224
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017878224590999402
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017878753036686306
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017881295968318355
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017890357160838327
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017890504084994902
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017895351304888607
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017900503635312937
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017900530875285758
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017902969587612794
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017904989101503368
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017912574060474924
DTLZ,DTLZ1,1,NSGAIII,M2,0.0017924646060202814
DTLZ,DTLZ1,1,NSGAIII,M2,0.0018002158724189073
DTLZ,DTLZ1,1,NSGAIII,M2,0.0018019570118740752
DTLZ,DTLZ1,1,NSGAIII,M2,0.0018085262290608146
DTLZ,DTLZ1,1,NSGAIII,M2,0.0019010448484923915
DTLZ,DTLZ1,1,SPEA2,M2,0.0018161296998634058
DTLZ,DTLZ1,1,SPEA2,M2,0.001818247971802238
DTLZ,DTLZ1,1,SPEA2,M2,0.0018182770753378801
DTLZ,DTLZ1,1,SPEA2,M2,0.0018216824352165126
DTLZ,DTLZ1,1,SPEA2,M2,0.001822637336260361
DTLZ,DTLZ1,1,SPEA2,M2,0.0018227573511157879
DTLZ,DTLZ1,1,SPEA2,M2,0.001822819427399419
DTLZ,DTLZ1,1,SPEA2,M2,0.0018230075828331834
DTLZ,DTLZ1,1,SPEA2,M2,0.0018231839172407128
DTLZ,DTLZ1,1,SPEA2,M2,0.0018234612670629921
DTLZ,DTLZ1,1,SPEA2,M2,0.0018252377669269982
DTLZ,DTLZ1,1,SPEA2,M2,0.0018253091147981766
DTLZ,DTLZ1,1,SPEA2,M2,0.0018254646749555495
DTLZ,DTLZ1,1,SPEA2,M2,0.0018273448686109848
DTLZ,DTLZ1,1,SPEA2,M2,0.0018276167771710376
DTLZ,DTLZ1,1,SPEA2,M2,0.0018286986739230598
DTLZ,DTLZ1,1,SPEA2,M2,0.0018290500712017461
DTLZ,DTLZ1,1,SPEA2,M2,0.00182905486504634
DTLZ,DTLZ1,1,SPEA2,M2,0.0018293345718624029
DTLZ,DTLZ1,1,SPEA2,M2,0.0018296870342300636
DTLZ,DTLZ1,1,SPEA2,M2,0.001829702195098664
DTLZ,DTLZ1,1,SPEA2,M2,0.0018297025970807912
DTLZ,DTLZ1,1,SPEA2,M2,0.001830302245809004
DTLZ,DTLZ1,1,SPEA2,M2,0.00183038084349566
DTLZ,DTLZ1,1,SPEA2,M2,0.0018322295762162404
DTLZ,DTLZ1,1,SPEA2,M2,0.0018326708866499824
DTLZ,DTLZ1,1,SPEA2,M2,0.0018329231651200864
DTLZ,DTLZ1,1,SPEA2,M2,0.0018336450294448908
DTLZ,DTLZ1,1,SPEA2,M2,0.0018337280175825742
DTLZ,DTLZ1,1,SPEA2,M2,0.001833989377698164
DTLZ,DTLZ1,1,SPEA2,M2,0.0018342894483821051
DTLZ,DTLZ1,1,SPEA2,M2,0.0018344687413739606
DTLZ,DTLZ1,1,SPEA2,M2,0.0018345746439398485
DTLZ,DTLZ1,1,SPEA2,M2,0.001835465956716143
DTLZ,DTLZ1,1,SPEA2,M2,0.001836678164909615
DTLZ,DTLZ1,1,SPEA2,M2,0.0018367518776261328
DTLZ,DTLZ1,1,SPEA2,M2,0.0018371980074245152
DTLZ,DTLZ1,1,SPEA2,M2,0.001837373942297602
DTLZ,DTLZ1,1,SPEA2,M2,0.0018375551167935818
DTLZ,DTLZ1,1,SPEA2,M2,0.0018379110504414904
DTLZ,DTLZ1,1,SPEA2,M2,0.0018387264438984303
DTLZ,DTLZ1,1,SPEA2,M2,0.0018390586242204106
DTLZ,DTLZ1,1,SPEA2,M2,0.0018393019943937162
DTLZ,DTLZ1,1,SPEA2,M2,0.0018396947670467
DTLZ,DTLZ1,1,SPEA2,M2,0.0018407613050996747
DTLZ,DTLZ1,1,SPEA2,M2,0.0018414094373008982
DTLZ,DTLZ1,1,SPEA2,M2,0.0018424872424601094
DTLZ,DTLZ1,1,SPEA2,M2,0.0018427718960403123
DTLZ,DTLZ1,1,SPEA2,M2,0.0018447517770696581
DTLZ,DTLZ1,1,SPEA2,M2,0.0018453411865784596
DTLZ,DTLZ1,1,SPEA2,M2,0.0018478603841244486
DTLZ,DTLZ1,1,SPEA2,M2,0.0018489751902057243
DTLZ,DTLZ1,1,SPEA2,M2,0.0018499114538379523
DTLZ,DTLZ1,1,SPEA2,M2,0.001850108471660737
DTLZ,DTLZ1,1,SPEA2,M2,0.001851068744905002
DTLZ,DTLZ1,1,SPEA2,M2,0.0018520004504121743
DTLZ,DTLZ1,1,SPEA2,M2,0.001859744255324172
DTLZ,DTLZ1,1,SPEA2,M2,0.001905702431819547
DTLZ,DTLZ1,1,SPEA2,M2,0.0019286702106796189
DTLZ,DTLZ1,1,SPEA2,M2,0.0019526525657607692
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018368855091902652
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018485409350539606
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018508499195840685
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018522071128073037
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018633631915611407
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018657674244107255
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018661342931932993
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0018679017405193563
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019169305259566045
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.00191722537661425
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001940548366004196
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019485235888985816
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019587489164046975
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001959366431410587
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019599151315628826
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001963712340610642
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019663131148227875
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019665127837613255
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019687074471534637
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019749172970486397
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019778026005276145
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019794014462343997
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019799951260335165
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001982659671182236
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.00198384842146522
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019873367465442207
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001987746491287013
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.001987763870420584
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019965004774232836
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0019985798776763074
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.002001058157490027
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.0020024484348660633
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.002005712373626185
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.00201013415389877
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.002012894372013235
DTLZ,DTLZ1,1,SPEA2SDE,M2,0.002021441026374295
