case_id,problem,m,d,family,early_frac,label_binary,n_runs,ivf_turnover_early,spea2_turnover_early,label_binary_eval
wfg2_m2,WFG2,2,11,WFG,0.1,NOT_HELPS,30,0.28505050505050505,0.27636363636363637,NOT_HELPS
wfg2_m2,WFG2,2,11,WFG,0.15,NOT_HELPS,30,0.24154362416107383,0.22640939597315435,NOT_HELPS
wfg2_m2,WFG2,2,11,WFG,0.2,NOT_HELPS,30,0.2114572864321608,0.197713567839196,NOT_HELPS
wfg2_m2,WFG2,2,11,WFG,0.25,NOT_HELPS,30,0.19232931726907632,0.18030120481927714,NOT_HELPS
wfg2_m2,WFG2,2,11,WFG,0.3,NOT_HELPS,30,0.17943143812709034,0.16648829431438128,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.05,NOT_HELPS,30,0.3309183673469388,0.33908163265306124,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.1,NOT_HELPS,30,0.25702020202020204,0.2544949494949495,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.15,NOT_HELPS,30,0.2213758389261745,0.21828859060402683,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.2,NOT_HELPS,30,0.20173366834170853,0.197713567839196,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.25,NOT_HELPS,30,0.18823293172690764,0.18516064257028111,NOT_HELPS
wfg3_m2,WFG3,2,11,WFG,0.3,NOT_HELPS,30,0.17971571906354517,0.17648829431438126,NOT_HELPS
wfg4_m2,WFG4,2,11,WFG,0.05,HELPS,30,0.2986734693877551,0.2939795918367347,HELPS
wfg4_m2,WFG4,2,11,WFG,0.1,HELPS,30,0.22691919191919194,0.20974747474747474,HELPS
wfg4_m2,WFG4,2,11,WFG,0.15,HELPS,30,0.1976510067114094,0.17946308724832216,HELPS
wfg4_m2,WFG4,2,11,WFG,0.2,HELPS,30,0.18185929648241206,0.1629145728643216,HELPS
wfg4_m2,WFG4,2,11,WFG,0.25,HELPS,30,0.17208835341365464,0.15379518072289156,HELPS
wfg4_m2,WFG4,2,11,WFG,0.3,HELPS,30,0.16573578595317726,0.14663879598662205,HELPS
wfg5_m2,WFG5,2,11,WFG,0.05,HELPS,30,0.3546938775510204,0.3515306122448979,HELPS
wfg5_m2,WFG5,2,11,WFG,0.1,HELPS,30,0.27772727272727277,0.26348484848484854,HELPS
wfg5_m2,WFG5,2,11,WFG,0.15,HELPS,30,0.2524161073825503,0.2356711409395973,HELPS
wfg5_m2,WFG5,2,11,WFG,0.2,HELPS,30,0.23645728643216082,0.22253768844221106,HELPS
wfg5_m2,WFG5,2,11,WFG,0.25,HELPS,30,0.2178112449799197,0.21461847389558236,HELPS
wfg5_m2,WFG5,2,11,WFG,0.3,HELPS,30,0.20021739130434782,0.21237458193979936,HELPS
wfg6_m2,WFG6,2,11,WFG,0.05,NOT_HELPS,30,0.33377551020408164,0.32448979591836735,NOT_HELPS
wfg6_m2,WFG6,2,11,WFG,0.1,NOT_HELPS,30,0.25080808080808087,0.23161616161616164,NOT_HELPS
wfg6_m2,WFG6,2,11,WFG,0.15,NOT_HELPS,30,0.21577181208053692,0.19681208053691274,NOT_HELPS
wfg6_m2,WFG6,2,11,WFG,0.2,NOT_HELPS,30,0.19804020100502515,0.17796482412060302,NOT_HELPS
wfg6_m2,WFG6,2,11,WFG,0.25,NOT_HELPS,30,0.1873293172690763,0.1665863453815261,NOT_HELPS
wfg6_m2,WFG6,2,11,WFG,0.3,NOT_HELPS,30,0.18025083612040133,0.15881270903010036,NOT_HELPS
wfg7_m2,WFG7,2,11,WFG,0.05,HELPS,30,0.3377551020408163,0.3423469387755102,HELPS
wfg7_m2,WFG7,2,11,WFG,0.1,HELPS,30,0.26161616161616164,0.26641414141414144,HELPS
wfg7_m2,WFG7,2,11,WFG,0.15,HELPS,30,0.23191275167785236,0.2357718120805369,HELPS
wfg7_m2,WFG7,2,11,WFG,0.2,HELPS,30,0.216356783919598,0.21999999999999997,HELPS
wfg7_m2,WFG7,2,11,WFG,0.25,HELPS,30,0.2063253012048193,0.2097389558232932,HELPS
wfg7_m2,WFG7,2,11,WFG,0.3,HELPS,30,0.19956521739130434,0.20284280936454852,HELPS
wfg8_m2,WFG8,2,11,WFG,0.05,NOT_HELPS,30,0.30673469387755103,0.3157142857142857,NOT_HELPS
wfg8_m2,WFG8,2,11,WFG,0.1,NOT_HELPS,30,0.21464646464646467,0.22080808080808081,NOT_HELPS
wfg8_m2,WFG8,2,11,WFG,0.15,NOT_HELPS,30,0.1743959731543624,0.17771812080536914,NOT_HELPS
wfg8_m2,WFG8,2,11,WFG,0.2,NOT_HELPS,30,0.15173366834170854,0.1528643216080402,NOT_HELPS
wfg8_m2,WFG8,2,11,WFG,0.25,NOT_HELPS,30,0.13572289156626505,0.136285140562249,NOT_HELPS
wfg8_m2,WFG8,2,11,WFG,0.3,NOT_HELPS,30,0.12491638795986623,0.12548494983277592,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.05,NOT_HELPS,30,0.2879591836734694,0.29795918367346935,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.1,NOT_HELPS,30,0.2131818181818182,0.2169191919191919,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.15,NOT_HELPS,30,0.18030201342281882,0.18838926174496645,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.2,NOT_HELPS,30,0.16188442211055276,0.17399497487437188,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.25,NOT_HELPS,30,0.15048192771084337,0.16660642570281126,NOT_HELPS
wfg9_m2,WFG9,2,11,WFG,0.3,NOT_HELPS,30,0.14319397993311037,0.16118729096989967,NOT_HELPS
maf1_m2,MaF1,2,11,MaF,0.05,HELPS,30,0.3509183673469388,0.35316326530612246,HELPS
maf1_m2,MaF1,2,11,MaF,0.1,HELPS,30,0.2771212121212122,0.28060606060606064,HELPS
maf1_m2,MaF1,2,11,MaF,0.15,HELPS,30,0.24778523489932885,0.25171140939597314,HELPS
maf1_m2,MaF1,2,11,MaF,0.2,HELPS,30,0.2327386934673367,0.23630653266331658,HELPS
maf1_m2,MaF1,2,11,MaF,0.25,HELPS,30,0.22317269076305224,0.22718875502008035,HELPS
maf1_m2,MaF1,2,11,MaF,0.3,HELPS,30,0.21638795986622075,0.21994983277591973,HELPS
maf2_m2,MaF2,2,11,MaF,0.05,HELPS,30,0.32775510204081637,0.33795918367346944,HELPS
maf2_m2,MaF2,2,11,MaF,0.1,HELPS,30,0.28191919191919196,0.2926262626262627,HELPS
maf2_m2,MaF2,2,11,MaF,0.15,HELPS,30,0.26161073825503356,0.27724832214765105,HELPS
maf2_m2,MaF2,2,11,MaF,0.2,HELPS,30,0.25190954773869345,0.2678391959798995,HELPS
maf2_m2,MaF2,2,11,MaF,0.25,HELPS,30,0.24618473895582332,0.26242971887550204,HELPS
maf2_m2,MaF2,2,11,MaF,0.3,HELPS,30,0.24086956521739133,0.2587123745819398,HELPS
maf3_m2,MaF3,2,11,MaF,0.05,HELPS,30,0.42112244897959183,0.3706122448979592,HELPS
maf3_m2,MaF3,2,11,MaF,0.1,HELPS,30,0.3911111111111111,0.333030303030303,HELPS
maf3_m2,MaF3,2,11,MaF,0.15,HELPS,30,0.3653020134228188,0.3119463087248322,HELPS
maf3_m2,MaF3,2,11,MaF,0.2,HELPS,30,0.3402763819095478,0.2972110552763819,HELPS
maf3_m2,MaF3,2,11,MaF,0.25,HELPS,30,0.3147389558232932,0.2797991967871486,HELPS
maf3_m2,MaF3,2,11,MaF,0.3,HELPS,30,0.2919063545150502,0.2661036789297659,HELPS
maf4_m2,MaF4,2,11,MaF,0.05,HELPS,30,0.38928571428571435,0.3158163265306122,HELPS
maf4_m2,MaF4,2,11,MaF,0.1,HELPS,30,0.34434343434343434,0.28520202020202023,HELPS
maf4_m2,MaF4,2,11,MaF,0.15,HELPS,30,0.3199664429530201,0.27248322147651005,HELPS
maf4_m2,MaF4,2,11,MaF,0.2,HELPS,30,0.29962311557788945,0.26087939698492457,HELPS
maf4_m2,MaF4,2,11,MaF,0.25,HELPS,30,0.2777911646586345,0.2479518072289157,HELPS
maf4_m2,MaF4,2,11,MaF,0.3,HELPS,30,0.2585953177257525,0.23295986622073578,HELPS
maf5_m2,MaF5,2,11,MaF,0.05,HELPS,30,0.37693877551020405,0.3856122448979592,HELPS
maf5_m2,MaF5,2,11,MaF,0.1,HELPS,30,0.28131313131313135,0.2877272727272728,HELPS
maf5_m2,MaF5,2,11,MaF,0.15,HELPS,30,0.2452684563758389,0.2508053691275168,HELPS
maf5_m2,MaF5,2,11,MaF,0.2,HELPS,30,0.22512562814070353,0.23133165829145733,HELPS
maf5_m2,MaF5,2,11,MaF,0.25,HELPS,30,0.21393574297188755,0.21847389558232932,HELPS
maf5_m2,MaF5,2,11,MaF,0.3,HELPS,30,0.206371237458194,0.20979933110367893,HELPS
maf6_m2,MaF6,2,11,MaF,0.05,HELPS,30,0.47602040816326535,0.4487755102040817,HELPS
maf6_m2,MaF6,2,11,MaF,0.1,HELPS,30,0.3242929292929293,0.3188383838383839,HELPS
maf6_m2,MaF6,2,11,MaF,0.15,HELPS,30,0.2644630872483221,0.25882550335570476,HELPS
maf6_m2,MaF6,2,11,MaF,0.2,HELPS,30,0.23273869346733667,0.2270603015075377,HELPS
maf6_m2,MaF6,2,11,MaF,0.25,HELPS,30,0.21349397590361444,0.20690763052208838,HELPS
maf6_m2,MaF6,2,11,MaF,0.3,HELPS,30,0.20145484949832776,0.1935953177257525,HELPS
maf7_m2,MaF7,2,21,MaF,0.05,HELPS,30,0.5731632653061225,0.5252040816326531,HELPS
maf7_m2,MaF7,2,21,MaF,0.1,HELPS,30,0.43146464646464644,0.4138383838383838,HELPS
maf7_m2,MaF7,2,21,MaF,0.15,HELPS,30,0.36053691275167776,0.35140939597315435,HELPS
maf7_m2,MaF7,2,21,MaF,0.2,HELPS,30,0.32170854271356786,0.3170100502512563,HELPS
maf7_m2,MaF7,2,21,MaF,0.25,HELPS,30,0.2977911646586346,0.2956224899598393,HELPS
maf7_m2,MaF7,2,21,MaF,0.3,HELPS,30,0.28202341137123743,0.28175585284280935,HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.05,NOT_HELPS,30,0.36428571428571427,0.32683673469387753,NOT_HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.1,NOT_HELPS,30,0.30808080808080807,0.27782828282828287,NOT_HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.15,NOT_HELPS,30,0.26241610738255033,0.23973154362416105,NOT_HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.2,NOT_HELPS,30,0.2321356783919598,0.2148743718592965,NOT_HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.25,NOT_HELPS,30,0.2142168674698795,0.19933734939759035,NOT_HELPS
dtlz1_m3,DTLZ1,3,7,DTLZ,0.3,NOT_HELPS,30,0.20198996655518395,0.18819397993311038,NOT_HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.05,HELPS,30,0.34224489795918367,0.3494897959183674,HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.1,HELPS,30,0.28666666666666674,0.30484848484848487,HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.15,HELPS,30,0.26697986577181204,0.28802013422818795,HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.2,HELPS,30,0.2575376884422111,0.27977386934673365,HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.25,HELPS,30,0.25068273092369475,0.27491967871485945,HELPS
dtlz2_m3,DTLZ2,3,12,DTLZ,0.3,HELPS,30,0.24707357859531773,0.2713545150501672,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.05,HELPS,30,0.38755102040816325,0.33479591836734696,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.1,HELPS,30,0.3422727272727273,0.3053030303030303,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.15,HELPS,30,0.3220469798657718,0.28359060402684566,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.2,HELPS,30,0.3000753768844221,0.2662814070351759,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.25,HELPS,30,0.285,0.25485943775100406,HELPS
dtlz3_m3,DTLZ3,3,12,DTLZ,0.3,HELPS,30,0.2641973244147158,0.2394314381270903,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.05,HELPS,30,0.343265306122449,0.36132653061224496,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.1,HELPS,30,0.28434343434343434,0.3055555555555556,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.15,HELPS,30,0.26117449664429526,0.2847986577181208,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.2,HELPS,30,0.25040201005025126,0.2762562814070352,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.25,HELPS,30,0.24365461847389558,0.2707429718875502,HELPS
dtlz4_m3,DTLZ4,3,12,DTLZ,0.3,HELPS,30,0.23872909698996658,0.2669230769230769,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.05,HELPS,30,0.3587755102040816,0.3648979591836735,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.1,HELPS,30,0.29383838383838384,0.3056060606060606,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.15,HELPS,30,0.2665771812080536,0.27744966442953023,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.2,HELPS,30,0.25118090452261305,0.26213567839195984,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.25,HELPS,30,0.2413453815261044,0.2519277108433735,HELPS
dtlz5_m3,DTLZ5,3,12,DTLZ,0.3,HELPS,30,0.23309364548494982,0.24401337792642144,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.05,HELPS,30,0.39397959183673464,0.388469387755102,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.1,HELPS,30,0.25398989898989893,0.2466666666666667,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.15,HELPS,30,0.19281879194630874,0.1936241610738255,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.2,HELPS,30,0.1615075376884422,0.1670603015075377,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.25,HELPS,30,0.14353413654618474,0.1500803212851406,HELPS
dtlz6_m3,DTLZ6,3,12,DTLZ,0.3,HELPS,30,0.1317224080267559,0.13941471571906355,HELPS
dtlz7_m3,DTLZ7,3,22,DTLZ,0.05,HELPS,30,0.466734693877551,0.45693877551020406,HELPS
