problem,m,ivf_median_igd,spea2_median_igd,ivf_median_hv,spea2_median_hv,delta_median_igd,delta_median_hv,a12_igd_ivf_better,a12_hv_ivf_better,ivf_q1_igd,ivf_q3_igd,spea2_q1_igd,spea2_q3_igd,ivf_iqr_igd,positive_rank,negative_rank,bimodal_rank
DTLZ6,2,0.0040582664004898995,0.004093124659048,0.347589202190131,0.3475583480540575,3.4858258558100735e-05,3.0854136073510396e-05,0.8080555555555555,0.7077777777777777,0.004034139758854249,0.004080477081801625,0.004074773492716574,0.0041129483291366745,4.63373229473759e-05,41.0,11.0,45.0
DTLZ6,3,0.0040470176425589505,0.004082885816618,0.2000769789723475,0.200071219934703,3.586817405904982e-05,5.759037644492704e-06,0.7522222222222222,0.5886111111111111,0.0040313367077342,0.004080432576820625,0.004066059539049575,0.004100083733785001,4.909586908642509e-05,39.0,13.0,43.0
DTLZ7,2,0.0047250799632879,0.00477429662951355,0.24290150645084452,0.24288262303049651,4.9216666225649665e-05,1.888342034800372e-05,0.6363888888888889,0.7311111111111112,0.004666583045658725,0.0047827266123344,0.0047063534444768745,0.0048387133815441,0.00011614356667567511,37.0,15.0,32.0
DTLZ7,3,0.0599850989668732,0.060587852895987296,0.2773745894322315,0.2766767532007425,0.0006027539291140957,0.0006978362314890019,0.6358333333333334,0.7269444444444444,0.05919123783989423,0.0605692451309032,0.05964737212282437,0.06143035564962038,0.0013780072910089675,13.0,39.0,19.0
MaF1,2,0.0037353057061909,0.0038039315396105004,0.5822382017887775,0.582084385979976,6.862583341960037e-05,0.00015381580880147183,0.8722222222222222,0.9086111111111111,0.0037212632280467003,0.0037709777875284747,0.003778055241678525,0.003833848574274525,4.971455948177446e-05,31.0,21.0,41.0
MaF1,3,0.04114747607023925,0.0417234503887379,0.2201734643173585,0.2184827087082415,0.000575974318498651,0.0016907556091170228,0.8775,0.9616666666666667,0.04089809997645652,0.04135312252998452,0.041457941146259655,0.0420124334311825,0.0004550225535280006,14.0,38.0,25.0
MaF2,2,0.00211446515941885,0.0021890444626624997,0.207376010254985,0.20724431222830952,7.457930324364977e-05,0.0001316980266754808,0.9522222222222222,0.9713888888888889,0.00210168121396905,0.0021278631731832,0.002166429105389925,0.0022081613520429496,2.6181959214149637e-05,30.0,22.0,50.0
MaF2,3,0.0310791484211045,0.03233035843814765,0.2407367857571745,0.23915802259317,0.0012512100170431473,0.0015787631640044875,0.7669444444444444,0.7975,0.0302155088262634,0.03168592867754388,0.031459804692756096,0.03289323635851438,0.0014704198512804773,9.0,43.0,17.0
MaF3,2,0.0037721026421917497,0.00420216846843205,0.720465713462663,0.719022062483367,0.00043006582624030044,0.0014436509792959962,0.9811111111111112,0.9841666666666666,0.003736656323564225,0.003809622017040725,0.004045842794823575,0.004685798770305825,7.29656934765001e-05,19.0,33.0,38.0
MaF3,3,0.0324767562561937,0.033261271718658,0.9633059457395841,0.9624419511954849,0.0007845154624643025,0.0008639945440991337,0.8794444444444445,0.9869444444444444,0.03227269180168715,0.0327285631728665,0.032971129864722525,0.0337360053182561,0.00045587137117934773,10.0,42.0,24.0
MaF4,2,0.01246390140349285,0.01266500027136085,0.8191124153181566,0.8187190438155825,0.00020109886786799994,0.0003933715025741247,0.8269444444444445,0.9402777777777778,0.012416084034154475,0.012554118030558399,0.01256244616131855,0.012787867352314625,0.00013803399640392386,23.0,29.0,30.0
MaF4,3,0.239235016014736,0.24174674691034848,0.5328899646958075,0.5303423032876691,0.002511730895612463,0.0025476614081384463,0.7063888888888888,0.8772222222222222,0.2368940864297105,0.2404266039212015,0.23939065757253025,0.24388884179991477,0.0035325174914909996,6.0,46.0,13.0
MaF5,2,0.0127010501506136,0.01285372847248825,0.347318269446885,0.347183336676478,0.00015267832187465004,0.00013493277040699247,0.6525,0.7030555555555555,0.012589591177471576,0.012881083641926225,0.0126949269846036,0.01307238582210425,0.0002914924644546492,25.0,27.0,26.0
MaF5,3,0.24755897503234198,0.24704073000052001,0.5549650397596695,0.5539348631845484,-0.0005182450318219622,0.0010301765751210556,0.5319444444444444,0.5830555555555555,0.24224512141618273,1.4915200802346424,0.24430234094642175,1.4915504527679375,1.2492749588184597,48.0,4.0,1.0
MaF6,2,0.0040509652012231,0.0040891875962685495,0.3475650504607565,0.3475262091811785,3.822239504544956e-05,3.8841279577983556e-05,0.8219444444444445,0.64,0.004031795731829075,0.004066385968313799,0.00406247963211785,0.0041077252298505,3.4590236484724306e-05,38.0,14.0,48.0
MaF6,3,0.00405358394274035,0.00408784178107915,0.2000794136110715,0.20006469250096298,3.42578383388005e-05,1.4721110108528723e-05,0.77,0.5969444444444445,0.004037768400786175,0.004073848086325325,0.00406422182388275,0.004103770229107375,3.6079685539150246e-05,42.0,10.0,46.0
MaF7,2,0.0047247571071594,0.0047839910171274,0.24290532712929452,0.24289076655570452,5.923390996799994e-05,1.4560573590005621e-05,0.6394444444444445,0.6905555555555556,0.004673558701319225,0.004789494062496775,0.0047034165882987,0.00486344388263725,0.00011593536117754984,33.0,19.0,33.0
MaF7,3,0.0594476497184779,0.060142089543766805,0.2777436096894865,0.2772091388360025,0.0006944398252889047,0.0005344708534840148,0.6638888888888889,0.6902777777777778,0.05870852500075755,0.06016657257056225,0.059297519233883524,0.061015726519712876,0.0014580475698047005,11.0,41.0,18.0
WFG1,2,0.02220968806110575,0.0292511404250795,0.687005351019738,0.6850015372895415,0.007041452363973751,0.0020038137301965353,0.6083333333333333,0.6047222222222223,0.018457978779221125,0.03368831971840755,0.019466752450343176,0.0434561990986052,0.015230340939186425,2.0,50.0,5.0
WFG1,3,0.152113497655549,0.1526768295201435,0.944996438691811,0.944464064516462,0.0005633318645945073,0.0005323741753490152,0.5288888888888889,0.5866666666666667,0.15032804847914427,0.15492383930983,0.1501968144804635,0.15572863355926247,0.004595790830685731,15.0,37.0,9.0
